comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_3d_HI_vs_Control,Spp1,Spp1,20750,ENSMUSG00000029304,secreted phosphoprotein 1,45584.95398311136,7.624003732515661,0.4138228478601085,18.423351373515587,8.535159385782921e-76,3.9445081042888626e-73,Up,TRUE
Microglia_3d_HI_vs_Control,Mpeg1,Mpeg1,17476,ENSMUSG00000046805,macrophage expressed gene 1,3996.867373685501,1.9644795757552471,0.10687979190873576,18.380271337286178,1.8902083992620728e-75,8.423578716425766e-73,Up,TRUE
Microglia_3d_HI_vs_Control,Apoc1,Apoc1,11812,ENSMUSG00000040564,apolipoprotein C-I,465.5639123158287,4.717198484589845,0.2574454779671127,18.323097076082426,5.414217267349352e-75,2.329607002137421e-72,Up,TRUE
Microglia_3d_HI_vs_Control,Sqstm1,Sqstm1,18412,ENSMUSG00000015837,sequestosome 1,3521.1230782383427,1.9547371099703006,0.10683505070229489,18.29677710751825,8.77910361765762e-75,3.6515218313710595e-72,Up,TRUE
Microglia_3d_HI_vs_Control,C3ar1,C3ar1,12267,ENSMUSG00000040552,complement component 3a receptor 1,1608.4585557100388,2.4017523659763556,0.1364370318437416,17.60337595680791,2.320691933180669e-69,9.341159336202705e-67,Up,TRUE
Microglia_3d_HI_vs_Control,Tgif1,Tgif1,21815,ENSMUSG00000047407,TGFB-induced factor homeobox 1,764.6694009772209,3.1497369090715237,0.1790795074872028,17.588483200941386,3.018494707317222e-69,1.1770242799345093e-66,Up,TRUE
Microglia_3d_HI_vs_Control,Abca1,Abca1,11303,ENSMUSG00000015243,"ATP-binding cassette, sub-family A member 1",1953.627919128789,3.442559528640647,0.20003750682587543,17.209570261427302,2.2509592171681803e-66,8.511354276310471e-64,Up,TRUE
Microglia_3d_HI_vs_Control,Ccl4,Ccl4,20303,ENSMUSG00000018930,C-C motif chemokine ligand 4,5620.097194513936,5.39023996200621,0.3134370614828308,17.19720040924858,2.7867444052995966e-66,1.0227351967449519e-63,Up,TRUE
Microglia_3d_HI_vs_Control,Aldh2,Aldh2,11669,ENSMUSG00000029455,"aldehyde dehydrogenase 2, mitochondrial",1005.6668030853673,1.7041684243368644,0.09971650675990659,17.090133616895475,1.7577065666315084e-65,6.266475010979418e-63,Up,TRUE
Microglia_3d_HI_vs_Control,Lgals3bp,Lgals3bp,19039,ENSMUSG00000033880,"lectin, galactoside-binding, soluble, 3 binding protein",1471.8886304870562,2.562551343109741,0.15063315816747033,17.01186760129372,6.706537696652247e-65,2.324560482745187e-62,Up,TRUE
Microglia_3d_HI_vs_Control,Tnfaip3,Tnfaip3,21929,ENSMUSG00000019850,"tumor necrosis factor, alpha-induced protein 3",2055.222242757837,4.483892309493322,0.26376019252071725,16.99988260791526,8.228453535004492e-65,2.7749903570212443e-62,Up,TRUE
Microglia_3d_HI_vs_Control,Ctsa,Ctsa,19025,ENSMUSG00000017760,cathepsin A,6165.1186925780585,1.664972879380183,0.10002460694777592,16.645632811628904,3.25506931278809e-62,1.0688619706570996e-59,Up,TRUE
Microglia_3d_HI_vs_Control,Ttr,Ttr,22139,ENSMUSG00000061808,transthyretin,6129.382921877972,-10.033519161111208,0.6046281982645351,-16.59452733086288,7.6342431679428796e-62,2.4425663140920834e-59,Down,TRUE
Microglia_3d_HI_vs_Control,Bcl2a1b,Bcl2a1b,12045,ENSMUSG00000089929,B cell leukemia/lymphoma 2 related protein A1b,958.4754261413167,2.42096385595878,0.147094497690291,16.458561631966305,7.281012042348275e-61,2.2713117066105444e-58,Up,TRUE
