comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_1d_HI_vs_Control,Myo1c,Myo1c,17913,ENSMUSG00000017774,myosin IC,207.8338456124827,0.9683282037174268,0.2549230805811646,3.7985113058804503,1.4556779017375386e-4,9.265679103863216e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Kif20b,Kif20b,240641,ENSMUSG00000024795,kinesin family member 20B,75.71912504148149,-1.8822776431006463,0.4958016480669962,-3.796432808239273,1.4679312566257948e-4,9.338658751223253e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Lpar5,Lpar5,381810,ENSMUSG00000067714,lysophosphatidic acid receptor 5,92.3621130630287,-1.5473770018918094,0.40762293191399857,-3.7960989942986805,1.4699082163656418e-4,9.346218980882825e-4,Down,TRUE
Microglia_1d_HI_vs_Control,C430049B03Rik,C430049B03Rik,NA,NA,NA,18.37704496911693,-3.3346291762189018,0.8786252825930709,-3.795280243219807,1.4747677592584493e-4,9.372069922768267e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Pla2g4a,Pla2g4a,18783,ENSMUSG00000056220,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",363.50977348565056,0.7493927097271575,0.19746074544425385,3.7951477800873716,1.475555389460478e-4,9.372069922768267e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Wdr75,Wdr75,73674,ENSMUSG00000025995,WD repeat domain 75,214.92006299959223,1.205343724532785,0.3176321772648794,3.7947783971761346,1.477753845250614e-4,9.381006199202076e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Rrbp1,Rrbp1,81910,ENSMUSG00000027422,ribosome binding protein 1,2323.8902653019045,0.9621571662741621,0.2536922253558542,3.7926158948093263,1.4906864117554642e-4,9.458038197069466e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Eftud2,Eftud2,20624,ENSMUSG00000020929,elongation factor Tu GTP binding domain containing 2,495.2952577831925,1.002564479411871,0.26437154905009047,3.7922555699135208,1.4928516178127499e-4,9.462735582900631e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Zfp706,Zfp706,68036,ENSMUSG00000062397,zinc finger protein 706,1067.9885793996507,-0.9247181871384816,0.24384568586694527,-3.792226972771031,1.4930235858947165e-4,9.462735582900631e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Gemin5,Gemin5,216766,ENSMUSG00000037275,gem nuclear organelle associated protein 5,103.38325477006346,1.6690931205206034,0.44015321518318384,3.792072994004956,1.4939498533250202e-4,9.463545516626478e-4,Up,TRUE
Microglia_1d_HI_vs_Control,P2ry6,P2ry6,233571,ENSMUSG00000048779,"pyrimidinergic receptor P2Y, G-protein coupled, 6",1796.1970872758977,-0.7050312509222371,0.18601484245302807,-3.7901881464124,1.5053321868607202e-4,9.530553995017765e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Gmfg,Gmfg,63986,ENSMUSG00000060791,"glia maturation factor, gamma",154.38715853549562,-1.3806518628497735,0.36443909387478896,-3.788429633523693,1.5160251760534466e-4,9.593128876981019e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Tmbim6,Tmbim6,110213,ENSMUSG00000023010,transmembrane BAX inhibitor motif containing 6,3707.521669786834,-0.5482022410395092,0.1447422722291607,-3.787437025802507,1.5220924559079617e-4,9.626381957001688e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Bzw2,Bzw2,66912,ENSMUSG00000020547,basic leucine zipper and W2 domains 2,262.9984491739089,0.8502356913813819,0.22464132235794487,3.7848588249788304,1.5379585828644628e-4,9.721538732858461e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Psen2,Psen2,19165,ENSMUSG00000010609,presenilin 2,172.09502365359185,1.2036846505362735,0.31808669353419766,3.7841402202725742,1.5424085073766552e-4,9.744469951720744e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Chordc1,Chordc1,66917,ENSMUSG00000001774,cysteine and histidine rich domain containing 1,299.4679727539992,0.8475838321470313,0.22401132362586834,3.7836651220481166,1.5453571818083714e-4,9.756416563253434e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Eldr,Eldr,72735,ENSMUSG00000087060,Egfr long non-coding downstream RNA,16.074077345711043,-4.029923901928074,1.0651113901110147,-3.783570375214973,1.5459458577278055e-4,9.756416563253434e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Zmynd15,Zmynd15,574428,ENSMUSG00000040829,"zinc finger, MYND-type containing 15",19.875723518865513,2.9850761128118455,0.7892169159504151,3.7823265726851094,1.5536933835428766e-4,9.794666423690772e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Rac1,Rac1,19353,ENSMUSG00000001847,Rac family small GTPase 1,2722.3159082698035,-0.5596131993979806,0.1479585085393531,-3.782230605880554,1.5542926676012832e-4,9.794666423690772e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Plekhh2,Plekhh2,213556,ENSMUSG00000040852,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 2",34.840547709931506,2.7578901428222253,0.7291762439832493,3.782199661026779,1.5544859553630056e-4,9.794666423690772e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Srsf7,Srsf7,225027,ENSMUSG00000024097,serine and arginine-rich splicing factor 7,969.9046469337445,0.5026683344638623,0.13290917146473294,3.7820439998547717,1.5554585894390568e-4,9.79558724868847e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Zeb1,Zeb1,21417,ENSMUSG00000024238,zinc finger E-box binding homeobox 1,106.5229303411752,-2.0886216586149087,0.5524287058704036,-3.780798565353493,1.5632612196752764e-4,9.836208673212343e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Pgm3,Pgm3,109785,ENSMUSG00000056131,phosphoglucomutase 3,99.36449986073171,1.31384589455338,0.34751388059363814,3.78070047823417,1.5638772964609533e-4,9.836208673212343e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Nanos1,Nanos1,332397,ENSMUSG00000072437,nanos C2HC-type zinc finger 1,44.71267673010332,-2.218454245109968,0.5867967994801464,-3.7806174932708143,1.5643986963386153e-4,9.836208673212343e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Yif1a,Yif1a,68090,ENSMUSG00000024875,Yip1 interacting factor homolog A (S. cerevisiae),423.9533619286304,0.9480273121627264,0.2508409278819718,3.77939644924612,1.572089534291959e-4,9.879324051128473e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Cspg5,Cspg5,29873,ENSMUSG00000032482,chondroitin sulfate proteoglycan 5,12.499423927932886,-3.9247758232676913,1.0385809905638073,-3.77897906752277,1.5747265951536116e-4,9.89065161937499e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Ctdsp1,Ctdsp1,227292,ENSMUSG00000026176,CTD small phosphatase 1,97.79534828468041,-1.8233793004853445,0.48278065631757616,-3.7768275854157545,1.5883860475315528e-4,9.971160717872861e-4,Down,TRUE
Microglia_1d_HI_vs_Control,9330133O14Rik,9330133O14Rik,100689703,ENSMUSG00000121107,RIKEN cDNA 9330133O14 gene,84.74053374484153,-2.1882912604948777,0.5794212682658456,-3.776684392418372,1.5892991056025072e-4,9.971579438303796e-4,Down,TRUE
Microglia_1d_HI_vs_Control,Ecm1,Ecm1,13601,ENSMUSG00000028108,extracellular matrix protein 1,47.72480755394361,2.909523749274554,0.770417763859794,3.776553301027012,1.5901354318591102e-4,9.971579438303796e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Rpf1,Rpf1,70285,ENSMUSG00000028187,ribosome production factor 1 homolog,262.33617250296595,0.9431369361721781,0.24975904434285529,3.7761873194769766,1.592472484024141e-4,9.980953929483933e-4,Up,TRUE
Microglia_1d_HI_vs_Control,Esco2,Esco2,71988,ENSMUSG00000022034,establishment of sister chromatid cohesion N-acetyltransferase 2,43.68361395722669,-2.4715235086754133,0.6546123598467629,-3.775552770274561,1.596532193828091e-4,0.001000110970467787,Down,TRUE
