gene_symbol,n_groups,mean_log2FC
Fkbp5,8,1.0914527676514245
Hif3a,7,1.0687079890164586
Cdkn1a,6,0.9162901165424814
Zbtb16,6,0.614028072122513
Plin4,6,1.5137492329326085
Xdh,6,0.8458322805767287
Acvr1c,5,4.404718192835793
Kcnh5,5,-1.105519062129107
Map3k6,5,0.7826900085761065
Tmem160,5,1.6379867906274646
Trim59,5,-0.3720226996145304
Arl4d,5,0.8873665164171237
Igfbp2,4,7.310780076112436
Mertk,4,2.309383019054139
Adap2,4,5.665967471662465
Echdc2,4,8.579649842468049
Atp11c,4,7.965514585652956
Arrdc2,4,0.9049995094372549
Klhl11,4,0.30606113987380823
Glra3,4,0.9944966341563198
Kif1b,4,-0.19071610170790212
Brwd3,4,8.122480524949818
Sult1a1,4,0.6611862820317026
Fos,4,-0.22292811182871516
Gucy1a2,4,0.602756765243456
Ccdc78,4,6.805857734473229
Zmym1,4,-0.687849059435327
Samd9l,4,-2.474416692259008
Zfp771,4,2.822721028749216
Nr4a3,4,-0.3530706056251375
Lgi2,4,3.166313972742755
Xkr8,4,3.560427548324996
Nwd2,4,8.440975333889973
Ids,3,-0.11323661330341635
Clec2d,3,0.4294460734644151
Pawr,3,10.876390514029806
Cmas,3,0.9491021914623107
Ndufb1,3,0.6435707884767088
Parp14,3,0.19292648740062163
Gpr179,3,7.487201624761856
Il1rl1,3,0.16524489742384216
Pan3,3,2.847622450427424
Ndufb9,3,0.3660756650506731
Gm13889,3,1.7065786916624617
Glud1,3,1.1241184595070393
Rpl37,3,0.034123873332697265
Ifit1,3,-0.5060095075609865
Rps27,3,0.37229675093776715
F12,3,7.4950439233648956
Gm14168,3,9.771276416934027
Fosl2,3,0.737059367363477
Gm5141,3,-1.8593932646311524
Ccdc9b,3,10.739682423412603
Ccn1,3,10.111139239255186
Cd53,3,9.9184636555725
Cdan1,3,3.912796214940217
Rsad2,3,-0.44390241331403385
Cdc45,3,10.816238877484446
Jsrp1,3,-1.7656803847065927
Ntn4,3,0.4020024379884259
Rpl38,3,0.30740927555330905
Itgb8,3,-0.28294084610930825
Cebpd,3,0.692063687042772
Pcdh11x,3,1.4819639029032432
Gm14393,3,0.5516040392743985
Flna,3,6.665944374236166
Cgnl1,3,9.974542897126367
St8sia4,3,-0.19481078105205651
Ctnna3,3,1.1097664816202455
Net1,3,0.6096729749298234
Oprm1,3,1.7220301888943148
Elmod3,3,-1.7684383402113653
Gbp4,3,0.05227125265922755
Hkdc1,3,0.58039808012242
Slc10a7,3,7.494497182316931
Nkx2-1,3,2.632360346107544
Gan,3,0.8607972771399524
Egr4,3,0.3746379637435593
Gm5532,3,9.976591389178475
Hdx,3,0.7036199052766863
Hspa1b,3,-1.2932181769409983
Nupr2,3,8.533561740255942
Epha10,3,9.94600848235721
Epha6,3,0.6964465857740825
Nptx2,3,0.9460271693964483
H2bc21,3,7.883084420720194
Sema6a,3,4.736209509863962
Eya1,3,6.935370421666813
Fam167a,3,9.24240860102109
Scarf2,3,1.9359810187075055
Dtx1,3,1.8152439501727076
Gbp9,3,-0.3343889088905797
Slc9b2,3,9.471728850079712
Dbp,3,0.7434838762003309
Slc9a7,3,0.6101242491595976
Fance,3,1.978031749855857
Fam43b,3,2.655272810111935
Ddit4,3,0.594439569654381
Fam241a,3,5.124337087171302
Foxo6,3,0.16080822546173934
Hspa1a,3,-0.7353347326465257
Hspa12b,3,6.07317398235558
Slc5a3,3,0.13411149300670044
Rpl28,3,0.21385000006785304
Slc4a7,3,8.009010043975708
Dock5,3,11.214834637254407
Gclm,3,0.9789401116512294
Slc5a11,3,-28.530123964013793
Kcna3,3,1.2642882993270312
Szt2,3,11.663139631771871
Zfp52,3,5.744241839083723
Rnf19b,3,3.0475875173473903
BC065397,3,9.921538348310172
Rnf11,3,0.13789220820992593
Tnfrsf25,3,-0.23336382058942978
Zfp41,3,12.410943896393036
Ripk4,3,13.429159457699198
Mreg,3,4.758004623283353
Trim34a,3,-0.3842076807471583
Zfp385c,3,6.665059091649457
LOC115490443,3,0.6614819715964864
Arfgef3,3,1.4651702790405137
Plcxd3,3,1.1317880728613618
Cbx8,3,0.2796046127260153
LOC118567348,3,-0.08320099354793546
Mgmt,3,10.33692298530587
Apmap,3,2.0986367134527986
Ubqln1,3,2.4155920990511714
Lancl3,3,0.42686209295723326
Pxdn,3,6.985647812770608
Rexo5,3,6.385999876766289
Lamtor2,3,0.46967375621559954
Mcc,3,1.1286901539916638
Rbm26,3,2.2499336521079703
Uri1,3,1.9879745333031593
A330074K22Rik,3,0.22931789437078196
Lysmd2,3,0.8438224864187177
LOC118568277,3,-0.1269870735224499
Aff2,3,0.27884697540308795
Ada,3,1.056897627245306
Baz1b,3,1.5844311991590967
Mamdc4,3,-0.5434956444607241
Bc1,3,1.296813130201365
Timm13,3,0.3412734762595873
Ptchd1,3,-0.02859894289556067
Zfyve9,3,1.9847889301955712
Tekt4,3,0.2556160409641446
Pfdn6,3,0.5725851993387879
Calcrl,3,-0.2059864288820015
Prrg1,3,-0.6519659682547168
Calcr,3,8.393146088816707
Kcng1,3,6.804401913302147
Mxd4,3,0.6754910966415085
Cacna1d,3,11.291666481571285
C2cd4d,3,7.197142854449617
Romo1,3,0.26393865341323147
Kcnj6,3,0.18930784697848246
Kcna1,3,-0.19183877836712918
Ptgr1,3,10.450660905474843
Kctd3,3,0.9608403002524105
Lipt2,3,6.466207965606629
Myo1e,3,12.05345235929999
Tlr4,3,0.40256537691897737
Mt2,3,0.9272955111484963
Tm7sf2,3,10.24337266001959
Tmem131l,3,7.577875486326138
Mt1,3,0.1741541533487452
