gene_symbol,n_groups,mean_log2FC
Plin4,5,1.6365410505687064
Nwd2,4,8.440975333889973
Cdkn1a,4,1.3159039310200669
H2bc21,3,7.883084420720194
Hif3a,3,1.3982389631521355
Mgmt,3,10.33692298530587
Lipt2,3,6.466207965606629
Lgi2,3,4.417514148157006
LOC115490443,3,0.6614819715964864
Kif1b,3,0.4406394814841958
Igfbp2,3,9.920649458766581
Ifit1,3,-0.5060095075609865
Hspa12b,3,6.07317398235558
Gm5532,3,9.976591389178475
Msantd2,3,5.18073453026642
Gm14393,3,0.5516040392743985
Gm14168,3,9.771276416934027
Gm13889,3,1.7065786916624617
Flna,3,6.665944374236166
Fance,3,1.978031749855857
Fam167a,3,9.24240860102109
F12,3,7.4950439233648956
Eya1,3,6.935370421666813
Epha10,3,9.94600848235721
Elmod3,3,-1.7684383402113653
Mreg,3,4.758004623283353
Nkx2-1,3,2.632360346107544
Myo1e,3,12.05345235929999
Dock5,3,11.214834637254407
Zfp771,3,5.014479531465098
Zfp41,3,12.410943896393036
Zfp385c,3,6.665059091649457
Xkr8,3,4.950246542965353
Uri1,3,1.9879745333031593
Ubqln1,3,2.4155920990511714
Tmem160,3,2.6042809097109574
Tmem131l,3,7.577875486326138
Tm7sf2,3,10.24337266001959
Szt2,3,11.663139631771871
Slc9b2,3,9.471728850079712
Slc4a7,3,8.009010043975708
Sema6a,3,4.736209509863962
Rnf19b,3,3.0475875173473903
Rexo5,3,6.385999876766289
Rbm26,3,2.2499336521079703
Pxdn,3,6.985647812770608
Ptgr1,3,10.450660905474843
Pawr,3,10.876390514029806
Pan3,3,2.847622450427424
Nupr2,3,8.533561740255942
Echdc2,3,11.235187588472114
Zfyve9,3,1.9847889301955712
Atp11c,3,10.813369965469336
Adap2,3,7.342105886040527
Cdan1,3,3.912796214940217
Apmap,3,2.0986367134527986
Cd53,3,9.9184636555725
Ccn1,3,10.111139239255186
Ccdc9b,3,10.739682423412603
Ccdc78,3,8.785348187327907
Brwd3,3,11.011973436366992
Baz1b,3,1.5844311991590967
Cgnl1,3,9.974542897126367
C2cd4d,3,7.197142854449617
Cacna1d,3,11.291666481571285
Calcr,3,8.393146088816707
BC065397,3,9.921538348310172
Acvr1c,3,7.3653768918396025
Cdc45,3,10.816238877484446
Bag1,2,2.7151364045329167
Nptx2,2,1.3635212857661205
Plcg1,2,2.808043944153966
Prkar2b,2,1.765598981397003
Nr4a3,2,-0.12350285758898616
Nrap,2,1.0597477777445876
Nsmce4a,2,3.0593483060661826
Nudt3,2,1.1404534696313307
Ppp1r17,2,11.200549192908607
Bean1,2,2.6269561102276526
Bc1,2,2.058340145535721
Ppm1b,2,1.5502076364164616
Oas2,2,0.3913405733819143
Plekhh2,2,9.47626908750431
Pisd-ps1,2,1.423255730217936
Odc1,2,2.739734226021773
Pde3a,2,10.27189104156934
Oprm1,2,2.0827229898232376
Pcdh11x,2,1.955965466697169
Pnrc1,2,1.4876259967702286
Nanos1,2,2.408618413518064
Nlrp1c-ps,2,2.74799424398052
Bod1,2,3.2815744305061783
LOC118568291,2,1.5045224452731711
LOC118568351,2,3.3260908449509037
LOC118568370,2,0.048786593413086554
LOC118568383,2,1.316549930700349
Lepr,2,-0.114505771686786
Lnpep,2,1.8562730935478056
Loc100909586,2,1.111540207516774
Loc100909609,2,1.3849260511076515
Loc102547029,2,1.3778895021690973
Mapk1,2,1.798149206154873
Mcc,2,1.435405757337037
Mef2d,2,1.2042498126750745
