symbol,mean_lfc
0610006I08Rik,0.2651784649
0610006K04Rik,0.2567909433
0610006L08Rik,-0.351822179225166
0610007P08Rik,-0.17130299332499999
0610007P14Rik,0.2473585634
0610007P22Rik,-0.1942919775
0610009B22Rik,-0.1600853532
0610009E02Rik,-0.4459230961511414
0610009F02Rik,-0.1253069396
0610009I22Rik,-0.1815457408
0610009J22Rik,0.4445557597
0610009O03Rik,0.32974647446666666
0610009O20Rik,0.3717988258
0610010D24Rik,-0.1393971078
0610010F05Rik,-0.3120180336194811
0610010K14Rik,0.15123549215918453
0610011N22Rik,0.187046211
0610012A05Rik,0.1192049966
0610012D14Rik,0.1365623526
0610012D17Rik,-0.2547679373
0610012G03Rik,0.3043020054927118
0610025P10Rik,0.4607397098
0610027O18Rik,0.2931250208
0610030E20Rik,-0.21652859595829368
0610030H11Rik,0.2857616457
0610031J06Rik,0.2619664485
0610033H09Rik,-0.1897007732
0610034P02Rik,0.2972353835
0610039D01Rik,0.14243441353333333
0610039H22Rik,-2.077456753002446
0610039J04Rik,0.2621434039
0610040B21Rik,-0.3284939952
0610040J01Rik,-0.039888820925786383
0610041B22Rik,-0.1440332554
0610042G04Rik,0.3783689198311323
0710005M24Rik,-0.21128765700000002
0710007A14Rik,0.1694233312
0710008K08Rik,0.1112761804
1100001D10Rik,0.3139090648
1110001A05Rik,-0.2892536104785714
1110001A12Rik,-0.1508204616
1110001C20Rik,-0.1480732948
1110001E17Rik,0.27652783459999997
1110001J03Rik,0.156098615
1110002B05Rik,-0.3652844076
1110002E23Rik,0.7573418767
1110002L01Rik,-0.4306978634539835
1110002N22Rik,0.2021084238
1110003A17Rik,0.1501183102
1110003E01Rik,-0.3513132377
1110004B13Rik,0.23962112986666664
1110004F10Rik,-0.215113805908587
1110006G06Rik,0.210423927
1110006I15Rik,-0.3468158353000005
1110006O24Rik,-0.008536752334364683
1110007A13Rik,0.29208268839999996
1110007C02Rik,0.237361554600001
1110007C05Rik,0.5030205325
1110007C24Rik,-0.2852913818
1110007L15Rik,0.23514371900000003
1110007M04Rik,-0.2182008214
1110008F13Rik,0.2617761534
1110008J03Rik,0.3436334893
1110008P14Rik,0.2600291880500163
1110011D13Rik,0.3611734858
1110011K10Rik,0.295023453
1110012D08Rik,0.3253188949
1110012E06Rik,0.497740872
1110012J17Rik,0.1879841436
1110013L07Rik,0.4029529301
1110014D18Rik,0.1066476406
1110015K06Rik,0.147409415
1110017O22Rik,-0.1761168126
1110018J18Rik,0.0852637756
1110018N20Rik,0.45055429980693257
1110019C08Rik,0.2764283058
1110019L22Rik,0.477512214
1110019N10Rik,0.222663944
1110020A09Rik,0.2063790706
1110020A21Rik,1.0293713373195172
1110020C13Rik,-0.3211548982999995
1110020G09Rik,-0.0859585138000001
1110020M19Rik,0.1634936794
1110020P15Rik,-0.2337752315000005
1110025I09Rik,0.1431125591
1110025M09Rik,0.19117147221796485
1110028N05Rik,0.34560010939999997
1110030H18Rik,-0.363569465899999
1110030J09Rik,0.29084027425000003
1110031I02Rik,0.2018647866
1110032D12Rik,-0.37197606949999995
1110035L05Rik,0.2213714726
1110036O03Rik,0.3706334634
1110038B12Rik,1.044195406728905
1110038D17Rik,0.246896449
1110038F14Rik,0.09745783599568884
1110039B18Rik,0.21537243080000001
1110046J04Rik,-0.6302942643858377
1110048D14Rik,0.0920982691999999
1110049B09Rik,-0.1706459355
1110051M20Rik,0.2631442554705107
1110054N06Rik,-0.2901864182
1110057K04Rik,0.3651838938
1110059E24Rik,-0.38957419630937135
1110059F07Rik,0.1680858754
1110059G10Rik,-0.2231331553692436
1110061O04Rik,0.2935734922666667
1110063F24Rik,0.3287024113
1110064P04Rik,0.1800513144
1110065P20Rik,0.2841315742947186
1110067D22Rik,-0.2261395064
1190002C06Rik,0.2109640162
1190002H23Rik,0.16317991
1190002N15Rik,-0.2609317634
1190003J15Rik,0.419791431
1190005F20Rik,-0.1628077724
1190005I06Rik,0.6549733095085389
1190005P17Rik,-0.1851967784
1190007F08Rik,0.2531034902
1190007I07Rik,0.48332819142575456
1200002M06Rik,0.1804513576
1200003C05Rik,-0.281178751
1200006F02Rik,0.1538181636
1200006O19Rik,-0.26160154010000003
1200009B18Rik,-0.31225998273333333
1200009O22Rik,-0.468414811799999
1200011M11Rik,0.0926028421999999
1200011O22Rik,0.377095663
1200013B22Rik,0.1293203136
1200013F24Rik,-0.2846154325833333
1200013P24Rik,0.27579799260000004
1200014P03Rik,0.3625361117
1200015A19Rik,0.1402664098
1200015F23Rik,0.16920469473333333
1200016B10Rik,0.2982947023
1200016D23Rik,0.20377358820000002
1300001I01Rik,0.225432946
1300003K24Rik,-0.3470337736
1300006C06Rik,0.1259910208
1300006N24Rik,0.1981431206
1300007L22Rik,0.2506916746
1300010A20Rik,0.281020437
1300010K09Rik,0.1737113758
1300017J02Rik,2.8234969365200304
1300018I05Rik,-0.2297143495000005
1300018J18Rik,0.3391714387
1300018L09Rik,-0.1517923136
1300018P11Rik,0.27943246416
1500001H12Rik,0.2182079114
1500001M20Rik,0.23671903986666665
1500002B03Rik,0.195670113
1500002F19Rik,0.9428138536750424
1500002I11Rik,-0.2873323012
1500002O20Rik,0.2720213328
1500003D12Rik,-0.3600824335
1500003O03Rik,-0.5110634801999999
1500004A08Rik,0.2417056276
1500004A13Rik,-0.1298324329627639
1500005A01Rik,-0.2165311708
1500009C09Rik,0.36322819992929245
1500009L16Rik,-0.24802663557295235
1500010J02Rik,0.22867772973333333
1500011B03Rik,0.2006225413086678
1500015A07Rik,-0.3863835618563904
1500016H10Rik,0.2146959746
1500019G21Rik,0.3037633275
1500026D16Rik,0.36547546099999995
1500026H17Rik,0.061114244270146445
1500031H04Rik,-0.4969715956000005
1500032D16Rik,0.1461329248
1500041J02Rik,0.1675831512
1600002K03Rik,0.29395281009999996
1600012H06Rik,-0.10449638784668035
1600014C10Rik,0.2547846168
1600020E01Rik,0.2504294893174111
1600021C16Rik,-0.2150426812
1600027N09Rik,0.1221643082
1700001A24Rik,-0.2171446538
1700001F09Rik,-0.2811281403
1700001L19Rik,0.3067400852181085
1700001O22Rik,-0.5442679092920638
1700003E16Rik,0.2965630395721943
1700006D24Rik,0.111429253
1700008J07Rik,0.4849111033086496
1700008O03Rik,0.6131176379030446
1700009P13Rik,0.3619533476
1700012B09Rik,-0.1951040061
1700012G19Rik,-0.3811878130000005
1700013L23Rik,0.33921112919999996
1700016K19Rik,-1.2319016873838775
1700017B05Rik,0.06443856901582251
1700019D03Rik,-0.2787846028585447
1700019E19Rik,0.1814680104
1700020A23Rik,1.6984516545298451
1700020C08Rik,-0.115961962
1700020C11Rik,0.3499875999
1700020O03Rik,-0.3203296268
1700021K02Rik,0.1712829248
1700021K19Rik,0.201555102
1700022C21Rik,-0.2105438448
1700022N22Rik,0.5573894176488495
1700022N24Rik,0.14120161280000001
1700023B02Rik,0.22434605900000001
1700023O11Rik,0.327776858
1700024G13Rik,2.000880364949134
1700025B16Rik,0.3280038423
1700025G04Rik,0.007527262552254596
1700027J05Rik,0.5244667641
1700027N10Rik,0.285842292
1700028K03Rik,-0.5644694431694625
1700029P11Rik,0.1766675362
1700030B17Rik,-0.1745058388
1700030E05Rik,0.41921041189999997
1700034H14Rik,0.182516546
1700037C18Rik,0.36978317072972683
1700037H04Rik,1.0545173424156293
1700040I03Rik,0.2996564076
1700045I19Rik,0.1627983032
1700047G03Rik,-1.4309694756994993
1700047M11Rik,-0.293785625528388
1700049J03Rik,2.3790196680736804
1700052N19Rik,0.1232593321
1700056E22Rik,-0.16175129697353208
1700060H10Rik,0.2131219285
1700064K09Rik,0.2158534238
1700066M21Rik,-0.30917487653893605
1700071K01Rik,-0.248204995
1700071M16Rik,0.14043816019462577
1700084C01Rik,0.46898762780000003
1700086L19Rik,0.3923282414000403
1700086O06Rik,0.5387158538127206
1700088E04Rik,0.168562437
1700093E07Rik,0.333266013
1700094D03Rik,-0.4466620719280485
1700102P08Rik,-0.7203519998569456
1700109H08Rik,-0.118294064
1700112J16Rik,0.4713160866225047
1700113O17Rik,0.2388189222
1700120B06Rik,-0.1383969813
1700123D08Rik,0.2252218742
1700123O20Rik,0.1650359084
1700127F16Rik,0.130025438
1700129L13Rik,-0.2785100458
1810007P19Rik,0.16684403827
1810008A14Rik,0.1890015646
1810008A18Rik,0.2402518994
1810008O21Rik,0.2754087116
1810009A15Rik,0.3056402971543073
1810009B06Rik,0.2184185011
1810009H17Rik,0.2410844744
1810009K13Rik,0.171477041
1810009M01Rik,-0.3185325052
1810009O10Rik,0.314821845
1810010H24Rik,0.6447821767342986
1810010N17Rik,0.1843826072
1810013L24Rik,0.023720314201499906
1810014B01Rik,0.731324478218442
1810014F10Rik,0.258831394
1810015A11Rik,0.5227282054
1810015C04Rik,-0.2979282612
1810019D21Rik,-0.6871854419549724
1810020D17Rik,0.1915318096
1810027O10Rik,0.2648419964
1810030N24Rik,0.08531661993333335
1810030O07Rik,-0.20619724374262186
1810031K02Rik,-0.059985350899999755
1810033A06Rik,0.3777553923
1810035L17Rik,-0.242017310600001
1810037C20Rik,-0.1655613172
1810037G04Rik,0.27879415659999995
1810037I17Rik,0.4001171961223376
1810042K04Rik,0.2581680859
1810043G02Rik,0.2788701107
1810044A24Rik,0.366233265
1810044D09Rik,1.2462454412068884
1810045J01Rik,0.2884963966
1810045K06Rik,0.2389492928
1810047C23Rik,0.033057458149999996
1810048J11Rik,0.138238418
1810048P08Rik,0.3230222913
1810049H13Rik,0.2464383271
1810054G18Rik,0.2880935518
1810054O13Rik,0.2131037082
1810055E12Rik,-0.39415424076
1810055G02Rik,0.11769733034406371
1810057C19Rik,0.24594577239999998
1810057E01Rik,0.2303020818
1810057P16Rik,0.2268745072
1810058I24Rik,0.4481857852293998
1810059G22Rik,0.155707177
1810060D16Rik,0.1612201798
1810064F22Rik,-0.5854607802
1810073E21Rik,0.3257237937
1810073G14Rik,0.7205745792
1810073N04Rik,0.2531562147
1810073P09Rik,-0.3797930546
2010001A14Rik,0.12206469283729797
2010001J22Rik,0.25795689180000003
2010001M09Rik,0.1716837174
2010003J03Rik,0.21558597499999999
2010003K11Rik,1.169992810669862
2010004A03Rik,0.1649465848
2010004B12Rik,0.3354013483
2010005J08Rik,0.4256208483
2010005O13Rik,0.147879507
2010007H12Rik,0.28814280729999997
2010010A06Rik,-1.2944108908389798
2010011I20Rik,0.178433264
2010012F05Rik,0.07386284909999999
2010013E08Rik,0.3264733813
2010016I18Rik,0.8823269864060966
2010100O12Rik,0.3214376382
2010106E10Rik,1.816984715970024
2010107E04Rik,-0.46717489609999996
2010107G12Rik,-0.27200564839999997
2010300G19Rik,-0.4203186166
2010305A19Rik,-0.35861182827500004
2010315B03Rik,-0.2730633190343667
2010319C14Rik,-0.1202921286
2010320M18Rik,-0.22661575894732994
2010321M09Rik,-0.04323101320000001
2200001I15Rik,-0.2767398846
2210008A03Rik,0.2194789146
2210009G21Rik,-0.1972808988
2210010B09Rik,-0.1425421598
2210012G02Rik,0.10151637286666666
2210013K02Rik,0.2200186608
2210016F16Rik,0.30468445203952044
2210016L21Rik,0.17351457425167718
2210021A15Rik,0.1679450415
2210021J22Rik,0.147474851
2210403B10Rik,0.5170688066
2210404G23Rik,-0.18996727149999998
2210408F21Rik,0.2678358497296338
2210408I21Rik,0.0013275688578915645
2210409M21Rik,-0.21719372253333333
2210412D01Rik,-0.223172291
2210412K09Rik,-0.4463627322
2210413P10Rik,0.382407193
2210413P12Rik,0.1336866254
2210416O15Rik,1.0225369383121206
2210418O10Rik,-1.0495488391240753
2300002D11Rik,0.07193811286666667
2300008B03Rik,0.1169177432
2300009A05Rik,0.1627392021848648
2310003C23Rik,0.2147967968
2310003H01Rik,0.1447629672
2310003L22Rik,-0.2409311026
2310003P10Rik,0.21020175973333333
2310004L02Rik,0.3599924908
2310005E10Rik,0.1241298529
2310005N03Rik,-0.1911169728
2310005O14Rik,0.2300378353
2310005P05Rik,0.27107268370000004
2310006J04Rik,0.2026645802
2310007A19Rik,0.2784900312
2310007F21Rik,0.234488591799999
2310008H09Rik,0.21018854266666667
2310008M10Rik,-0.20869185369999949
2310008M20Rik,0.2381476038
2310009B15Rik,0.9308086201191303
2310009E07Rik,0.2739143475
2310009N05Rik,0.2586856636
2310010G13Rik,0.08786366526666667
2310011J03Rik,0.2616373725711089
2310014H19Rik,0.1453475326
2310014L17Rik,0.2012016737
2310015A10Rik,0.3030636652376838
2310015J09Rik,-0.3559846264
2310015N21Rik,0.1669847214
2310016C08Rik,0.167289631
2310016K04Rik,-0.1986415764
2310016M24Rik,0.1162981462
2310020H19Rik,0.1817514774
2310020H20Rik,-0.1988763092
2310020P08Rik,0.1311639851
2310021P13Rik,0.2809406656
