symbol,group,log2FC
Nrxn1,Conjugate|brainstem,0.3424152915549211
Chd6,Conjugate|brainstem,0.2434895130820568
Gdf1,Conjugate|brainstem,-0.9204882532583796
Eif3e,Conjugate|brainstem,-0.1999451027419583
Hprt1,Conjugate|brainstem,-0.2028501367868256
Rapgef1,Conjugate|brainstem,0.1485078473627032
Aff2,Conjugate|brainstem,0.9050256891521932
Tbck,Conjugate|brainstem,0.2310659648783013
Gan,Conjugate|brainstem,0.1912400434959402
Spen,Conjugate|brainstem,0.3193551923969321
Sacs,Conjugate|brainstem,0.3272465035508236
Atp2b2,Conjugate|brainstem,0.3050567536337088
Kif1a,Conjugate|brainstem,0.3156501846034972
Abl2,Conjugate|brainstem,0.2682911033566024
Prrc2c,Conjugate|brainstem,0.3724784962918476
Sorbs1,Conjugate|brainstem,0.3566099117188425
Bptf,Conjugate|brainstem,0.2611993532253395
Vwa8,Conjugate|brainstem,0.1884291169003234
Cdc42bpa,Conjugate|brainstem,0.2314656337774858
Ptprj,Conjugate|brainstem,0.2923383774159811
Tssc4,Conjugate|brainstem,-0.2424017416502307
Arhgef12,Conjugate|brainstem,0.2365487203269974
Ttbk2,Conjugate|brainstem,0.436347578013445
Cbl,Conjugate|brainstem,0.3154405691145505
Nes,Conjugate|brainstem,-0.4939168980331286
Mrs2,Conjugate|brainstem,0.1622358913571731
Hectd4,Conjugate|brainstem,0.3482407988811503
Ryr2,Conjugate|brainstem,0.2456981252649249
Slc8a1,Conjugate|brainstem,0.4796260655842316
Ralgapa1,Conjugate|brainstem,0.290577458511931
Supt6,Conjugate|brainstem,0.169616274897311
Sulf2,Conjugate|brainstem,0.2676588507645072
Ep300,Conjugate|brainstem,0.3169060477913312
Vps13d,Conjugate|brainstem,0.2417590379801753
Hecw2,Conjugate|brainstem,0.3404257157910707
Arid5b,Conjugate|brainstem,0.4189118385893219
Trio,Conjugate|brainstem,0.2074621293822769
Cntnap1,Conjugate|brainstem,0.2147636312141433
Ttbk1,Conjugate|brainstem,0.2592810424675463
Ubr4,Conjugate|brainstem,0.2095813980842789
Lonrf3,Conjugate|brainstem,0.6026050308476876
Itgb8,Conjugate|brainstem,0.585589047777312
Snrnp200,Conjugate|brainstem,0.2285972723063235
Zhx3,Conjugate|brainstem,0.2380783607411417
Aff1,Conjugate|brainstem,0.2722575511988024
Shank1,Conjugate|brainstem,0.2005003088973837
Map3k13,Conjugate|brainstem,0.2936246537280796
Gucy1a2,Conjugate|brainstem,0.8738474947556102
Faxc,Conjugate|brainstem,0.5827241771369087
Adgrl1,Conjugate|brainstem,0.2113761385094249
Zfhx2,Conjugate|brainstem,0.2314329856455055
Hivep3,Conjugate|brainstem,0.322735108638355
Usf3,Conjugate|brainstem,0.1968976921196125
Celsr2,Conjugate|brainstem,0.3397087891592294
Unc79,Conjugate|brainstem,0.255721632525668
Mon2,Conjugate|brainstem,0.2209862211920466
Hif3a,Conjugate|brainstem,0.4100316725094226
Slc4a8,Conjugate|brainstem,0.4156337225306666
Kif1b,Conjugate|brainstem,0.3440284641257354
Camsap2,Conjugate|brainstem,0.3662389906423872
Mmp16,Conjugate|brainstem,0.5312619305627787
Zzef1,Conjugate|brainstem,0.2294163000927681
Rere,Conjugate|brainstem,0.1972762626384887
Gm21986,Conjugate|brainstem,0.6659784703018415
Dok6,Conjugate|brainstem,0.5197784774106113
