accession,gse,comparison,treatment,treatment_class,control,symbol,log2FC,padj,direction,group
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Drd2,-0.5300150998649873,0.0328234788835048,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm41409,2.4575913672566614,0.0328996483660458,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm12693,-0.7938297283969715,0.0329559716912013,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm33159,1.4045350338065126,0.0332425312544528,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm9234,-0.9063012726745812,0.0332425312544528,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm34686,0.5153492041514558,0.0332425312544528,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Cpn2,3.638096597582507,0.0332909900452063,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm32335,1.6746160595508215,0.033362453576527,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm46122,1.2969173446668307,0.0335318988553849,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm36416,1.8855829494677097,0.033709188672324,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Tubb2a-ps2,-1.2104867048383643,0.0337365777817453,DOWN,GLP1_Mono|agedst_hippocampus
