gene,accession,condition
Angptl4,Acc3,Obesity/GLP-1R
Angptl6,Acc3,Obesity/GLP-1R
Ank1,Acc3,Obesity/GLP-1R
Ank2,Acc3,Obesity/GLP-1R
Ankfn1,Acc3,Obesity/GLP-1R
Ankib1,Acc3,Obesity/GLP-1R
Ankrd10,Acc3,Obesity/GLP-1R
Ankrd11,Acc3,Obesity/GLP-1R
Ankrd13b,Acc3,Obesity/GLP-1R
Ankrd13c,Acc3,Obesity/GLP-1R
Ankrd17,Acc3,Obesity/GLP-1R
Ankrd24,Acc3,Obesity/GLP-1R
Ankrd28,Acc3,Obesity/GLP-1R
Ankrd34a,Acc3,Obesity/GLP-1R
Ankrd34b,Acc3,Obesity/GLP-1R
Ankrd34c,Acc3,Obesity/GLP-1R
Ankrd45,Acc3,Obesity/GLP-1R
Ankrd49,Acc3,Obesity/GLP-1R
Ankrd52,Acc3,Obesity/GLP-1R
Anks1b,Acc3,Obesity/GLP-1R
Ankzf1,Acc3,Obesity/GLP-1R
Anln,Acc3,Obesity/GLP-1R
Ano2,Acc3,Obesity/GLP-1R
Anp32b,Acc3,Obesity/GLP-1R
Antkmt,Acc3,Obesity/GLP-1R
Antxr1,Acc3,Obesity/GLP-1R
Ap1g2,Acc3,Obesity/GLP-1R
Ap2s1,Acc3,Obesity/GLP-1R
Ap3m1,Acc3,Obesity/GLP-1R
Ap3s1,Acc3,Obesity/GLP-1R
Ap4s1,Acc3,Obesity/GLP-1R
Ap5m1,Acc3,Obesity/GLP-1R
Apba1,Acc3,Obesity/GLP-1R
Apba2,Acc3,Obesity/GLP-1R
Apbb2,Acc3,Obesity/GLP-1R
Apc,Acc3,Obesity/GLP-1R
Apc2,Acc3,Obesity/GLP-1R
Apex1,Acc3,Obesity/GLP-1R
Aph1b,Acc3,Obesity/GLP-1R
Api5,Acc3,Obesity/GLP-1R
Apobec3,Acc3,Obesity/GLP-1R
Appbp2,Acc3,Obesity/GLP-1R
Aprt,Acc3,Obesity/GLP-1R
Aqp1,Acc3,Obesity/GLP-1R
Aqp4,Acc3,Obesity/GLP-1R
Arap2,Acc3,Obesity/GLP-1R
Arc,Acc3,Obesity/GLP-1R
Arf4,Acc3,Obesity/GLP-1R
Arf5,Acc3,Obesity/GLP-1R
Arfgef3,Acc3,Obesity/GLP-1R
Arfrp1,Acc3,Obesity/GLP-1R
