gene,accession,condition
Cox7b,Acc3,Obesity/GLP-1R
Cox7c,Acc3,Obesity/GLP-1R
Cpd,Acc3,Obesity/GLP-1R
Cpeb1,Acc3,Obesity/GLP-1R
Cpeb2,Acc3,Obesity/GLP-1R
Cpeb3,Acc3,Obesity/GLP-1R
Cpeb4,Acc3,Obesity/GLP-1R
Cplx2,Acc3,Obesity/GLP-1R
Cpm,Acc3,Obesity/GLP-1R
Cpne3,Acc3,Obesity/GLP-1R
Cpox,Acc3,Obesity/GLP-1R
Cpsf4,Acc3,Obesity/GLP-1R
Cpsf6,Acc3,Obesity/GLP-1R
Cr1l,Acc3,Obesity/GLP-1R
Cracd,Acc3,Obesity/GLP-1R
Crbn,Acc3,Obesity/GLP-1R
Creb1,Acc3,Obesity/GLP-1R
Creb5,Acc3,Obesity/GLP-1R
Creg2,Acc3,Obesity/GLP-1R
Creld2,Acc3,Obesity/GLP-1R
Crim1,Acc3,Obesity/GLP-1R
Crip2,Acc3,Obesity/GLP-1R
Crk,Acc3,Obesity/GLP-1R
Crls1,Acc3,Obesity/GLP-1R
Crocc,Acc3,Obesity/GLP-1R
Crot,Acc3,Obesity/GLP-1R
Crtac1,Acc3,Obesity/GLP-1R
Crtap,Acc3,Obesity/GLP-1R
Crtc2,Acc3,Obesity/GLP-1R
Cry1,Acc3,Obesity/GLP-1R
Cryab,Acc3,Obesity/GLP-1R
Crybb1,Acc3,Obesity/GLP-1R
Crybg3,Acc3,Obesity/GLP-1R
Cryzl2,Acc3,Obesity/GLP-1R
Cse1l,Acc3,Obesity/GLP-1R
Csgalnact2,Acc3,Obesity/GLP-1R
Csnk1a1,Acc3,Obesity/GLP-1R
Cspg4b,Acc3,Obesity/GLP-1R
Csrnp1,Acc3,Obesity/GLP-1R
Csrnp3,Acc3,Obesity/GLP-1R
Csrp1,Acc3,Obesity/GLP-1R
Cst3,Acc3,Obesity/GLP-1R
Cstb,Acc3,Obesity/GLP-1R
Cstf3,Acc3,Obesity/GLP-1R
Ctdspl2,Acc3,Obesity/GLP-1R
Cthrc1,Acc3,Obesity/GLP-1R
Ctif,Acc3,Obesity/GLP-1R
Ctnna3,Acc3,Obesity/GLP-1R
Ctnnd2,Acc3,Obesity/GLP-1R
Ctsa,Acc3,Obesity/GLP-1R
Ctsz,Acc3,Obesity/GLP-1R
Ctxn1,Acc3,Obesity/GLP-1R
Cul4b,Acc3,Obesity/GLP-1R
Cwf19l2,Acc3,Obesity/GLP-1R
Cx3cr1,Acc3,Obesity/GLP-1R
Cxadr,Acc3,Obesity/GLP-1R
Cxcl12,Acc3,Obesity/GLP-1R
Cxxc1,Acc3,Obesity/GLP-1R
Cxxc4,Acc3,Obesity/GLP-1R
Cyb5d1,Acc3,Obesity/GLP-1R
Cyb5r3,Acc3,Obesity/GLP-1R
Cyfip2,Acc3,Obesity/GLP-1R
Cygb,Acc3,Obesity/GLP-1R
Cyp4f13,Acc3,Obesity/GLP-1R
Cyp51,Acc3,Obesity/GLP-1R
Cyrib,Acc3,Obesity/GLP-1R
Cys1,Acc3,Obesity/GLP-1R
Cyyr1,Acc3,Obesity/GLP-1R
D030056L22Rik,Acc3,Obesity/GLP-1R
D130043K22Rik,Acc3,Obesity/GLP-1R
D16Ertd472e,Acc3,Obesity/GLP-1R
D8Ertd738e,Acc3,Obesity/GLP-1R
D930048N14Rik,Acc3,Obesity/GLP-1R
Daam2,Acc3,Obesity/GLP-1R
Dach1,Acc3,Obesity/GLP-1R
Dach2,Acc3,Obesity/GLP-1R
Dag1,Acc3,Obesity/GLP-1R
Dagla,Acc3,Obesity/GLP-1R
Dalrd3,Acc3,Obesity/GLP-1R
Dars1,Acc3,Obesity/GLP-1R
Dbf4,Acc3,Obesity/GLP-1R
Dbi,Acc3,Obesity/GLP-1R
Dbp,Acc3,Obesity/GLP-1R
Dbpht2,Acc3,Obesity/GLP-1R
Dbt,Acc3,Obesity/GLP-1R
Dcaf10,Acc3,Obesity/GLP-1R
Dcaf12l1,Acc3,Obesity/GLP-1R
Dck,Acc3,Obesity/GLP-1R
Dclre1b,Acc3,Obesity/GLP-1R
Dcp2,Acc3,Obesity/GLP-1R
Dctn1,Acc3,Obesity/GLP-1R
Dcun1d1,Acc3,Obesity/GLP-1R
Dcun1d5,Acc3,Obesity/GLP-1R
Ddah2,Acc3,Obesity/GLP-1R
Ddit3,Acc3,Obesity/GLP-1R
Ddit4,Acc3,Obesity/GLP-1R
Ddit4l,Acc3,Obesity/GLP-1R
Ddx3x,Acc3,Obesity/GLP-1R
Ddx41,Acc3,Obesity/GLP-1R
Ddx5,Acc3,Obesity/GLP-1R
Dennd1a,Acc3,Obesity/GLP-1R
Dennd1b,Acc3,Obesity/GLP-1R
Dennd3,Acc3,Obesity/GLP-1R
Dennd4a,Acc3,Obesity/GLP-1R
Dennd4c,Acc3,Obesity/GLP-1R
Dennd5b,Acc3,Obesity/GLP-1R
Dennd6a,Acc3,Obesity/GLP-1R
Depdc5,Acc3,Obesity/GLP-1R
Depdc7,Acc3,Obesity/GLP-1R
Deptor,Acc3,Obesity/GLP-1R
Derl2,Acc3,Obesity/GLP-1R
Desi2,Acc3,Obesity/GLP-1R
Dgcr6,Acc3,Obesity/GLP-1R
Dgkb,Acc3,Obesity/GLP-1R
Dgkg,Acc3,Obesity/GLP-1R
Dgki,Acc3,Obesity/GLP-1R
Dhrs11,Acc3,Obesity/GLP-1R
Dhx36,Acc3,Obesity/GLP-1R
Dhx38,Acc3,Obesity/GLP-1R
Dhx8,Acc3,Obesity/GLP-1R
Diablo,Acc3,Obesity/GLP-1R
Diaph2,Acc3,Obesity/GLP-1R
Diaph3,Acc3,Obesity/GLP-1R
Dimt1,Acc3,Obesity/GLP-1R
Dip2a,Acc3,Obesity/GLP-1R
Dip2b,Acc3,Obesity/GLP-1R
Dip2c,Acc3,Obesity/GLP-1R
Dipk1b,Acc3,Obesity/GLP-1R
Dipk2a,Acc3,Obesity/GLP-1R
Dis3l2,Acc3,Obesity/GLP-1R
Disp2,Acc3,Obesity/GLP-1R
Dlc1,Acc3,Obesity/GLP-1R
Dlg2,Acc3,Obesity/GLP-1R
Dlg4,Acc3,Obesity/GLP-1R
Dlgap2,Acc3,Obesity/GLP-1R
Dmac2,Acc3,Obesity/GLP-1R
Dmac2l,Acc3,Obesity/GLP-1R
Dmd,Acc3,Obesity/GLP-1R
Dmpk,Acc3,Obesity/GLP-1R
Dmtn,Acc3,Obesity/GLP-1R
Dmxl1,Acc3,Obesity/GLP-1R
Dmxl2,Acc3,Obesity/GLP-1R
Dnaaf8,Acc3,Obesity/GLP-1R
Dnah7b,Acc3,Obesity/GLP-1R
Dnaja1,Acc3,Obesity/GLP-1R
Dnajb1,Acc3,Obesity/GLP-1R
Dnajb4,Acc3,Obesity/GLP-1R
Dnajb5,Acc3,Obesity/GLP-1R
Dnajb9,Acc3,Obesity/GLP-1R
Dnajc3,Acc3,Obesity/GLP-1R
Dnajc30,Acc3,Obesity/GLP-1R
Dnajc6,Acc3,Obesity/GLP-1R
Dnal1,Acc3,Obesity/GLP-1R
Dnase1l2,Acc3,Obesity/GLP-1R
Dnm1,Acc3,Obesity/GLP-1R
Dnm1l,Acc3,Obesity/GLP-1R
Dnm2,Acc3,Obesity/GLP-1R
Dnm3,Acc3,Obesity/GLP-1R
Dock1,Acc3,Obesity/GLP-1R
Dock10,Acc3,Obesity/GLP-1R
Dock2,Acc3,Obesity/GLP-1R
Dock3,Acc3,Obesity/GLP-1R
Dock4,Acc3,Obesity/GLP-1R
Dock5,Acc3,Obesity/GLP-1R
Dock8,Acc3,Obesity/GLP-1R
Dok3,Acc3,Obesity/GLP-1R
Dok4,Acc3,Obesity/GLP-1R
Donson,Acc3,Obesity/GLP-1R
Dop1b,Acc3,Obesity/GLP-1R
Dpcd,Acc3,Obesity/GLP-1R
Dpf3,Acc3,Obesity/GLP-1R
Dpp6,Acc3,Obesity/GLP-1R
Dpp8,Acc3,Obesity/GLP-1R
Dpy19l1,Acc3,Obesity/GLP-1R
Dpy19l3,Acc3,Obesity/GLP-1R
Dpy19l4,Acc3,Obesity/GLP-1R
Dpyd,Acc3,Obesity/GLP-1R
Dpysl2,Acc3,Obesity/GLP-1R
Dpysl4,Acc3,Obesity/GLP-1R
Dr1,Acc3,Obesity/GLP-1R
Dram2,Acc3,Obesity/GLP-1R
Drap1,Acc3,Obesity/GLP-1R
Drd2,Acc3,Obesity/GLP-1R
Drosha,Acc3,Obesity/GLP-1R
Dscam,Acc3,Obesity/GLP-1R
Dscaml1,Acc3,Obesity/GLP-1R
Dse,Acc3,Obesity/GLP-1R
Dsel,Acc3,Obesity/GLP-1R
Dst,Acc3,Obesity/GLP-1R
Dstn,Acc3,Obesity/GLP-1R
Dubr,Acc3,Obesity/GLP-1R
Dus2,Acc3,Obesity/GLP-1R
Dusp11,Acc3,Obesity/GLP-1R
Dusp16,Acc3,Obesity/GLP-1R
Dusp23,Acc3,Obesity/GLP-1R
Dusp4,Acc3,Obesity/GLP-1R
Dusp6,Acc3,Obesity/GLP-1R
Dync1h1,Acc3,Obesity/GLP-1R
Dync2h1,Acc3,Obesity/GLP-1R
Dynll1,Acc3,Obesity/GLP-1R
Dynlt3,Acc3,Obesity/GLP-1R
Dyrk1b,Acc3,Obesity/GLP-1R
Dzank1,Acc3,Obesity/GLP-1R
Dzip1,Acc3,Obesity/GLP-1R
E2f3,Acc3,Obesity/GLP-1R
E2f5,Acc3,Obesity/GLP-1R
Ebf4,Acc3,Obesity/GLP-1R
Ecm2,Acc3,Obesity/GLP-1R
Edem1,Acc3,Obesity/GLP-1R
Edem3,Acc3,Obesity/GLP-1R
Edf1,Acc3,Obesity/GLP-1R
Edil3,Acc3,Obesity/GLP-1R
Ednrb,Acc3,Obesity/GLP-1R
Eea1,Acc3,Obesity/GLP-1R
Eef1a2,Acc3,Obesity/GLP-1R
Eef2,Acc3,Obesity/GLP-1R
Eefsec,Acc3,Obesity/GLP-1R
Eeig1,Acc3,Obesity/GLP-1R
Efcab14,Acc3,Obesity/GLP-1R
Efcab15,Acc3,Obesity/GLP-1R
Efcab5,Acc3,Obesity/GLP-1R
Egfl6,Acc3,Obesity/GLP-1R
Egfr,Acc3,Obesity/GLP-1R
Egln2,Acc3,Obesity/GLP-1R
Eif2s1,Acc3,Obesity/GLP-1R
Eif3e,Acc3,Obesity/GLP-1R
Eif4ebp1,Acc3,Obesity/GLP-1R
Eif4g2,Acc3,Obesity/GLP-1R
Eif4g3,Acc3,Obesity/GLP-1R
Eif5,Acc3,Obesity/GLP-1R
Eif5a2,Acc3,Obesity/GLP-1R
Elavl1,Acc3,Obesity/GLP-1R
Elavl2,Acc3,Obesity/GLP-1R
Elavl4,Acc3,Obesity/GLP-1R
Elf1,Acc3,Obesity/GLP-1R
Elfn2,Acc3,Obesity/GLP-1R
Elmod3,Acc3,Obesity/GLP-1R
Elob,Acc3,Obesity/GLP-1R
Elof1,Acc3,Obesity/GLP-1R
Elovl4,Acc3,Obesity/GLP-1R
Elovl5,Acc3,Obesity/GLP-1R
Elovl7,Acc3,Obesity/GLP-1R
Emc10,Acc3,Obesity/GLP-1R
Emc9,Acc3,Obesity/GLP-1R
Emcn,Acc3,Obesity/GLP-1R
Emilin2,Acc3,Obesity/GLP-1R
Enah,Acc3,Obesity/GLP-1R
Enho,Acc3,Obesity/GLP-1R
Enkd1,Acc3,Obesity/GLP-1R
Eno1b,Acc3,Obesity/GLP-1R
Enpp4,Acc3,Obesity/GLP-1R
Enpp6,Acc3,Obesity/GLP-1R
Entpd7,Acc3,Obesity/GLP-1R
Eny2,Acc3,Obesity/GLP-1R
Ep300,Acc3,Obesity/GLP-1R
Ep400,Acc3,Obesity/GLP-1R
Epb41l1,Acc3,Obesity/GLP-1R
Epb41l2,Acc3,Obesity/GLP-1R
Epb41l3,Acc3,Obesity/GLP-1R
Epg5,Acc3,Obesity/GLP-1R
Epha4,Acc3,Obesity/GLP-1R
Epha5,Acc3,Obesity/GLP-1R
Epha6,Acc3,Obesity/GLP-1R
Ephb1,Acc3,Obesity/GLP-1R
Ephb2,Acc3,Obesity/GLP-1R
Ephb4,Acc3,Obesity/GLP-1R
Epm2aip1,Acc3,Obesity/GLP-1R
Epn3,Acc3,Obesity/GLP-1R
Eps15,Acc3,Obesity/GLP-1R
Eps8l2,Acc3,Obesity/GLP-1R
Erbb3,Acc3,Obesity/GLP-1R
Erbb4,Acc3,Obesity/GLP-1R
Erbin,Acc3,Obesity/GLP-1R
Erc1,Acc3,Obesity/GLP-1R
Erc2,Acc3,Obesity/GLP-1R
Ercc1,Acc3,Obesity/GLP-1R
Erg,Acc3,Obesity/GLP-1R
Erg28,Acc3,Obesity/GLP-1R
Eri1,Acc3,Obesity/GLP-1R
Ermard,Acc3,Obesity/GLP-1R
Ermn,Acc3,Obesity/GLP-1R
Ermp1,Acc3,Obesity/GLP-1R
Errfi1,Acc3,Obesity/GLP-1R
Esco1,Acc3,Obesity/GLP-1R
Espn,Acc3,Obesity/GLP-1R
Esrrg,Acc3,Obesity/GLP-1R
Esyt2,Acc3,Obesity/GLP-1R
Etaa1,Acc3,Obesity/GLP-1R
Etfb,Acc3,Obesity/GLP-1R
Etl4,Acc3,Obesity/GLP-1R
Etnk1,Acc3,Obesity/GLP-1R
Ets1,Acc3,Obesity/GLP-1R
Etv5,Acc3,Obesity/GLP-1R
Etv6,Acc3,Obesity/GLP-1R
Evi5,Acc3,Obesity/GLP-1R
Evpl,Acc3,Obesity/GLP-1R
Exoc5,Acc3,Obesity/GLP-1R
Exosc10,Acc3,Obesity/GLP-1R
Exph5,Acc3,Obesity/GLP-1R
Extl1,Acc3,Obesity/GLP-1R
Ezr,Acc3,Obesity/GLP-1R
Fa2h,Acc3,Obesity/GLP-1R
Fabp7,Acc3,Obesity/GLP-1R
Fads6,Acc3,Obesity/GLP-1R
Fam107a,Acc3,Obesity/GLP-1R
Fam117b,Acc3,Obesity/GLP-1R
Fam120c,Acc3,Obesity/GLP-1R
Fam131c,Acc3,Obesity/GLP-1R
Fam135a,Acc3,Obesity/GLP-1R
Fam13b,Acc3,Obesity/GLP-1R
Fam13c,Acc3,Obesity/GLP-1R
Fam162a,Acc3,Obesity/GLP-1R
Fam163b,Acc3,Obesity/GLP-1R
Fam168a,Acc3,Obesity/GLP-1R
Fam169a,Acc3,Obesity/GLP-1R
Fam174a,Acc3,Obesity/GLP-1R
Fam181b,Acc3,Obesity/GLP-1R
Fam193b,Acc3,Obesity/GLP-1R
Fam199x,Acc3,Obesity/GLP-1R
Fam20a,Acc3,Obesity/GLP-1R
Fam216a,Acc3,Obesity/GLP-1R
Fam222a,Acc3,Obesity/GLP-1R
Fam241a,Acc3,Obesity/GLP-1R
Fam53b,Acc3,Obesity/GLP-1R
Fam76b,Acc3,Obesity/GLP-1R
Fam91a1,Acc3,Obesity/GLP-1R
Fan1,Acc3,Obesity/GLP-1R
Far1,Acc3,Obesity/GLP-1R
Fasn,Acc3,Obesity/GLP-1R
Fau,Acc3,Obesity/GLP-1R
Faxc,Acc3,Obesity/GLP-1R
Fbf1,Acc3,Obesity/GLP-1R
Fbl,Acc3,Obesity/GLP-1R
Fbn1,Acc3,Obesity/GLP-1R
Fbxl15,Acc3,Obesity/GLP-1R
Fbxl21,Acc3,Obesity/GLP-1R
Fbxl6,Acc3,Obesity/GLP-1R
Fbxo11,Acc3,Obesity/GLP-1R
Fbxo30,Acc3,Obesity/GLP-1R
Fbxo31,Acc3,Obesity/GLP-1R
Fbxo32,Acc3,Obesity/GLP-1R
Fbxo33,Acc3,Obesity/GLP-1R
Fbxo41,Acc3,Obesity/GLP-1R
Fbxo46,Acc3,Obesity/GLP-1R
Fbxo8,Acc3,Obesity/GLP-1R
Fcf1,Acc3,Obesity/GLP-1R
Fcho2,Acc3,Obesity/GLP-1R
Fcrl2,Acc3,Obesity/GLP-1R
Fdps,Acc3,Obesity/GLP-1R
Fdxacb1,Acc3,Obesity/GLP-1R
Fdxr,Acc3,Obesity/GLP-1R
Fem1c,Acc3,Obesity/GLP-1R
Fgd4,Acc3,Obesity/GLP-1R
Fgd6,Acc3,Obesity/GLP-1R
Fgf10,Acc3,Obesity/GLP-1R
Fgf12,Acc3,Obesity/GLP-1R
Fgf13,Acc3,Obesity/GLP-1R
Fgf14,Acc3,Obesity/GLP-1R
Fgf2,Acc3,Obesity/GLP-1R
Fgfr2,Acc3,Obesity/GLP-1R
Fhl1,Acc3,Obesity/GLP-1R
Fhod3,Acc3,Obesity/GLP-1R
Ficd,Acc3,Obesity/GLP-1R
Filip1,Acc3,Obesity/GLP-1R
Fis1,Acc3,Obesity/GLP-1R
Fkbp14,Acc3,Obesity/GLP-1R
Fkbp2,Acc3,Obesity/GLP-1R
Fkbp5,Acc3,Obesity/GLP-1R
Fkbpl,Acc3,Obesity/GLP-1R
Fli1,Acc3,Obesity/GLP-1R
Flot2,Acc3,Obesity/GLP-1R
Flrt1,Acc3,Obesity/GLP-1R
Flywch1,Acc3,Obesity/GLP-1R
Flywch2,Acc3,Obesity/GLP-1R
Fmn1,Acc3,Obesity/GLP-1R
Fmn2,Acc3,Obesity/GLP-1R
Fmnl2,Acc3,Obesity/GLP-1R
Fmo2,Acc3,Obesity/GLP-1R
Fmr1,Acc3,Obesity/GLP-1R
Fndc3b,Acc3,Obesity/GLP-1R
Fnip1,Acc3,Obesity/GLP-1R
Folh1,Acc3,Obesity/GLP-1R
Fos,Acc3,Obesity/GLP-1R
Fosb,Acc3,Obesity/GLP-1R
Fosl2,Acc3,Obesity/GLP-1R
Foxk1,Acc3,Obesity/GLP-1R
Foxn2,Acc3,Obesity/GLP-1R
Foxn3,Acc3,Obesity/GLP-1R
Foxo1,Acc3,Obesity/GLP-1R
Foxo3,Acc3,Obesity/GLP-1R
Foxp4,Acc3,Obesity/GLP-1R
Fpgt,Acc3,Obesity/GLP-1R
Frmd4b,Acc3,Obesity/GLP-1R
Frmd8,Acc3,Obesity/GLP-1R
Frmpd1,Acc3,Obesity/GLP-1R
Frmpd3,Acc3,Obesity/GLP-1R
Frmpd4,Acc3,Obesity/GLP-1R
Frrs1l,Acc3,Obesity/GLP-1R
Frs2,Acc3,Obesity/GLP-1R
Fry,Acc3,Obesity/GLP-1R
Fsd1l,Acc3,Obesity/GLP-1R
Fsip1,Acc3,Obesity/GLP-1R
Fstl4,Acc3,Obesity/GLP-1R
Fth1,Acc3,Obesity/GLP-1R
Fubp1,Acc3,Obesity/GLP-1R
Fundc1,Acc3,Obesity/GLP-1R
Fundc2,Acc3,Obesity/GLP-1R
Fuom,Acc3,Obesity/GLP-1R
Fut10,Acc3,Obesity/GLP-1R
Fut9,Acc3,Obesity/GLP-1R
Fuz,Acc3,Obesity/GLP-1R
Fxr1,Acc3,Obesity/GLP-1R
Fxyd1,Acc3,Obesity/GLP-1R
Fxyd5,Acc3,Obesity/GLP-1R
Fyb1,Acc3,Obesity/GLP-1R
Fyco1,Acc3,Obesity/GLP-1R
Fyttd1,Acc3,Obesity/GLP-1R
Fzd2,Acc3,Obesity/GLP-1R
Fzd3,Acc3,Obesity/GLP-1R
Fzd5,Acc3,Obesity/GLP-1R
G2e3,Acc3,Obesity/GLP-1R
Gab1,Acc3,Obesity/GLP-1R
Gabbr2,Acc3,Obesity/GLP-1R
Gabpa,Acc3,Obesity/GLP-1R
Gabra1,Acc3,Obesity/GLP-1R
Gabra2,Acc3,Obesity/GLP-1R
Gabrb1,Acc3,Obesity/GLP-1R
Gabrb2,Acc3,Obesity/GLP-1R
Gabrb3,Acc3,Obesity/GLP-1R
Gabrg1,Acc3,Obesity/GLP-1R
Gabrg2,Acc3,Obesity/GLP-1R
Gadd45g,Acc3,Obesity/GLP-1R
Gale,Acc3,Obesity/GLP-1R
Galns,Acc3,Obesity/GLP-1R
Galnt13,Acc3,Obesity/GLP-1R
Galnt15,Acc3,Obesity/GLP-1R
Galnt6,Acc3,Obesity/GLP-1R
Galnt7,Acc3,Obesity/GLP-1R
Garem1,Acc3,Obesity/GLP-1R
Gas1,Acc3,Obesity/GLP-1R
Gas2,Acc3,Obesity/GLP-1R
Gata2,Acc3,Obesity/GLP-1R
Gatad2b,Acc3,Obesity/GLP-1R
Gatm,Acc3,Obesity/GLP-1R
Gbf1,Acc3,Obesity/GLP-1R
Gca,Acc3,Obesity/GLP-1R
Gcat,Acc3,Obesity/GLP-1R
Gclm,Acc3,Obesity/GLP-1R
Gdap1,Acc3,Obesity/GLP-1R
Gdap1l1,Acc3,Obesity/GLP-1R
Gdf10,Acc3,Obesity/GLP-1R
Gdpgp1,Acc3,Obesity/GLP-1R
Gemin7,Acc3,Obesity/GLP-1R
Get1,Acc3,Obesity/GLP-1R
Gfod1,Acc3,Obesity/GLP-1R
Gfpt1,Acc3,Obesity/GLP-1R
Gfpt2,Acc3,Obesity/GLP-1R
Gfra4,Acc3,Obesity/GLP-1R
Ggcx,Acc3,Obesity/GLP-1R
Ggps1,Acc3,Obesity/GLP-1R
Ghrh,Acc3,Obesity/GLP-1R
Gimap6,Acc3,Obesity/GLP-1R
Gja1,Acc3,Obesity/GLP-1R
Gja4,Acc3,Obesity/GLP-1R
Gjc3,Acc3,Obesity/GLP-1R
Gk,Acc3,Obesity/GLP-1R
Gla,Acc3,Obesity/GLP-1R
Glb1l2,Acc3,Obesity/GLP-1R
Glcci1,Acc3,Obesity/GLP-1R
Glg1,Acc3,Obesity/GLP-1R
Gli2,Acc3,Obesity/GLP-1R
Gli3,Acc3,Obesity/GLP-1R
Glmn,Acc3,Obesity/GLP-1R
Glra1,Acc3,Obesity/GLP-1R
Glra3,Acc3,Obesity/GLP-1R
Glrb,Acc3,Obesity/GLP-1R
Glrx5,Acc3,Obesity/GLP-1R
Gls,Acc3,Obesity/GLP-1R
Glul,Acc3,Obesity/GLP-1R
Gm10010,Acc3,Obesity/GLP-1R
Gm10076,Acc3,Obesity/GLP-1R
Gm10123,Acc3,Obesity/GLP-1R
Gm20604,Acc3,Obesity/GLP-1R
Gm2423,Acc3,Obesity/GLP-1R
Gm38393,Acc3,Obesity/GLP-1R
Gm49405,Acc3,Obesity/GLP-1R
Gm7353,Acc3,Obesity/GLP-1R
Gm7536,Acc3,Obesity/GLP-1R
Gm8325,Acc3,Obesity/GLP-1R
Gm973,Acc3,Obesity/GLP-1R
Gm9761,Acc3,Obesity/GLP-1R
Gm9899,Acc3,Obesity/GLP-1R
Gm9962,Acc3,Obesity/GLP-1R
Gmcl1,Acc3,Obesity/GLP-1R
Gmfb,Acc3,Obesity/GLP-1R
Gmpr,Acc3,Obesity/GLP-1R
Gmps,Acc3,Obesity/GLP-1R
Gna13,Acc3,Obesity/GLP-1R
Gnai1,Acc3,Obesity/GLP-1R
Gnai3,Acc3,Obesity/GLP-1R
Gnal,Acc3,Obesity/GLP-1R
Gng13,Acc3,Obesity/GLP-1R
Gnptab,Acc3,Obesity/GLP-1R
Golga2,Acc3,Obesity/GLP-1R
Golga7,Acc3,Obesity/GLP-1R
Golgb1,Acc3,Obesity/GLP-1R
Golm1,Acc3,Obesity/GLP-1R
Golph3,Acc3,Obesity/GLP-1R
Gorab,Acc3,Obesity/GLP-1R
Gpam,Acc3,Obesity/GLP-1R
Gpatch4,Acc3,Obesity/GLP-1R
Gpbp1,Acc3,Obesity/GLP-1R
Gpc5,Acc3,Obesity/GLP-1R
Gpcpd1,Acc3,Obesity/GLP-1R
Gpd1,Acc3,Obesity/GLP-1R
Gpm6a,Acc3,Obesity/GLP-1R
Gpm6b,Acc3,Obesity/GLP-1R
Gpn2,Acc3,Obesity/GLP-1R
Gpr12,Acc3,Obesity/GLP-1R
Gpr137c,Acc3,Obesity/GLP-1R
Gpr155,Acc3,Obesity/GLP-1R
Gpr158,Acc3,Obesity/GLP-1R
Gpr17,Acc3,Obesity/GLP-1R
Gpr22,Acc3,Obesity/GLP-1R
Gpr3,Acc3,Obesity/GLP-1R
Gpr34,Acc3,Obesity/GLP-1R
Gpr37,Acc3,Obesity/GLP-1R
Gpr45,Acc3,Obesity/GLP-1R
Gprin3,Acc3,Obesity/GLP-1R
Gramd2b,Acc3,Obesity/GLP-1R
Grid1,Acc3,Obesity/GLP-1R
Grik3,Acc3,Obesity/GLP-1R
Grik4,Acc3,Obesity/GLP-1R
Grin1,Acc3,Obesity/GLP-1R
Grin2a,Acc3,Obesity/GLP-1R
Grin2b,Acc3,Obesity/GLP-1R
Grin2d,Acc3,Obesity/GLP-1R
Grin3a,Acc3,Obesity/GLP-1R
Grk4,Acc3,Obesity/GLP-1R
Grk5,Acc3,Obesity/GLP-1R
Grm1,Acc3,Obesity/GLP-1R
Grm3,Acc3,Obesity/GLP-1R
Grm5,Acc3,Obesity/GLP-1R
Grm7,Acc3,Obesity/GLP-1R
Gsdme,Acc3,Obesity/GLP-1R
Gse1,Acc3,Obesity/GLP-1R
Gsg1l,Acc3,Obesity/GLP-1R
Gsk3b,Acc3,Obesity/GLP-1R
Gspt1,Acc3,Obesity/GLP-1R
Gsr,Acc3,Obesity/GLP-1R
Gsta4,Acc3,Obesity/GLP-1R
Gstm1,Acc3,Obesity/GLP-1R
Gstt1,Acc3,Obesity/GLP-1R
Gtf2a1,Acc3,Obesity/GLP-1R
Gtf2a2,Acc3,Obesity/GLP-1R
Gtf2f1,Acc3,Obesity/GLP-1R
Gtf3c3,Acc3,Obesity/GLP-1R
Gucy1a2,Acc3,Obesity/GLP-1R
Guf1,Acc3,Obesity/GLP-1R
Gulp1,Acc3,Obesity/GLP-1R
Gys1,Acc3,Obesity/GLP-1R
H1f10,Acc3,Obesity/GLP-1R
H2aj,Acc3,Obesity/GLP-1R
H2ax,Acc3,Obesity/GLP-1R
H6pd,Acc3,Obesity/GLP-1R
Hapln1,Acc3,Obesity/GLP-1R
Hapln4,Acc3,Obesity/GLP-1R
Hapstr1,Acc3,Obesity/GLP-1R
Haus1,Acc3,Obesity/GLP-1R
Haus2,Acc3,Obesity/GLP-1R
Haus6,Acc3,Obesity/GLP-1R
Haus7,Acc3,Obesity/GLP-1R
Haus8,Acc3,Obesity/GLP-1R
Havcr2,Acc3,Obesity/GLP-1R
Hccs,Acc3,Obesity/GLP-1R
Hcfc1,Acc3,Obesity/GLP-1R
Hcfc2,Acc3,Obesity/GLP-1R
Hcls1,Acc3,Obesity/GLP-1R
Hcn4,Acc3,Obesity/GLP-1R
Hcrtr2,Acc3,Obesity/GLP-1R
Hdac11,Acc3,Obesity/GLP-1R
Hdac4,Acc3,Obesity/GLP-1R
Hdac9,Acc3,Obesity/GLP-1R
Hddc2,Acc3,Obesity/GLP-1R
Hdgfl2,Acc3,Obesity/GLP-1R
Hdgfl3,Acc3,Obesity/GLP-1R
Hdx,Acc3,Obesity/GLP-1R
Heatr5a,Acc3,Obesity/GLP-1R
Heatr5b,Acc3,Obesity/GLP-1R
Heca,Acc3,Obesity/GLP-1R
Hectd1,Acc3,Obesity/GLP-1R
Hectd4,Acc3,Obesity/GLP-1R
Hecw1,Acc3,Obesity/GLP-1R
Hecw2,Acc3,Obesity/GLP-1R
Helz,Acc3,Obesity/GLP-1R
Hepacam,Acc3,Obesity/GLP-1R
Heph,Acc3,Obesity/GLP-1R
Herc2,Acc3,Obesity/GLP-1R
Herc4,Acc3,Obesity/GLP-1R
Herc6,Acc3,Obesity/GLP-1R
Herpud2,Acc3,Obesity/GLP-1R
Hfe,Acc3,Obesity/GLP-1R
Hgs,Acc3,Obesity/GLP-1R
Hhipl1,Acc3,Obesity/GLP-1R
Hic1,Acc3,Obesity/GLP-1R
Hif1a,Acc3,Obesity/GLP-1R
Hif3a,Acc3,Obesity/GLP-1R
Hikeshi,Acc3,Obesity/GLP-1R
Hint1,Acc3,Obesity/GLP-1R
