Accession,Condition,GeneSet,Term,NES,FDR
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.1820900969429888,0.40938814272147606
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.1490111640168776,0.48600936100936104
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.1478006065082522,0.46331011036893394
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.1002382360299252,0.5970243748021525
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.095585256937282,0.5752629436839963
Acc4,Obesity/GLP-1R,Hallmark,prerank,-1.0867255678254284,0.8470310656704679
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.066426170607522,0.6424501424501424
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.0252117708644948,0.7882628835009787
Acc4,Obesity/GLP-1R,Hallmark,prerank,1.0094479835684644,0.8093203093203093
Acc4,Obesity/GLP-1R,Hallmark,prerank,-1.0055010626317484,0.9360990955564295
Acc4,Obesity/GLP-1R,Hallmark,prerank,-0.9790530313489835,0.8444357058592213
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.9636999693202035,0.9649448779883563
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.9609811335934557,0.9372541039207707
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.9180090962516546,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.9146641452566864,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.9142161951212353,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.869338607207925,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.8592014671274175,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.8568773661323708,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.7835733280516024,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.780084570796433,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.7353198160984061,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.6752637417353888,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.6519491010482577,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,-0.6312353860782873,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.6284762633655331,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.6249112114798182,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.6243017043509994,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.5957297477818639,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,-0.5914171802120626,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.585935716365942,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,0.5720766972283555,0.9922669922669922
Acc4,Obesity/GLP-1R,Hallmark,prerank,-0.5526584524859427,1.0
Acc4,Obesity/GLP-1R,Hallmark,prerank,-0.3049610163098277,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,2.534508236120308,0.01
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.759868486163644,0.035242290748898675
Acc5,Obesity/GLP-1R,Hallmark,prerank,-1.6288202617958236,0.050156739811912224
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.6115926827253886,0.09397944199706315
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.5975125536086454,0.07929515418502203
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.5690046578675607,0.08458149779735682
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.5520567515327635,0.0763582966226138
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.4821576573597766,0.11579609817495282
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.4476871406776273,0.14390602055800292
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.429040390819116,0.14749551313427964
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.410685865161769,0.1538913362701909
Acc5,Obesity/GLP-1R,Hallmark,prerank,-1.3901538494263304,0.1598746081504702
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.3872605177909305,0.16019223067681218
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.379820171082518,0.15565345080763582
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.348059294913041,0.18976618095560827
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.32950406365108,0.1921543947975666
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.3231595226403663,0.19109153206069507
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.3172541533903122,0.18869309838472834
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.3008076157416473,0.19763323831735338
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.2979284747011348,0.19513786914667972
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.279015922593993,0.20032460004637145
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.2693377303630144,0.2055800293685756
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.262390114673783,0.20362212432697013
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.2481250632586256,0.21198771859564808
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.2408625707952954,0.21400753367809489
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.2093738090204489,0.2501223690651004
