Term,k,M,K,N,pval,odds_ratio,genes,padj,neg_log10_pval,combined_score,Accession,GeneSet,Condition
Regulation of actin cytoskeleton,47,212,3316,30178,2.0109360924614264e-06,2.0321886238379614,"ABI2,ACTN4,APC,APC2,ARHGAP35,ARHGEF1,ARHGEF12,CDC42,CFL2,CHRM2,CRK,CXCL12,CYFIP2,DIAPH2,DIAPH3,DOCK1,EGFR,ENAH,EZR,FGF10,FGF2,FGFR2,GNA13,HRAS,ITGA4,ITGA6,ITGAM,ITGAV,ITGB4,ITGB8,KRAS,LIMK1,MYH10,NRAS,PFN1,PFN2,PIK3CB,PIK3R1,PIK3R3,PIKFYVE,PPP1CB,ROCK1,ROCK2,SOS1,SOS2,SSH3,WASL",1.2358878068252517e-05,5.69660173106033,6.319153010515999,Acc3,KEGG,Obesity/GLP-1R
Ras signaling pathway,49,225,3316,30178,2.1182954965098214e-06,1.9966084771067785,"ABL2,BAD,BCL2L1,BDNF,CALM3,CDC42,CHUK,EGFR,ETS1,FGF10,FGF2,FGFR2,GAB1,GNG13,GRIN1,GRIN2A,GRIN2B,HRAS,KDR,KRAS,KSR2,MAPK8,NF1,NRAS,NTRK2,PGF,PIK3CB,PIK3R1,PIK3R3,PLA2G3,PLA2G4A,PLCE1,PLD1,RAB5A,RAP1B,RAPGEF5,RASA1,RASA2,RASGRF1,RASGRF2,RGL2,SHC3,SHC4,SOS1,SOS2,TGFA,VEGFA,VEGFB,ZAP70",1.2753003499395863e-05,5.674013457093405,6.227122765954608,Acc3,KEGG,Obesity/GLP-1R
Relaxin signaling pathway,33,128,3316,30178,2.162176830838669e-06,2.359748836846273,"ADCY3,ADCY4,ADCY5,ADCY9,ATF2,COL4A2,CREB1,CREB5,EDNRB,EGFR,FOS,GNAI1,GNAI3,GNG13,HRAS,KRAS,MAPK8,NFKBIA,NOS3,NRAS,PIK3CB,PIK3R1,PIK3R3,PLCB1,PLCB2,RXFP1,SHC3,SHC4,SOS1,SOS2,TGFBR1,VEGFA,VEGFB",1.2756843301948147e-05,5.665108790717111,6.865353977468979,Acc3,KEGG,Obesity/GLP-1R
Gap junction,25,84,3316,30178,2.238751951139353e-06,2.721454036933664,"ADCY3,ADCY4,ADCY5,ADCY9,DRD2,EGFR,GJA1,GNAI1,GNAI3,GRM1,GRM5,GUCY1A2,HRAS,HTR2A,HTR2C,ITPR2,KRAS,MAP3K2,NRAS,PLCB1,PLCB2,SOS1,SOS2,TJP1,TUBA1B",1.2949643638943317e-05,5.649994022642104,7.424738855699075,Acc3,KEGG,Obesity/GLP-1R
Circadian entrainment,27,95,3316,30178,2.407805742122145e-06,2.599475140375947,"ADCY3,ADCY4,ADCY5,ADCY9,ADCYAP1R1,CACNA1C,CACNA1I,CALM3,CAMK2D,CREB1,FOS,GNAI1,GNAI3,GNG13,GRIN1,GRIN2A,GRIN2B,GRIN2D,GUCY1A2,KCNJ6,PER1,PLCB1,PLCB2,RASD1,RPS6KA5,RYR2,RYR3",1.365966719088525e-05,5.618378554178145,7.195952059153842,Acc3,KEGG,Obesity/GLP-1R
Cellular senescence,39,166,3316,30178,3.319917229106053e-06,2.15160829458017,"ATM,ATR,BTRC,CALM3,CCND3,CCNE2,CDKN1A,E2F3,E2F5,EIF4EBP1,ETS1,FOXO1,FOXO3,GADD45G,HIPK2,HIPK3,HRAS,IGFBP3,ITPR2,KRAS,LIN37,MAP2K6,MAPKAPK2,MTOR,NRAS,PIK3CB,PIK3R1,PIK3R3,PPP1CB,PPP3CB,PPP3R1,PTEN,RAD1,RB1,RHEB,SIRT1,TGFBR1,ZFP36L1,ZFP36L2",1.847878457709973e-05,5.478872743823255,6.289268657627284,Acc3,KEGG,Obesity/GLP-1R
Breast cancer,35,143,3316,30178,3.901826255736362e-06,2.240482841653181,"APC,APC2,BAX,CDKN1A,CSNK1A1,E2F3,EGFR,FGF10,FGF2,FOS,FZD2,FZD3,FZD5,GADD45G,GSK3B,HRAS,KRAS,LRP5,MTOR,NOTCH1,NOTCH4,NRAS,PGR,PIK3CB,PIK3R1,PIK3R3,PTEN,RB1,RPS6KB1,RPS6KB2,SHC3,SHC4,SOS1,SOS2,SP1",2.13155323230042e-05,5.408732073192379,6.359167150635372,Acc3,KEGG,Obesity/GLP-1R
Aldosterone synthesis and secretion,26,92,3316,30178,4.121334271249493e-06,2.5842963673629584,"ADCY3,ADCY4,ADCY5,ADCY9,AGT,ATF1,ATF2,ATP1A3,ATP2B2,ATP2B3,ATP2B4,CACNA1C,CACNA1I,CALM3,CAMK1D,CAMK1G,CAMK2D,CAMK4,CREB1,CREB5,DAGLA,ITPR2,KCNK9,LIPE,PLCB1,PLCB2",2.2105338363974557e-05,5.384962159493447,6.874239052282534,Acc3,KEGG,Obesity/GLP-1R
Cell cycle,31,122,3316,30178,5.992667448351884e-06,2.32480160047028,"ANAPC13,ATM,ATR,CCND3,CCNE2,CCNH,CDC25B,CDC7,CDKN1A,CDKN1B,DBF4,E2F3,E2F5,EP300,GADD45G,GSK3B,MAD1L1,MAD2L1,ORC2,ORC4,ORC5,ORC6,PRKDC,RB1,SKP2,SMAD4,SMC1A,STAG1,STAG2,TFDP1,TFDP2",3.156851602256796e-05,5.222379821978628,6.2742193591365965,Acc3,KEGG,Obesity/GLP-1R
Autophagy,32,128,3316,30178,6.183249460951034e-06,2.287544532748698,"ATG16L2,ATG2B,ATG4C,BAD,BCL2L1,DDIT4,DEPTOR,EIF2S1,HIF1A,HRAS,IRS1,IRS2,KRAS,LAMP2,MAPK8,MTMR4,MTOR,NRAS,PDPK1,PIK3CB,PIK3R1,PIK3R3,PIK3R4,PRKAA2,PTEN,RB1CC1,RHEB,RPS6KB1,RPS6KB2,RPTOR,SUPT20,ULK2",3.200102791193956e-05,5.208783231694721,6.199186189832121,Acc3,KEGG,Obesity/GLP-1R
