input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
1600014C23Rik,1600014C23Rik,72240,ENSMUSG00000094690,RIKEN cDNA 1600014C23 gene
1600014K23Rik,1600014K23Rik,NA,NA,NA
1600015I10Rik,1600015I10Rik,NA,NA,NA
1600019K03Rik,1600019K03Rik,69768,ENSMUSG00000099429,RIKEN cDNA 1600019K03 gene
1600020E01Rik,1600020E01Rik,72012,ENSMUSG00000097048,RIKEN cDNA 1600020E01 gene
1600023N17Rik,1600023N17Rik,69788,ENSMUSG00000104986,RIKEN cDNA 1600023N17 gene
1600025M17Rik,1600025M17Rik,72030,ENSMUSG00000085114,RIKEN cDNA 1600025M17 gene
1600027J07Rik,1600027J07Rik,69794,ENSMUSG00000110340,RIKEN cDNA 1600027J07 gene
1600029I14Rik,1600029I14Rik,69797,ENSMUSG00000046242,RIKEN cDNA 1600029I14 gene
1600029O15Rik,1600029O15Rik,665268,ENSMUSG00000121691,ribosomal protein L17 pseudogene
1700001C02Rik,1700001C02Rik,NA,NA,NA
1700001C19Rik,1700001C19Rik,NA,NA,NA
1700001D01Rik,1700001D01Rik,69279,ENSMUSG00000099419,RIKEN cDNA 1700001D01 gene
1700001F09Rik,1700001F09Rik,71826,ENSMUSG00000095384,RIKEN cDNA 1700001F09 gene
1700001G11Rik,1700001G11Rik,69303,ENSMUSG00000085984,RIKEN cDNA 1700001G11 gene
1700001G17Rik,1700001G17Rik,67503,ENSMUSG00000103746,RIKEN cDNA 1700001G17 gene
1700001J03Rik,1700001J03Rik,69282,ENSMUSG00000095040,RIKEN cDNA 1700001J03 gene
1700001J11Rik,1700001J11Rik,72224,ENSMUSG00000121668,ring finger protein 19A pseudogene
1700001K19Rik,1700001K19Rik,66323,ENSMUSG00000056508,RIKEN cDNA 1700001K19 gene
1700001K23Rik,1700001K23Rik,69319,ENSMUSG00000118314,RIKEN cDNA 1700001K23 gene
1700001L05Rik,1700001L05Rik,69291,NA,RIKEN cDNA 1700001L05 gene
1700001L19Rik,1700001L19Rik,NA,NA,NA
1700001O22Rik,1700001O22Rik,73598,ENSMUSG00000044320,RIKEN cDNA 1700001O22 gene
1700001P01Rik,1700001P01Rik,NA,NA,NA
1700003C15Rik,1700003C15Rik,69345,ENSMUSG00000099391,RIKEN cDNA 1700003C15 gene
1700003D09Rik,1700003D09Rik,69338,ENSMUSG00000085944,RIKEN cDNA 1700003D09 gene
1700003E16Rik,1700003E16Rik,71837,ENSMUSG00000030030,RIKEN cDNA 1700003E16 gene
