SYMBOL,ENTREZID,ENSEMBL,GENENAME
Guf1,231279,ENSMUSG00000029208,"GUF1 homolog, GTPase"
Gnpda2,67980,ENSMUSG00000029209,glucosamine-6-phosphate deaminase 2
Gabra4,14397,ENSMUSG00000029211,gamma-aminobutyric acid type A receptor subunit alpha 4
Gabrb1,14400,ENSMUSG00000029212,gamma-aminobutyric acid type A receptor subunit beta 1
Commd8,27784,ENSMUSG00000029213,COMM domain containing 8
Tec,21682,ENSMUSG00000029217,tec protein tyrosine kinase
Slc10a4,231290,ENSMUSG00000029219,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4"
Slc30a9,109108,ENSMUSG00000029221,"solute carrier family 30 (zinc transporter), member 9"
Uchl1,22223,ENSMUSG00000029223,ubiquitin carboxy-terminal hydrolase L1
Fip1l1,66899,ENSMUSG00000029227,factor interacting with PAPOLA and CPSF1
Lnx1,16924,ENSMUSG00000029228,ligand of numb-protein X 1
Chic2,74277,ENSMUSG00000029229,cysteine-rich hydrophobic domain 2
Pdgfra,18595,ENSMUSG00000029231,"platelet derived growth factor receptor, alpha polypeptide"
Srd5a3,57357,ENSMUSG00000029233,steroid 5 alpha-reductase 3
Tmem165,21982,ENSMUSG00000029234,transmembrane protein 165
Nmu,56183,ENSMUSG00000029236,neuromedin U
Clock,12753,ENSMUSG00000029238,clock circadian regulator
Epha5,13839,ENSMUSG00000029245,Eph receptor A5
Ppat,231327,ENSMUSG00000029246,phosphoribosyl pyrophosphate amidotransferase
Paics,67054,ENSMUSG00000029247,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase"
Thegl,NA,NA,NA
Rest,19712,ENSMUSG00000029249,RE1-silencing transcription factor
Polr2b,231329,ENSMUSG00000029250,polymerase (RNA) II (DNA directed) polypeptide B
Cenpc1,12617,ENSMUSG00000029253,centromere protein C1
Stap1,56792,ENSMUSG00000029254,signal transducing adaptor family member 1
Pigg,433931,ENSMUSG00000029263,"phosphatidylinositol glycan anchor biosynthesis, class G"
Dr1,13486,ENSMUSG00000029265,down-regulator of transcription 1
Mtf2,17765,ENSMUSG00000029267,metal response element binding transcription factor 2
Dipk1a,67266,ENSMUSG00000029270,divergent protein kinase domain 1A
Gfi1,14581,ENSMUSG00000029275,growth factor independent 1 transcription repressor
Glmn,170823,ENSMUSG00000029276,"glomulin, FKBP associated protein"
Brdt,114642,ENSMUSG00000029279,"bromodomain, testis-specific"
Cdc7,12545,ENSMUSG00000029283,cell division cycle 7
Tgfbr3,21814,ENSMUSG00000029287,"transforming growth factor, beta receptor III"
Ambn,11698,ENSMUSG00000029288,ameloblastin
Zfp326,54367,ENSMUSG00000029290,zinc finger protein 326
Rufy3,52822,ENSMUSG00000029291,RUN and FYVE domain containing 3
Gbp9,236573,ENSMUSG00000029298,guanylate-binding protein 9
Abcg3,27405,ENSMUSG00000029299,ATP binding cassette subfamily G member 3
Spp1,20750,ENSMUSG00000029304,secreted phosphoprotein 1
Ibsp,15891,ENSMUSG00000029306,integrin binding sialoprotein
Dmp1,13406,ENSMUSG00000029307,dentin matrix protein 1
Sparcl1,13602,ENSMUSG00000029309,SPARC-like 1
Nudt9,74167,ENSMUSG00000029310,nudix hydrolase 9
Hsd17b11,114664,ENSMUSG00000029311,hydroxysteroid (17-beta) dehydrogenase 11
Klhl8,246293,ENSMUSG00000029312,kelch-like 8
Aff1,17355,ENSMUSG00000029313,"AF4/FMR2 family, member 1"
Gpat3,231510,ENSMUSG00000029314,glycerol-3-phosphate acyltransferase 3
Coq2,71883,ENSMUSG00000029319,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase
1700016H13Rik,74218,ENSMUSG00000029320,RIKEN cDNA 1700016H13 gene
Slc10a6,75750,ENSMUSG00000029321,"solute carrier family 10 (sodium/bile acid cotransporter family), member 6"
Plac8,231507,ENSMUSG00000029322,placenta-specific 8
Enoph1,67870,ENSMUSG00000029326,enolase-phosphatase 1
Hnrnpdl,50926,ENSMUSG00000029328,heterogeneous nuclear ribonucleoprotein D-like
Cds1,74596,ENSMUSG00000029330,CDP-diacylglycerol synthase 1
Prkg2,19092,ENSMUSG00000029334,"protein kinase, cGMP-dependent, type II"
Bmp3,110075,ENSMUSG00000029335,bone morphogenetic protein 3
Fgf5,14176,ENSMUSG00000029337,fibroblast growth factor 5
Antxr2,71914,ENSMUSG00000029338,anthrax toxin receptor 2
Crybb1,12960,ENSMUSG00000029343,"crystallin, beta B1"
Tpst2,22022,ENSMUSG00000029344,protein-tyrosine sulfotransferase 2
Tfip11,54723,ENSMUSG00000029345,tuftelin interacting protein 11
Srrd,70118,ENSMUSG00000029346,SRR1 domain containing
Asphd2,72898,ENSMUSG00000029348,aspartate beta-hydroxylase domain containing 2
Crybb3,12962,ENSMUSG00000029352,"crystallin, beta B3"
Tesc,57816,ENSMUSG00000029359,tescalcin
Nos1,18125,ENSMUSG00000029361,"nitric oxide synthase 1, neuronal"
Rfc5,72151,ENSMUSG00000029363,replication factor C (activator 1) 5
Wsb2,59043,ENSMUSG00000029364,WD repeat and SOCS box-containing 2
Dck,13178,ENSMUSG00000029366,deoxycytidine kinase
Alb,11657,ENSMUSG00000029368,albumin
Afm,280662,ENSMUSG00000029369,afamin
Rassf6,73246,ENSMUSG00000029370,Ras association (RalGDS/AF-6) domain family member 6
Cxcl5,20311,ENSMUSG00000029371,C-X-C motif chemokine ligand 5
Ppbp,57349,ENSMUSG00000029372,pro-platelet basic protein
Pf4,56744,ENSMUSG00000029373,platelet factor 4
Mthfd2l,665563,ENSMUSG00000029376,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
Ereg,13874,ENSMUSG00000029377,epiregulin
Areg,11839,ENSMUSG00000029378,amphiregulin
Cxcl3,330122,ENSMUSG00000029379,C-X-C motif chemokine ligand 3
Cxcl1,14825,ENSMUSG00000029380,C-X-C motif chemokine ligand 1
Shroom3,27428,ENSMUSG00000029381,shroom family member 3
2010109A12Rik,75610,ENSMUSG00000029384,RIKEN cDNA 2010109A12 gene
Ccng2,12452,ENSMUSG00000029385,cyclin G2
Gtf2h3,209357,ENSMUSG00000029387,"general transcription factor IIH, polypeptide 3"
Eif2b1,209354,ENSMUSG00000029388,"eukaryotic translation initiation factor 2B, subunit alpha"
Ddx55,67848,ENSMUSG00000029389,DEAD box helicase 55
Tmed2,56334,ENSMUSG00000029390,transmembrane p24 trafficking protein 2
Rilpl1,75695,ENSMUSG00000029392,Rab interacting lysosomal protein-like 1
Cdk2ap1,13445,ENSMUSG00000029394,cyclin dependent kinase 2 associated protein 1
Rchy1,68098,ENSMUSG00000029397,ring finger and CHY zinc finger domain containing 1
Rilpl2,80291,ENSMUSG00000029401,Rab interacting lysosomal protein-like 2
Snrnp35,76167,ENSMUSG00000029402,small nuclear ribonucleoprotein 35 (U11/U12)
Cdkl2,53886,ENSMUSG00000029403,cyclin dependent kinase like 2
Arl6ip4,65105,ENSMUSG00000029404,ADP-ribosylation factor-like 6 interacting protein 4
G3bp2,23881,ENSMUSG00000029405,G3BP stress granule assembly factor 2
Pitpnm2,19679,ENSMUSG00000029406,"phosphatidylinositol transfer protein, membrane-associated 2"
Uso1,56041,ENSMUSG00000029407,USO1 vesicle docking factor
Abcb9,56325,ENSMUSG00000029408,"ATP-binding cassette, sub-family B member 9"
Ppef2,19023,ENSMUSG00000029410,"protein phosphatase, EF hand calcium-binding domain 2"
Naaa,67111,ENSMUSG00000029413,N-acylethanolamine acid amidase
Kntc1,208628,ENSMUSG00000029414,kinetochore associated 1
Sdad1,231452,ENSMUSG00000029415,SDA1 domain containing 1
Slc15a4,100561,ENSMUSG00000029416,"solute carrier family 15, member 4"
Ajm1,381353,ENSMUSG00000029419,apical junction component 1
Rimbp2,231760,ENSMUSG00000029420,RIMS binding protein 2
Rsrc2,208606,ENSMUSG00000029422,arginine/serine-rich coiled-coil 2
Piwil1,57749,ENSMUSG00000029423,piwi-like RNA-mediated gene silencing 1
Scarb2,12492,ENSMUSG00000029426,"scavenger receptor class B, member 2"
Zcchc8,70650,ENSMUSG00000029427,"zinc finger, CCHC domain containing 8"
Stx2,13852,ENSMUSG00000029428,syntaxin 2
Ran,19384,ENSMUSG00000029430,"RAN, member RAS oncogene family"
B3gnt4,231727,ENSMUSG00000029431,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"
Nipsnap2,14467,ENSMUSG00000029432,nipsnap homolog 2
Diablo,66593,ENSMUSG00000029433,"diablo, IAP-binding mitochondrial protein"
Vps33a,77573,ENSMUSG00000029434,VPS33A CORVET/HOPS core subunit
Mmp17,23948,ENSMUSG00000029436,matrix metallopeptidase 17
Bcl7a,77045,ENSMUSG00000029438,B cell CLL/lymphoma 7A
Sfswap,231769,ENSMUSG00000029439,splicing factor SWAP
Psmd9,67151,ENSMUSG00000029440,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9"
Wdr66,NA,NA,NA
Hpd,15445,ENSMUSG00000029445,4-hydroxyphenylpyruvic acid dioxygenase
Psph,100678,ENSMUSG00000029446,phosphoserine phosphatase
Cct6a,12466,ENSMUSG00000029447,chaperonin containing TCP1 subunit 6A
Rhof,23912,ENSMUSG00000029449,ras homolog family member F (in filopodia)
Tmem116,77462,ENSMUSG00000029452,transmembrane protein 116
Mapkapk5,17165,ENSMUSG00000029454,MAP kinase-activated protein kinase 5
Aldh2,11669,ENSMUSG00000029455,"aldehyde dehydrogenase 2, mitochondrial"
Acad10,71985,ENSMUSG00000029456,"acyl-Coenzyme A dehydrogenase family, member 10"
Brap,72399,ENSMUSG00000029458,BRCA1 associated protein
Fam168a,319604,ENSMUSG00000029461,"family with sequence similarity 168, member A"
Vps29,56433,ENSMUSG00000029462,VPS29 retromer complex component
Fam216a,68948,ENSMUSG00000029463,"family with sequence similarity 216, member A"
Gpn3,68080,ENSMUSG00000029464,GPN-loop GTPase 3
Arpc3,56378,ENSMUSG00000029465,"actin related protein 2/3 complex, subunit 3"
Anapc7,56317,ENSMUSG00000029466,anaphase promoting complex subunit 7
Atp2a2,11938,ENSMUSG00000029467,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
P2rx7,18439,ENSMUSG00000029468,"purinergic receptor P2X, ligand-gated ion channel, 7"
Ift81,12589,ENSMUSG00000029469,intraflagellar transport 81
P2rx4,18438,ENSMUSG00000029470,"purinergic receptor P2X, ligand-gated ion channel 4"
Camkk2,207565,ENSMUSG00000029471,"calcium/calmodulin-dependent protein kinase kinase 2, beta"
Anapc5,59008,ENSMUSG00000029472,anaphase-promoting complex subunit 5
Rnf34,80751,ENSMUSG00000029474,ring finger protein 34
Kdm2b,30841,ENSMUSG00000029475,lysine (K)-specific demethylase 2B
Morn3,74890,ENSMUSG00000029477,MORN repeat containing 3
Ncor2,20602,ENSMUSG00000029478,nuclear receptor co-repressor 2
Dhx37,208144,ENSMUSG00000029480,DEAH-box helicase 37
Aacs,78894,ENSMUSG00000029482,acetoacetyl-CoA synthetase
Anxa3,11745,ENSMUSG00000029484,annexin A3
Mrpl1,94061,ENSMUSG00000029486,mitochondrial ribosomal protein L1
Mfsd7a,NA,NA,NA
Pde6b,18587,ENSMUSG00000029491,"phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide"
Pxmp2,19301,ENSMUSG00000029499,peroxisomal membrane protein 2
Pgam5,72542,ENSMUSG00000029500,phosphoglycerate mutase family member 5
Ankle2,71782,ENSMUSG00000029501,ankyrin repeat and LEM domain containing 2
Golga3,269682,ENSMUSG00000029502,golgin A3
P2rx2,231602,ENSMUSG00000029503,"purinergic receptor P2X, ligand-gated ion channel, 2"
Ddx51,69663,ENSMUSG00000029504,DEAD box helicase 51
Ep400,75560,ENSMUSG00000029505,E1A binding protein p400
Pus1,56361,ENSMUSG00000029507,pseudouridine synthase 1
Gpc2,71951,ENSMUSG00000029510,glypican 2 cerebroglycan
Ulk1,22241,ENSMUSG00000029512,unc-51 like kinase 1
Prkab1,19079,ENSMUSG00000029513,"protein kinase, AMP-activated, beta 1 non-catalytic subunit"
Cit,12704,ENSMUSG00000029516,citron
Ankrd7,75196,ENSMUSG00000029517,ankyrin repeat domain 7
Rab35,77407,ENSMUSG00000029518,"RAB35, member RAS oncogene family"
Chek2,50883,ENSMUSG00000029521,checkpoint kinase 2
Sirt4,75387,ENSMUSG00000029524,sirtuin 4
1700123K08Rik,76658,ENSMUSG00000029526,RIKEN cDNA 1700123K08 gene
Pxn,19303,ENSMUSG00000029528,paxillin
Ccr9,12769,ENSMUSG00000029530,C-C motif chemokine receptor 9
St7,64213,ENSMUSG00000029534,suppression of tumorigenicity 7
Triap1,69076,ENSMUSG00000029535,TP53 regulated inhibitor of apoptosis 1
Gatc,384281,ENSMUSG00000029536,glutamyl-tRNA amidotransferase subunit C
Srsf9,108014,ENSMUSG00000029538,serine and arginine-rich splicing factor 9
Cabp1,29867,ENSMUSG00000029544,calcium binding protein 1
Acads,11409,ENSMUSG00000029545,"acyl-Coenzyme A dehydrogenase, short chain"
Uncx,22255,ENSMUSG00000029546,UNC homeobox
Ints1,68510,ENSMUSG00000029547,integrator complex subunit 1
Sppl3,74585,ENSMUSG00000029550,signal peptide peptidase 3
Psmg3,66506,ENSMUSG00000029551,"proteasome (prosome, macropain) assembly chaperone 3"
Tes,21753,ENSMUSG00000029552,testin LIM domain protein
Tfec,21426,ENSMUSG00000029553,transcription factor EC
Mad1l1,17120,ENSMUSG00000029554,MAD1 mitotic arrest deficient 1-like 1
Hnf1a,21405,ENSMUSG00000029556,HNF1 homeobox A
Mrm2,68017,ENSMUSG00000029557,mitochondrial rRNA methyltransferase 2
2210016L21Rik,72357,ENSMUSG00000029559,RIKEN cDNA 2210016L21 gene
Snx8,231834,ENSMUSG00000029560,sorting nexin 8
Oasl2,23962,ENSMUSG00000029561,2'-5' oligoadenylate synthetase-like 2
Foxp2,114142,ENSMUSG00000029563,forkhead box P2
4930519G04Rik,67593,ENSMUSG00000029564,RIKEN cDNA 4930519G04 gene
Tmem168,101118,ENSMUSG00000029569,transmembrane protein 168
Lfng,16848,ENSMUSG00000029570,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
Tmem106b,71900,ENSMUSG00000029571,transmembrane protein 106B
Mmab,77697,ENSMUSG00000029575,methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)
Radil,231858,ENSMUSG00000029576,Ras association and DIL domains
Ube3b,117146,ENSMUSG00000029577,ubiquitin protein ligase E3B
Wipi2,74781,ENSMUSG00000029578,"WD repeat domain, phosphoinositide interacting 2"
Actb,11461,ENSMUSG00000029580,"actin, beta"
Fscn1,14086,ENSMUSG00000029581,fascin actin-bundling protein 1
Zfp12,231866,ENSMUSG00000029587,zinc finger protein 12
Ung,22256,ENSMUSG00000029591,uracil DNA glycosylase
Usp30,100756,ENSMUSG00000029592,ubiquitin specific peptidase 30
Rbm19,74111,ENSMUSG00000029594,RNA binding motif protein 19
Lhx5,16873,ENSMUSG00000029595,LIM homeobox protein 5
Sdsl,257635,ENSMUSG00000029596,serine dehydratase-like
Sds,231691,ENSMUSG00000029597,serine dehydratase
Plbd2,71772,ENSMUSG00000029598,phospholipase B domain containing 2
Ddx54,71990,ENSMUSG00000029599,DEAD box helicase 54
Rita1,100764,ENSMUSG00000029600,RBPJ interacting and tubulin associated 1
Iqcd,75732,ENSMUSG00000029601,IQ motif containing D
Rasal1,19415,ENSMUSG00000029602,RAS protein activator like 1 (GAP1 like)
Dtx1,14357,ENSMUSG00000029603,"deltex 1, E3 ubiquitin ligase"
Oas1b,23961,ENSMUSG00000029605,2'-5' oligoadenylate synthetase 1B
Ankrd61,66729,ENSMUSG00000029607,ankyrin repeat domain 61
Rph3a,19894,ENSMUSG00000029608,rabphilin 3A
Aimp2,231872,ENSMUSG00000029610,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
Eif2ak1,15467,ENSMUSG00000029613,eukaryotic translation initiation factor 2 alpha kinase 1
Rpl6,19988,ENSMUSG00000029614,ribosomal protein L6
Erp29,67397,ENSMUSG00000029616,endoplasmic reticulum protein 29
Ccz1,231874,ENSMUSG00000029617,CCZ1 vacuolar protein trafficking and biogenesis associated
Ocm,18261,ENSMUSG00000029618,oncomodulin
Arpc1a,56443,ENSMUSG00000029621,"actin related protein 2/3 complex, subunit 1A"
Arpc1b,11867,ENSMUSG00000029622,"actin related protein 2/3 complex, subunit 1B"
Pdap1,231887,ENSMUSG00000029623,PDGFA associated protein 1
Ptcd1,71799,ENSMUSG00000029624,pentatricopeptide repeat domain 1
Cpsf4,54188,ENSMUSG00000029625,cleavage and polyadenylation specific factor 4
Zkscan14,67235,ENSMUSG00000029627,zinc finger with KRAB and SCAN domains 14
Phf14,75725,ENSMUSG00000029629,PHD finger protein 14
Ndufa4,17992,ENSMUSG00000029632,"Ndufa4, mitochondrial complex associated"
Rnf6,74132,ENSMUSG00000029634,ring finger protein (C3H2C3 type) 6
Cdk8,264064,ENSMUSG00000029635,cyclin dependent kinase 8
Wasf3,245880,ENSMUSG00000029636,"WASP family, member 3"
Glcci1,170772,ENSMUSG00000029638,glucocorticoid induced transcript 1
Usp12,22217,ENSMUSG00000029640,ubiquitin specific peptidase 12
Rasl11a,68895,ENSMUSG00000029641,"RAS-like, family 11, member A"
Polr1d,20018,ENSMUSG00000029642,polymerase (RNA) I polypeptide D
Pan3,72587,ENSMUSG00000029647,PAN3 poly(A) specific ribonuclease subunit
Flt1,14254,ENSMUSG00000029648,FMS-like tyrosine kinase 1
Pomp,66537,ENSMUSG00000029649,proteasome maturation protein
Slc46a3,71706,ENSMUSG00000029650,"solute carrier family 46, member 3"
Mtus2,77521,ENSMUSG00000029651,microtubule associated tumor suppressor candidate 2
N4bp2l2,381695,ENSMUSG00000029655,NEDD4 binding protein 2-like 2
C8b,110382,ENSMUSG00000029656,"complement component 8, beta polypeptide"
Hsph1,15505,ENSMUSG00000029657,heat shock 105kDa/110kDa protein 1
Wdr95,381693,ENSMUSG00000029658,WD40 repeat domain 95
Medag,70717,ENSMUSG00000029659,mesenteric estrogen dependent adipogenesis
Tex26,75860,ENSMUSG00000029660,testis expressed 26
Col1a2,12843,ENSMUSG00000029661,"collagen, type I, alpha 2"
Tfpi2,21789,ENSMUSG00000029664,tissue factor pathway inhibitor 2
Tspan12,269831,ENSMUSG00000029669,tetraspanin 12
Ing3,71777,ENSMUSG00000029670,"inhibitor of growth family, member 3"
Wnt16,93735,ENSMUSG00000029671,"wingless-type MMTV integration site family, member 16"
Fam3c,27999,ENSMUSG00000029672,FAM3 metabolism regulating signaling molecule C
Auts2,319974,ENSMUSG00000029673,autism susceptibility candidate 2
Limk1,16885,ENSMUSG00000029674,LIM domain kinase 1
Eln,13717,ENSMUSG00000029675,elastin
Pot1a,101185,ENSMUSG00000029676,protection of telomeres 1A
Bcl7b,12054,ENSMUSG00000029681,B cell CLL/lymphoma 7B
Wasl,73178,ENSMUSG00000029684,WASP like actin nucleation promoting factor
Asb15,78910,ENSMUSG00000029685,ankyrin repeat and SOCS box-containing 15
Cul1,26965,ENSMUSG00000029686,cullin 1
Ezh2,14056,ENSMUSG00000029687,enhancer of zeste 2 polycomb repressive complex 2 subunit
Aass,30956,ENSMUSG00000029695,aminoadipate-semialdehyde synthase
Fezf1,73191,ENSMUSG00000029697,Fez family zinc finger 1
Ssc4d,109267,ENSMUSG00000029699,"scavenger receptor cysteine rich family, 4 domains"
Slc13a1,55961,ENSMUSG00000029700,"solute carrier family 13 (sodium/sulfate symporters), member 1"
Rbm28,68272,ENSMUSG00000029701,RNA binding motif protein 28
Lrwd1,71735,ENSMUSG00000029703,leucine-rich repeats and WD repeat domain containing 1
Cux1,13047,ENSMUSG00000029705,cut-like homeobox 1
Pax4,18506,ENSMUSG00000029706,paired box 4
Fscn3,56223,ENSMUSG00000029707,fascin actin-bundling protein 3
Gcc1,74375,ENSMUSG00000029708,golgi coiled coil 1
Ephb4,13846,ENSMUSG00000029710,Eph receptor B4
Actl6b,83766,ENSMUSG00000029712,actin-like 6B
Gnb2,14693,ENSMUSG00000029713,"guanine nucleotide binding protein (G protein), beta 2"
Gigyf1,57330,ENSMUSG00000029714,GRB10 interacting GYF protein 1
Pop7,74097,ENSMUSG00000029715,"processing of precursor 7, ribonuclease P family, (S. cerevisiae)"
Tfr2,50765,ENSMUSG00000029716,transferrin receptor 2
Pcolce,18542,ENSMUSG00000029718,procollagen C-endopeptidase enhancer protein
Agfg2,231801,ENSMUSG00000029722,ArfGAP with FG repeats 2
Tsc22d4,78829,ENSMUSG00000144223,"Tsc22 domain family, member 4"
Ppp1r35,69871,ENSMUSG00000029725,"protein phosphatase 1, regulatory subunit 35"
Mepce,231803,ENSMUSG00000029726,methylphosphate capping enzyme
Cyp3a13,13113,ENSMUSG00000029727,"cytochrome P450, family 3, subfamily a, polypeptide 13"
Zkscan1,74570,ENSMUSG00000029729,zinc finger with KRAB and SCAN domains 1
Mcm7,17220,ENSMUSG00000029730,minichromosome maintenance complex component 7
Tpk1,29807,ENSMUSG00000029735,thiamine pyrophosphokinase
Nobox,18291,ENSMUSG00000029736,NOBOX oogenesis homeobox
Asns,27053,ENSMUSG00000029752,asparagine synthetase
Dlx6,13396,ENSMUSG00000029754,distal-less homeobox 6
Dlx5,13395,ENSMUSG00000029755,distal-less homeobox 5
Dync1i1,13426,ENSMUSG00000029757,dynein cytoplasmic 1 intermediate chain 1
Pon3,269823,ENSMUSG00000029759,paraoxonase 3
Cald1,109624,ENSMUSG00000029761,caldesmon 1
Akr1b8,14187,ENSMUSG00000029762,"aldo-keto reductase family 1, member B8"
Exoc4,20336,ENSMUSG00000029763,exocyst complex component 4
Plxna4,243743,ENSMUSG00000029765,plexin A4
Calu,12321,ENSMUSG00000029767,calumenin
Ccdc136,232664,ENSMUSG00000029769,coiled-coil domain containing 136
Irf5,27056,ENSMUSG00000029771,interferon regulatory factor 5
Ahcyl2,74340,ENSMUSG00000029772,S-adenosylhomocysteine hydrolase-like 2
Klhdc10,76788,ENSMUSG00000029775,kelch domain containing 10
Hibadh,58875,ENSMUSG00000029776,3-hydroxyisobutyrate dehydrogenase
Gars,NA,NA,NA
Adcyap1r1,11517,ENSMUSG00000029778,adenylate cyclase activating polypeptide 1 receptor 1
Nt5c3,107569,ENSMUSG00000029780,"5'-nucleotidase, cytosolic III"
Fkbp9,27055,ENSMUSG00000029781,FK506 binding protein 9
Tmem209,72649,ENSMUSG00000029782,transmembrane protein 209
Ssmem1,75647,ENSMUSG00000029784,serine-rich single-pass membrane protein 1
Avl9,78937,ENSMUSG00000029787,AVL9 cell migration associated
Cpa5,74649,ENSMUSG00000029788,carboxypeptidase A5
Cep41,83922,ENSMUSG00000029790,centrosomal protein 41
Sspo,243369,ENSMUSG00000029797,SCO-spondin
Herc6,67138,ENSMUSG00000029798,hect domain and RLD 6
Abcg2,26357,ENSMUSG00000029802,ATP binding cassette subfamily G member 2 (Junior blood group)
Herc3,73998,ENSMUSG00000029804,hect domain and RLD 3
Tmem176b,65963,ENSMUSG00000029810,transmembrane protein 176B
Aoc1,76507,ENSMUSG00000029811,"amine oxidase, copper-containing 1"
Igf2bp3,140488,ENSMUSG00000029814,insulin-like growth factor 2 mRNA binding protein 3
Malsu1,75593,ENSMUSG00000029815,mitochondrial assembly of ribosomal large subunit 1
Gpnmb,93695,ENSMUSG00000029816,glycoprotein (transmembrane) nmb
Tra2a,101214,ENSMUSG00000029817,transformer 2 alpha
Npy,109648,ENSMUSG00000029819,neuropeptide Y
Gsdme,54722,ENSMUSG00000029821,gasdermin E
Osbpl3,71720,ENSMUSG00000029822,oxysterol binding protein-like 3
Luc7l2,192196,ENSMUSG00000029823,LUC7-like 2 (S. cerevisiae)
Zc3hav1,78781,ENSMUSG00000029826,"zinc finger CCCH type, antiviral 1"
4921507P07Rik,NA,NA,NA
Svopl,320590,ENSMUSG00000029830,SV2 related protein homolog (rat)-like
Npvf,60531,ENSMUSG00000029831,neuropeptide VF precursor
Nfe2l3,18025,ENSMUSG00000029832,"nuclear factor, erythroid derived 2, like 3"
Trim24,21848,ENSMUSG00000029833,tripartite motif-containing 24
Cbx3,12417,ENSMUSG00000029836,chromobox 3
Ptn,19242,ENSMUSG00000029838,pleiotrophin
Mtpn,14489,ENSMUSG00000029840,myotrophin
Slc13a4,243755,ENSMUSG00000029843,"solute carrier family 13 (sodium/sulfate symporters), member 4"
Slc23a4,243753,ENSMUSG00000029847,solute carrier family 23 member 4
Tcaf2,232748,ENSMUSG00000029851,TRPM8 channel-associated factor 2
Epha1,13835,ENSMUSG00000029859,Eph receptor A1
Zyx,22793,ENSMUSG00000029860,zyxin
Fam131b,76156,ENSMUSG00000029861,"family with sequence similarity 131, member B"
Clcn1,12723,ENSMUSG00000029862,"chloride channel, voltage-sensitive 1"
Casp2,12366,ENSMUSG00000029863,caspase 2
Gstk1,76263,ENSMUSG00000029864,glutathione S-transferase kappa 1
Sval1,71578,ENSMUSG00000029865,seminal vesicle antigen-like 1
Kel,23925,ENSMUSG00000029866,Kell blood group
Trpv6,64177,ENSMUSG00000029868,"transient receptor potential cation channel, subfamily V, member 6"
Ephb6,13848,ENSMUSG00000029869,Eph receptor B6
Ccdc184,239650,ENSMUSG00000029875,coiled-coil domain containing 184
Dbpht2,386753,ENSMUSG00000029878,DNA binding protein with his-thr domain
Mad2l1,56150,ENSMUSG00000029910,MAD2 mitotic arrest deficient-like 1
Ssbp1,381760,ENSMUSG00000029911,single-stranded DNA binding protein 1
Prdm5,70779,ENSMUSG00000029913,PR domain containing 5
Clec5a,23845,ENSMUSG00000029915,"C-type lectin domain family 5, member a"
Agk,69923,ENSMUSG00000029916,acylglycerol kinase
Qrfprl,243407,ENSMUSG00000029917,pyroglutamylated RFamide peptide receptor like
Mrps33,14548,ENSMUSG00000029918,mitochondrial ribosomal protein S33
Hpgds,54486,ENSMUSG00000029919,hematopoietic prostaglandin D synthase
Smarcad1,13990,ENSMUSG00000029920,SNF2 related chromatin remodeling ATPase with DExD box 1
Mkrn1,54484,ENSMUSG00000029922,"makorin, ring finger protein, 1"
Rab19,19331,ENSMUSG00000029923,"RAB19, member RAS oncogene family"
Slc37a3,72144,ENSMUSG00000029924,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
Tbxas1,21391,ENSMUSG00000029925,"thromboxane A synthase 1, platelet"
Gfpt1,14583,ENSMUSG00000029992,glutamine fructose-6-phosphate transaminase 1
Nfu1,56748,ENSMUSG00000029993,NFU1 iron-sulfur cluster scaffold
Anxa4,11746,ENSMUSG00000029994,annexin A4
Pcyox1,66881,ENSMUSG00000029998,prenylcysteine oxidase 1
Tgfa,21802,ENSMUSG00000029999,transforming growth factor alpha
Add2,11519,ENSMUSG00000030000,adducin 2
Dusp11,72102,ENSMUSG00000030002,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
Nat8,68396,ENSMUSG00000030004,N-acetyltransferase 8 (GCN5-related)
Cct7,12468,ENSMUSG00000030007,chaperonin containing TCP1 subunit 7
Pradc1,73327,ENSMUSG00000030008,protease-associated domain containing 1
Zfp638,18139,ENSMUSG00000030016,zinc finger protein 638
Reg3g,19695,ENSMUSG00000030017,regenerating islet-derived 3 gamma
Fbxl14,101358,ENSMUSG00000030019,F-box and leucine-rich repeat protein 14
Prickle2,243548,ENSMUSG00000030020,prickle planar cell polarity protein 2
Adamts9,101401,ENSMUSG00000030022,ADAM metallopeptidase with thrombospondin type 1 motif 9
Lrig1,16206,ENSMUSG00000030029,leucine-rich repeats and immunoglobulin-like domains 1
1700003E16Rik,71837,ENSMUSG00000030030,RIKEN cDNA 1700003E16 gene
Kbtbd8,243574,ENSMUSG00000030031,kelch repeat and BTB (POZ) domain containing 8
