Term,NES,NOM p-val,FDR q-val,Lead_genes
Epithelial Mesenchymal Transition,-1.5291451139220147,0.01,0.027874564459930314,LOX;COL3A1;LUM;IL15;NID2;ECM2;LOXL2;COL11A1;ACTA2;CXCL12;CALD1;SNTB1;MMP2;COL5A1;NOTCH2;WIPF1;ELN;TGFB1;COL7A1;MEST;LAMA1;LAMC1;VEGFA;LAMA2;MMP14;SGCD;PDGFRB;DCN;PRRX1;SAT1;FLNA;COMP;FZD8;COL4A2;LAMC2;BGN;ADAM12;DPYSL3;FBLN5;MYLK;COL4A1;SLIT3;ITGB1;INHBA;CDH2;TPM2;FBLN2;PLOD2;SPARC;ITGA5;TIMP1;TAGLN;SFRP1;SERPINE1;FERMT2;TGFBR3;TIMP3;CDH11;FGF2;FMOD;COL5A3;WNT5A;COL16A1;FN1;GJA1;VCAN;ITGAV;MYL9;THBS2
Pancreas Beta Cells,1.461201584148788,0.06,0.06503856041131106,GCK;SST;SCGN;CHGA;NKX2-2;SRP14;SEC11A;INSM1;SPCS1;SYT13;SRPRB;SRP9
KRAS Signaling Up,-1.460288840614892,0.01,0.05691056910569107,IL7R;CXCL10;IKZF1;PRDM1;KCNN4;CMKLR1;CFB;ETS1;BTC;LAT2;GYPC;PECAM1;IL10RA;IGF2;TRIB2;MAP3K1;LCP1;STRN;DOCK2;CCND2;PEG3;MAP4K1;ITGB2;FLT4;ADGRA2;IL2RG;TRAF1;ENG;PRRX1;CTSS;AVL9;ANO1;SEMA3B;WNT7A;ALDH1A3;ADAM17;GUCY1A1;ADAM8;PSMB8;BIRC3;IRF8;CFH;NRP1;LAPTM5;RGS16;AKAP12;C3AR1;USP12;INHBA;PLAU;NIN;KIF5C;ERO1A;HDAC9;CXCR4;TNFRSF1B;ACE;MTMR10;CBL;TNNT2;CCSER2;MMP9;FCER1G;MAFB;EVI5;TMEM100;ETV5;ST6GAL1;RELN;BTBD3;TFPI;GALNT3;BMP2
Angiogenesis,-1.435371597121944,0.03278688524590164,0.06594399277326106,COL3A1;LUM;KCNJ8;STC1;JAG1;CCND2;VEGFA;VTN;NRP1
Myc Targets V2,1.3667865964790402,0.07317073170731707,0.14845758354755784,MAP3K6;EXOSC5;DCTPP1;SRM;MRTO4;NOC4L;DUSP2;TMEM97;PPAN;RRP9;NOP16;PLK4;WDR74;PHB;MCM5;HSPE1;UNG;GRWD1;BYSL;PES1;PUS1;AIMP2;RCL1;TBRG4;SORD;MYC;CDK4;FARSA
TNF-alpha Signaling via NF-kB,-1.3632812653983861,0.012658227848101266,0.11056910569105691,CCL5;IL7R;CXCL10;SGK1;FUT4;ZC3H12A;NR4A3;MAFF;IL1A;CD80;KLF2;EDN1;ABCA1;IFIH1;IRF1;JAG1;ATF3;FOSL1;NFAT5;EGR1;MAP3K8;BHLHE40;TNFRSF9;PFKFB3;VEGFA;PER1;DUSP4;CFLAR;PDLIM5;TRAF1;NR4A2;SAT1;CLCF1;TAP1;SMAD3;NFKB1;NFKBIA;F3;BIRC3;SIK1
IL-2/STAT5 Signaling,-1.3502362405544883,0.02666666666666667,0.10790835181079084,CXCL10;GBP4;MUC1;SHE;TNFSF10;IL2RB;SCN9A;MAFF;PTCH1;FGL2;PTGER2;IL10RA;IRF6;MAP3K8;ITGA6;ITIH5;BHLHE40;TNFRSF9;NCOA3;LRIG1;CCND2;AHNAK;SLC39A8;HIPK2;CD86;TRAF1;IKZF4;CAPN3;HK2;PRKCH;POU2F1;IRF8;NFKBIZ;NRP1;P4HA1;TTC39B;RGS16;SPRED2;EOMES;BCL2;GALM;ENPP1;ALCAM;IGF1R;TIAM1;FAM126B;TNFRSF1B;RRAGD;CD48;COCH;ADAM19;RHOH;RORA;ARL4A;SLC1A5;IFNGR1;SOCS2;HUWE1;BMPR2;CSF1;ITGAV;F2RL2;IGF2R
Glycolysis,1.2822279655214648,0.01,0.21208226221079693,PFKFB1;HMMR;CDK1;ARTN;SPAG4;PKP2;MIF;PGLS;GALE;FAM162A;B3GALT6;SLC25A13;SDC1;NDUFV3;ISG20;LDHA;ALDOA;NOL3;PSMC4;GPC4;ENO1;LCT;MET;ANGPTL4;SLC25A10;STMN1;HAX1;B3GAT3;SOD1;PGAM2;KIF20A;CLN6;TALDO1;SLC16A3;GAL3ST1;PPIA;EGLN3;MDH2;GLRX;GMPPB;PGAM1;MDH1;LHPP;TPI1;CHST12;B3GNT3;FKBP4;SRD5A3;TGFBI;EFNA3;GPC1;CHPF;AKR1A1;GMPPA;MED24;GALK2;PKM;CYB5A;NSDHL;ECD;GNPDA1;ENO2;CENPA
TGF-beta Signaling,-1.2372909591668144,0.171875,0.26355013550135503,LTBP2;TGFBR1;CDH1;TGFB1;HIPK2;WWTR1;TJP1;ENG;SMAD3;APC;BMPR1A;XIAP;ARID4B;TRIM33;SPTBN1;SERPINE1;MAP3K7
Apoptosis,-1.2094839049368624,0.1780821917808219,0.29956222639149466,LUM;TNFSF10;AVPR1A;CAV1;DPYD;KRT18;TGFB2;IL1A;CDK2;IRF1;CCNA1;ATF3;MMP2;LEF1;LGALS3;CASP6;GNA15;CCND2;BRCA1;ERBB3;TOP2A;PDGFRB;CFLAR;DCN;SAT1;TAP1;CYLD;NEDD9;BIRC3;BGN;CASP8;DNAJC3
