Term,NES,NOM p-val,FDR q-val,Lead_genes
Apoptosis,-1.527030328780143,0.01,0.02643171806167401,AVPR1A;TIMP1;DCN;ANXA1;LUM;CASP1;HSPB1;BGN;MMP2;CD44;CAV1;TOP2A;IL1A;CASP4;GNA15;EMP1;ATF3;NEDD9;EGR3;CD14;ROCK1;XIAP;CDKN1A;WEE1;PTK2;BCL2L11;DPYD;CASP6;HGF;DNM1L;CASP8;PDGFRB;TGFBR3;TIMP2;BMP2;CD38;DAP;SATB1;CASP2;IFNGR1;PLAT;IFITM3
IL-2/STAT5 Signaling,-1.5233557005399194,0.01,0.023788546255506606,SELP;SPP1;IL1RL1;IRF6;FGL2;GPR65;TRAF1;CST7;COCH;CXCL10;SOCS1;SCN9A;CD48;CD44;NFIL3;IL2RB;CD86;XBP1;TNFRSF4;TLR7;TWSG1;EMP1;CDCP1;SNX14;P4HA1;WLS;GLIPR2;RABGAP1L;ENPP1;GPR83;RNH1;TGM2;CAPN3;PHTF2;BMPR2;ITGA6;LRRC8C;ALCAM;SLC1A5;PLIN2;DENND5A;PLAGL1;LRIG1;BMP2;SH3BGRL2;GBP4;CISH;HIPK2;FAM126B;TNFRSF8;IFNGR1;NRP1;BCL2;TNFRSF18;IFITM3;AHR;TNFRSF1B;MYO1E;LCLAT1;NFKBIZ;PTCH1;SPRY4;MUC1;ITGAV;AGER;SYNGR2;CDKN1C;NDRG1;BATF3;PTRH2;P2RX4;ITIH5;GALM;SLC39A8;RORA;ETV4;SHE;PNP;CD83;NCOA3;RRAGD;PTH1R;MAP3K8;TNFSF10;CYFIP1;RHOH;SNX9;TTC39B;IL10RA
Angiogenesis,-1.516003361117867,0.05,0.02342811373648378,COL3A1;TIMP1;SPP1;LUM
Myc Targets V1,1.5129562251747772,0.01,0.05422948073701843,LSM7;HNRNPA1;SNRPD3;SNRPD2;NHP2;HSPE1;SNRPG;RPL14;PPIA;FBL;RPL34;PSMA7;SNRPD1;HDDC2;COX5A;NME1;MRPL23;RPS2;POLE3;NOP56;NOP16;HNRNPA3;RPS6;RANBP1;PSMB2;PSMA4;RPL18;U2AF1;RPS3;SNRPA1;C1QBP;PRPF31;PSMD7;EEF1B2;VDAC1;RRP9;RPS10;RPL22;ERH;NDUFAB1;PHB2;NPM1;HNRNPR;MCM5;PPM1G;H2AZ1;EXOSC7;XRCC6;PSMA2;HDGF;RAD23B;CBX3;PCNA;HNRNPA2B1;APEX1;NOLC1;IMPDH2;EIF4A1;RPLP0;LDHA;ILF2;PSMB3;CDK4;SSBP1;ACP1;MRPL9;RUVBL2;LSM2;SERBP1;SNRPB2;NCBP2;RPL6;CCT2;TUFM;RNPS1;PGK1;CCT7;CDC20;RPS5
Apical Surface,-1.4224993357236322,0.05128205128205128,0.06112334801762114,SLC34A3;IL2RG;HSPB1;IL2RB;RHCG;ATP6V0A4;CRYBG1;SLC2A4;GAS1;MDGA1;PLAUR;EFNA5;SHROOM2;PCSK9;ADAM10;NTNG1
TNF-alpha Signaling via NF-kB,-1.3804467340069924,0.023255813953488372,0.07472043375127076,SPHK1;BCL3;TRAF1;CXCL10;CCL2;IL7R;TNC;CD44;NFIL3;TLR2;GPR183;PTGER4;IL1A;TNFSF9;FOS;IFIH1;TNFAIP8;F2RL1;EGR2;ACKR3;EGR1;NR4A2;ATF3;SOCS3;DDX58;EGR3;FUT4;NFE2L2;CLCF1;TANK;IRS2;LITAF;NR4A3;PDE4B;CCL5;ABCA1;CDKN1A;CD80;PLAUR;TGIF1;IL6ST;PANX1;PDLIM5;DENND5A;PMEPA1;ICAM1;FOSB;LDLR;KLF2;PFKFB3;PLEK;BMP2;IFIT2;INHBA;F3;PLAU;DNAJB4;ZFP36;NAMPT;CCNL1;TIPARP;TNFAIP3;BTG3;NFKB1;STAT5A;DUSP5;SIK1;KLF4;GFPT2;VEGFA;DUSP4;MCL1;CCRL2;RIPK2;GADD45A;BCL6;PNRC1;BIRC3;FOSL2;CCND1;RELA
Reactive Oxygen Species Pathway,1.3418827596741107,0.06779661016949153,0.17478015075376885,NQO1;NDUFA6;SOD1;TXNRD2;ATOX1;HMOX2;NDUFB4;SELENOS;MBP;CDKN2D;LAMTOR5;GLRX;LSP1;JUNB;EGLN2;GSR;PRDX2
TGF-beta Signaling,-1.318288231910749,0.1282051282051282,0.1288546255506608,CDH1;THBS1;ENG;BCAR3;WWTR1;TGFBR1;BMPR1A;SKI;SMAD6;BMPR2;XIAP;TGIF1;SMURF2;TJP1;SKIL;PMEPA1;UBE2D3;BMP2;HIPK2;MAP3K7;FNTA;CDKN1C;TRIM33
Complement,-1.3010552547861238,0.08823529411764706,0.13876651982378854,TIMP1;C3;C2;SERPING1;KLKB1;MMP14;CFB;CASP1;CP;PHEX;F5;MMP12;CFH;CD36;PLA2G4A;CASP4;ADRA2B;GMFB;GCA;ZFPM2;LAMP2;FN1;PIK3CG;HSPA5;PDP1;F8;MMP15;CD55;CCL5;PLAUR;LCP2;SH2B3;ME1;LIPA;GPD2;CTSO;VCPIP1;ZEB1;HPCAL4;PLA2G7;WAS;PLEK;TIMP2;JAK2;PPP2CB;PCSK9;KIF2A;F3;PLAT;USP15;GNAI3;TNFAIP3;DPP4;DUSP6;PIK3CA;RASGRP1;LYN;DUSP5;LRP1;CBLB;CPQ;RNF4;LCK
Coagulation,-1.2788320214403757,0.09375,0.15115638766519823,TIMP1;C3;C2;A2M;SERPING1;ANXA1;THBS1;KLKB1;MMP14;CFB;MMP2;CFH;COMP;VWF;MMP11;PROS1;THBD;LAMP2;FN1;P2RY1
