Term,NES,NOM p-val,FDR q-val,Lead_genes
Myc Targets V1,1.318949227826072,0.029411764705882353,0.2315696649029982,SNRPG;RRP9;PRPF31;COX5A;NHP2;CDK4;RANBP1;C1QBP;HNRNPA1;APEX1;PGK1;POLE3;NME1;XRCC6;LSM7;DUT;RFC4;SNRPD3;PPM1G;HDGF;RPS3;COPS5;CDK2;MRPL23;CDC20;PRDX4;H2AZ1;NOP16;IMPDH2;CCT7;RPS10;PSMA4;NPM1;CAD;PCNA;ILF2;CYC1;VDAC1;PSMC4;SNRPD1;CDC45;PCBP1;HSPD1;PPIA;PSMA2;MCM5;RAD23B;TUFM;HSPE1;RPS6;RNPS1;SNRPB2;LDHA;ERH;EIF4H;RAN;PSMB3;MRPL9;PSMD7;EIF4A1;RPL6;MCM2;PSMA7;GOT2;RPL22;MCM7;CCT2;BUB3;NDUFAB1;PHB2;SERBP1;SLC25A3;PSMB2;CNBP;FBL;POLD2;RSL1D1;PABPC4;PSMD8;AIMP2;HNRNPA3
E2F Targets,1.3172612640930699,0.06060606060606061,0.20045351473922904,AURKB;CDK1;UNG;GINS1;CDKN3;SPC24;TRIP13;NAA38;RAD51AP1;CENPE;DCTPP1;ASF1B;TCF19;KIF22;ATAD2;HMMR;HMGB3;MELK;CDKN2C;POLD1;LYAR;STMN1;POP7;LIG1;CDK4;RANBP1;HMGB2;LMNB1;CDCA3;NME1;XRCC6;MMS22L;DUT;RNASEH2A;PLK4;TIMELESS;CDCA8;HMGA1;POLE;BIRC5;SHMT1;CENPM;CDC20;PRDX4;H2AZ1;TACC3;POLA2;H2AX;NCAPD2
Interferon Alpha Response,-1.298381458932425,0.06779661016949153,0.26109324758842445,BATF2;RSAD2;CXCL10;SAMD9L;RTP4;GBP2;CCRL2;HELZ2;IFI44;TRIM14;IRF9;EIF2AK2;IL15;PARP14;USP18;LPAR6;IFIT3;SP110;B2M;IRF2;TENT5A;ELF1;GBP4;IRF7;IFITM1;PNPT1;TRIM25;IFITM3;PSMB9;IFIH1;ISG15
Complement,1.2937514632367895,0.02631578947368421,0.20806878306878304,MMP13;S100A9;LTF;MMP8;TMPRSS6;PCSK9;LGALS3;ADRA2B;PRSS36;CASP1
IL-6/JAK/STAT3 Signaling,-1.2385325988257052,0.19047619047619047,0.3483693155718879,CCR1;A2M;CXCL10;CSF2RB;CD36;MAP3K8;LEPR;TGFB1;IRF9;CSF3R;ITGA4;OSMR;CBL;CD38;PDGFC;PTPN2;PTPN1;IL13RA1;IL10RB;EBI3;STAT1;IL6ST;IL2RG;TNFRSF1B
Coagulation,1.2344871104812132,0.13636363636363635,0.2781893004115226,F12;CPN1;MMP8;TMPRSS6;MMP9
KRAS Signaling Up,-1.2146441172043743,0.109375,0.3684887459807074,MALL;TRAF1;ADAM8;CXCL10;PTGS2;DUSP6;TRIB2;NRP1;ALDH1A3;KLF4;INHBA;CCND2;PRRX1;LY96;TRIB1;F2RL1;ENG;KCNN4;ADGRL4;ETV5;GYPC;ADAM17;IGF2;EMP1;TMEM100;ALDH1A2;MAP3K1;NIN;CBL;PECAM1;WNT7A;MTMR10;C3AR1;CFH;LAPTM5;LIF;LCP1;CDADC1;CMKLR1;SOX9;ITGBL1;GNG11;FCER1G;ANO1;ERO1A;PEG3;HSD11B1;PRKG2;EPHB2;IL2RG;RBM4;AVL9;TNFRSF1B;HBEGF;CCSER2;BTBD3
Adipogenesis,1.21365626032613,0.07407407407407407,0.28613756613756614,CYP4B1;RETN;PEMT;RAB34;CIDEA;ETFB;SULT1A1;CDKN2C;PFKL;PIM3;GRPEL1;PPARG;NDUFA5;PTGER3;SLC1A5;COX6A1;COX8A;SLC19A1;SLC25A1;APOE;UQCR10;AIFM1;CHCHD10;UQCR11;TALDO1;ALDOA;SOD1;UQCRQ;ALDH2;REEP6;MGST3;UBC;DNAJC15;ESRRA;COX7B;RETSAT;DHRS7;COQ5;ESYT1;ELMOD3;NDUFS3;ARL4A;NKIRAS1;LPL;SNCG;JAGN1;STAT5A;ADIPOR2;UQCRC1;SUCLG1;NDUFB7;CYC1;YWHAG;ANGPTL4;COQ3;SAMM50;PREB;ACAA2;COQ9;CMBL;ABCB8;MTARC2;AGPAT3;POR;MIGA2;ACLY;CAVIN1;PEX14;MRPL15;SDHC;MDH2;DHCR7;QDPR;BCKDHA;TKT;SCARB1;LIPE;NDUFAB1;MGLL;TOB1;GBE1
Myogenesis,1.2010907210608492,0.07142857142857142,0.2776334776334776,PTGIS;COX7A1;COX6A2;MYH1;MYH3;DAPK2;TNNT1;BDKRB2;TCAP;FABP3;LSP1;CTF1;TPM2;NQO1;SH3BGR;COL1A1;PVALB;MYL6B;OCEL1;ENO3;ATP2A1;ACTN3;IGFBP3;MYH4;MYH8;DES;CAMK2B;PFKM;KCNH2;MYH2;PICK1;PGAM2;FDPS;GABARAPL2;MYL4;MYOM1;HRC;GSN;BIN1;AK1;TNNC1;LARGE1;ACHE;SMTN;ACTA1;FST;ACTN2;MAPRE3;PTP4A3;PYGM;STC2;KCNH1;PSEN2
Angiogenesis,-1.1872209879201447,0.13513513513513514,0.39442658092175775,NRP1;CCND2;VCAN;COL3A1;THBD;TIMP1;VEGFA;APOH;LUM;STC1
