Term,NES,NOM p-val,FDR q-val,Lead_genes
Influenza A,-0.8606421493151547,0.6081081081081081,0.8261997503609828,PRKCA;MAPK1;JAK2;RAB11A;PML;PIK3R1;CASP9;EP300;NUP98;SOCS3;ADAR;IKBKB;IRF9;APAF1;NXT2;CHUK;IKBKG;PIK3CB;HNRNPUL1;TNFRSF1A;STAT1;RAF1;ICAM1;IFNAR2;KPNA1;PIK3R3;IFNGR1;FDPS;DNAJC3
Taste transduction,-0.8599021567747772,0.726027397260274,0.8234298132939873,GABBR1;GABRA3;CHRM3
Viral protein interaction with cytokine and cytokine receptor,-0.8554650347928552,0.6981132075471698,0.8277049683609385,IL6ST;CXCL12;CX3CR1;CCR6
Glycosphingolipid biosynthesis,-0.8537467911243397,0.6451612903225806,0.8271336490075439,ST6GALNAC5;B3GALNT1;ST3GAL5;ST6GALNAC4;GCNT2;B4GALT3;ST8SIA1
Other types of O-glycan biosynthesis,-0.8511532716163502,0.7246376811594203,0.8275683174178866,GALNT1;OGT;GALNTL6;RFNG;XXYLT1;B4GALT3;GALNT11;GALNT2;GALNT13;POMT1;ST6GAL1
Nicotinate and nicotinamide metabolism,-0.8499558852204512,0.65,0.8252894872101612,PNP;SIRT1;NT5E;NUDT12;NT5C2;ENPP1;ASPDH
Mucin type O-glycan biosynthesis,-0.8416871728091011,0.6153846153846154,0.8362913197994255,GALNT1;ST6GALNAC4;GCNT1;GALNTL6;GALNT11;GALNT2;GALNT13
beta-Alanine metabolism,0.8318941610217724,0.6060606060606061,0.995124540095656,SMOX;ACADS;ALDH2;ALDH3B1;ALDH1B1
Arginine biosynthesis,0.8295925280773553,0.625,0.9809750592203991,GLUL;ACY1;ASS1;GOT2
Neutrophil extracellular trap formation,-0.818299520122671,0.8493150684931506,0.8724180082984134,PRKCA;MAPK1;PLCG1;PIK3R1;HDAC5;VDAC3;AQP9;HDAC6;VWF;CLCN3
"Glycine, serine and threonine metabolism",0.8139393356791151,0.78125,0.9960466366984952,ALAS2;GRHPR;SHMT2;GAMT;SDSL;DAO
Cortisol synthesis and secretion,-0.8099356804602202,0.726027397260274,0.8826418643032699,ATF4;GNAS;CREB1;ATF2;ADCY2;CREB5;CACNA1G;CACNA1F;GNAQ;ITPR1;ITPR2;ADCY1
Leishmaniasis,-0.8095171969976296,0.8181818181818182,0.8789442621425417,EEF1A2;TAB2;MAPK1;JAK2;TGFB2;C3;TRAF6
Pathogenic Escherichia coli infection,-0.8021774056689339,0.9166666666666666,0.8881729606306278,MYO10;TAB2;ABCF2;NCKAP1;MAPK9;TUBB2B;ROCK1;MAPK1;ROCK2;MYH11;CLDN7;CASP9;TAB3;SEC24B;LPAR4;PAK3;MYH10;WASF2;IKBKB;TRAF6;CHUK;IKBKG;ARPC5;BAIAP2;MYO1C;MAPK12;CTTN;OCLN;MAPK8;GNA13;WASL;TNFRSF1A
