Term,NES,NOM p-val,FDR q-val,Lead_genes
Thermogenesis,1.834874103526832,0.01,0.01894867955530232,PNPLA2;CREB3L4;SLC25A29;NDUFS7;NDUFA11;NDUFS8;UQCR11;NPPA;NDUFA2;COX16;UQCRQ;COX17;UQCR10;LIPE;COA4;CREB3L1;NDUFA13;NDUFB1;COA6;COX4I2;NDUFAF3;COX14;NDUFS5;NDUFC1;NDUFV3;NDUFA7;SDHB;MAPK11;NDUFC2;COX7B;COX7C;COA3;NDUFA6;COX6B2;NDUFAF8;NDUFV2;COX6B1;NDUFB2;NDUFA8;NDUFA1;NDUFAF5;NDUFB7;NDUFA4;CYC1;COX18;COX6A1;COX5A;NDUFS4;COX19;COX4I1;GNAS;NDUFA10;NDUFA5;ACTL6B;UQCRC1;COX5B;NDUFB6;NDUFB11;COX6C;RHEB;UQCRB;CREB3L3;COX8A;COX7A2;AKT1S1;COX11;ATP5PB;NDUFAF7;NDUFB8;COX20;NDUFS3;NDUFB5;NDUFB10;NDUFB9;HRAS;SIRT6;NDUFA12;SMARCB1;NDUFA3;NDUFB4;MAPK12;NDUFAB1;CREB3L2;UQCRH;NDUFA9;ADRB3;ACTG1;SDHD;NDUFS6;NDUFAF2;GRB2;NDUFV1;PRKACA;SMARCA4;UQCRC2;UQCRFS1;NDUFB3;RPS6;CREB3
Small cell lung cancer,-1.8206254348461228,0.01,0.01779700293526958,COL4A3;CKS2;COL4A6;NOS2;COL4A5;CDK2;LAMC3;TRAF5;LAMA5;ITGA6;LAMA4;LAMA1;TRAF6;LAMC1;CKS1B;LAMA2;E2F2;TRAF1;APAF1;TRAF3;NFKB1;NFKBIA;COL4A4;RXRG;BIRC3;COL4A2;LAMC2;DDB2;CHUK;BCL2;COL4A1;ITGB1;LAMB2;XIAP;RARB;LAMB1;PTEN
Pyruvate metabolism,1.767099396811678,0.01,0.025507837862906967,ACOT12;ALDH1B1;GRHPR;LDHA;LDHD;ACYP1;ACYP2;HAGH;MDH2;MDH1;LDHB;AKR1A1;ACACB;PKM;ACAT2;PDHB;PCK2;ACSS2
Non-alcoholic fatty liver disease,1.7507154655207904,0.01,0.0260746787043049,IL1B;NDUFS7;NDUFA11;CASP7;NR1H3;NDUFS8;UQCR11;NDUFA2;UQCRQ;UQCR10;NDUFA13;NDUFB1;COX4I2;NDUFS5;NDUFC1;NDUFV3;NDUFA7;SDHB;MAPK11;NDUFC2;COX7B;COX7C;FAS;NDUFA6;COX6B2;NDUFV2;COX6B1;NDUFB2;NDUFA8;NDUFA1;NDUFB7;NDUFA4;CYC1;COX6A1;COX5A;NDUFS4;BAX;COX4I1;NDUFA10;NDUFA5;DDIT3;UQCRC1;COX5B;NDUFB6;NDUFB11;CEBPA;JUN;COX6C;UQCRB;COX8A;COX7A2;EIF2S1;NDUFB8;NDUFS3;NDUFB5;NDUFB10;NDUFB9;BID;NDUFA12;NDUFA3;NDUFB4;MAPK12;ATF4;NDUFAB1;PIK3R2;UQCRH;NDUFA9;CYCS;SDHD;NDUFS6;XBP1;TNFRSF1A;NDUFV1;UQCRC2;UQCRFS1
Focal adhesion,-1.7459611336220087,0.01,0.03954889541171018,COL6A6;COL4A3;ITGA1;KDR;COL9A1;FLT1;COL4A6;CAV1;ITGB7;COL4A5;FLNB;LAMC3;LAMA5;ITGA6;LAMA4;LAMA1;CCND2;LAMC1;VEGFA;LAMA2;ITGA9;FLT4;VEGFD;PDGFRB;ITGA7;VAV1;VCL;FLNA;SOS2;COMP;PDGFRA;CAV2;VASP;COL4A4;BIRC3;ITGA8;COL4A2;LAMC2;VTN;CRKL;DOCK1;VAV3;RAC2;PARVB;BCL2;ITGA10;EGFR;MYLK;COL4A1;BRAF;ITGB1;SHC3;SHC4;LAMB2;XIAP;ITGA5;ROCK1;ITGB8;COL6A5;PXN;RAPGEF1;LAMB1;PIP5K1A;GSK3B;TLN1;PTEN;IGF1R;SOS1;FLNC;ARHGAP5;PAK2;PAK4;PPP1R12B;FN1;PDPK1;PIK3CA;DIAPH1;VWF;ITGAV;MYL9;RELN;THBS2;MYLK3
Prion disease,1.7394486068499573,0.01,0.026528151377423245,IL1B;TUBA8;CREB3L4;NDUFS7;NDUFA11;PSMB3;NDUFS8;UQCR11;PSMB4;NDUFA2;HSPA1A;PSMB5;UQCRQ;C8G;UQCR10;CREB3L1;NDUFA13;NDUFB1;ADRM1;TUBB2A;COX4I2;NDUFS5;PSMA5;NDUFC1;NDUFV3;NDUFA7;SDHB;TUBB2B;MAPK11;NDUFC2;COX7B;COX7C;PSMC4;NDUFA6;COX6B2;TUBB4B;NDUFV2;COX6B1;NDUFB2;NDUFA8;PSMA7;PSMB1;NDUFA1;NDUFB7;SEM1;PSMB6;NDUFA4;PSMC3;CYC1;TUBB4A;COX6A1;TUBA4A;COX5A;NDUFS4;BAX;COX4I1;PSMD3;SOD1;NDUFA10;NDUFA5;DDIT3;UQCRC1;COX5B;NDUFB6;CSNK2B;NDUFB11;PSMD13;COX6C;UQCRB;PRKCD;CREB3L3;COX8A;COX7A2;PSMD8;PSMC2;PSMA2;PSMA1;PSMA6;PSMD14;EIF2S1;ATP5PB;NDUFB8;TUBA1B;PSMC6;NDUFS3;NDUFB5;PSMD4;TUBA1C;NDUFB10;NDUFB9;TUBB3;TUBA1A;KLC2;NDUFA12;HSPA8;NDUFA3;PSMB2;NDUFB4;ATF6B;MAPK12;VDAC3;ATF4;NDUFAB1;PIK3R2;CREB3L2;PSMA4;TUBB6;PSMD7;PSMB7;UQCRH;SLC25A4;NDUFA9;GRIN1;CYCS;PSMA3;SDHD;NDUFS6;BAD;KLC1;PSMC5;NDUFV1;PRKACA;UQCRC2;UQCRFS1;PSMC1;NDUFB3;STIP1;CREB3
Protein export,1.737964514293718,0.01,0.024116501252202948,SEC61B;IMMP2L;SEC11C;IMMP1L;SRP14;SEC11A;SPCS1;SRPRB;SEC61G;SRP9;SRP19;SPCS2
Transcriptional misregulation in cancer,-1.7208803636624643,0.01,0.04802365871421951,NTRK1;NGFR;SLC45A3;CD40;FLT1;PER2;PROM1;IL2RB;ITGB7;SIX4;NR4A3;RUNX1;HPGD;CCNA1;MEIS1;ETV6;ITGAM;TGFBR2;KMT2A;CCND2;CD86;FOXO1;ERG;CCNT2;TRAF1;BMP2K;ZEB1;BCL11B;SPI1;NFKB1;ATM;RXRG;BIRC3;RUNX1T1;NFKBIZ;MITF;DDB2;FLI1;CCNT1;EYA1;SIN3A;PPARG;PLAU;ELK4;JMJD1C;BCL6;SP1;ATF1
AGE-RAGE signaling pathway in diabetic complications,-1.7033047403283221,0.01,0.05190792522786961,CYBB;COL4A3;COL3A1;AGT;COL4A6;COL4A5;TGFB2;IL1A;EDN1;MMP2;TGFBR1;EGR1;TGFB1;TGFBR2;PLCE1;VEGFA;FOXO1;VEGFD;SMAD3;NFKB1;PLCG2;COL4A4;STAT1;F3;SMAD4;COL4A2;BCL2;NFATC1;COL4A1;JAK2
Glycolysis / Gluconeogenesis,1.6945791224372933,0.01,0.03656123427016666,GCK;ENO4;ALDH3B2;ALDH1B1;GAPDH;ALDH3A1;LDHA;ALDOA;ENO1;PGAM2;PFKL;ALDH3B1;PGAM1;TPI1;LDHB;G6PC3;AKR1A1;PKM;ENO2;PGK1;PDHB;MINPP1;PCK2;ACSS2;HK1;DLD;PFKP;HKDC1
