Term,NES,NOM p-val,FDR q-val,Lead_genes
AGE-RAGE signaling pathway in diabetic complications,-1.892624271985,0.01,0.03774036543525094,COL3A1;SELE;COL1A1;COL1A2;CCL2;MMP2;FOXO1;TGFBR2;IL1A;STAT1;THBD;PLCB4;NFATC1;FN1;NOX1;TGFBR1;COL4A5;EGR1;VCAM1;PLCD4;CYBB;PIK3R3;COL4A3;ICAM1;NRAS;COL4A6;JAK2;KRAS;NOS3;F3;BCL2;VEGFC;SMAD4;MAPK9;PIK3CA;AGER;STAT3;NFKB1;COL4A4;STAT5A;RAC1;PLCE1;VEGFA;TGFB3;MAPK8;AKT2;CCND1;DIAPH1;RELA;PIK3CB;CDC42;PLCB3;PRKCD
Huntington disease,1.8746614636393963,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;PSMA8;COX8A;NDUFA3;NDUFB3;UQCRB;SEM1;POLR2K;NDUFA5;NDUFA1;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;UQCR10;NDUFA8;NDUFA12;POLR2L;COX7B;NDUFB6;NDUFB2;POLR2J;COX4I1;SLC25A4;COX6A1;CREB3L3;NDUFB8;PSMB5;NDUFA6;COX6C;NDUFB7;NDUFV3;SOD1;COX6B1;CYCS;KLC3;DNAH14;CLTB;BBC3;PSMA7;POLR2E;COX5A;POLR2F;NDUFB10;SLC25A5;NDUFA7;DCTN6;BAX;PSMB6;PSMB2;PSMA4;NDUFB4;PSMB7;ATG101;NDUFA4;PSMC5;GRIN2B;NDUFS4;DCTN3;PSMD7;VDAC1;NDUFB11;DCTN5;COX7A2;PSMD4;DLG4;SDHA;POLR2I;NDUFAB1;UQCRH;DCTN2;NDUFC1;DNAL4;NDUFS3;NDUFV1;NDUFS8;PSMC3;PSMC1;NDUFC2;PSMA2;TUBB2A;POLR2H;COX7A2L;TUBB2B;SDHD;ADRM1;DNAH9
NOD-like receptor signaling pathway,-1.8663026146916013,0.01,0.04860501609085348,NLRP12;OAS2;OAS3;CCL2;CASR;GBP3;CASP1;CASP12;ANTXR2;GBP2;TLR4;CASP4;STING1;IRF9;STAT1;ERBIN;PLCB4;PKN2;CHUK;TAB2;GBP5;TANK;ANTXR1;GBP7;NEK7;IKBKB;CCL5;NLRC4;XIAP;TAB3;MYD88;STAT2;PANX1;TRAF6;DNM1L;CYBB;CASP8;ATG5;GBP4;HSP90AA1;FADD;BCL2;MAP3K7;NOD2;IFNAR1;NAMPT;BRCC3;TRPM7;RIPK1;TNFAIP3;MAPK9;ATG12;NOD1;NFKB1;RIPK2;MAPK8;SUGT1;RHOA;BIRC3;TRAF3;RELA;AIM2;TICAM1;PLCB3;PRKCD
Toll-like receptor signaling pathway,-1.8584405363651308,0.01,0.041661442363588694,SPP1;CXCL10;LBP;CD40;TLR3;TLR2;TLR9;CD86;TLR4;TLR6;FOS;TLR7;LY96;TICAM2;STAT1;TIRAP;CD14;CHUK;TAB2;IKBKB;CCL5;CD80;MYD88;TRAF6;PIK3R3;CASP8;MAP2K4;FADD;TLR8;MAP3K7;IFNAR1;RIPK1;MAPK9;PIK3CA;NFKB1;RAC1;MAPK8;AKT2;TRAF3;RELA;PIK3CB;TICAM1
Proteasome,1.792342996311772,0.01,0.01,PSMA8;SEM1;PSMB5;PSMA7;PSME2;PSMB6;PSMB2;PSMA4;PSMB7;POMP;PSMC5;PSMB10;PSMD7;PSMD4;PSMC3;PSMC1;PSMA2;ADRM1;PSMD6;PSMB3;PSME1;PSMD9
ECM-receptor interaction,-1.7767733161547594,0.01,0.055752812574802524,SPP1;COL1A1;THBS1;COL1A2;COL6A3;ITGA10;COL6A6;ITGB7;SDC1;TNC;CD44;CD36;ITGB8;COMP;VWF;THBS2;LAMC2;HSPG2;LAMA1;FN1;LAMA4;COL4A5
Spliceosome,1.7757367297509457,0.01,0.01,SNRPF;LSM7;FUS;LSM4;HNRNPA1;CCDC12;SRSF5;LSM8;SNRPD3;SNRPD2;SNRPE;SNRNP70;SNRPG;ZMAT2;SART1;LSM5;SNRPD1;RP9;RBM8A;MAGOHB;HNRNPA3;SRSF9;SF3A3;SNRNP27;U2AF1;SNRPC;RBMXL1;SNRPA1;ALYREF;SNRPB;PRPF31;SF3A2;PPIH;PPIE;SNRNP40;ACIN1;PQBP1;PPIL1;DDX42;HNRNPK;SF3B2;LSM3;U2AF2;U2AF1L4;CWC15;BCAS2;ISY1;SYF2;LSM2;RBM17;PRPF40B;SNRPB2;MAGOH;NCBP2;THOC3
Complement and coagulation cascades,-1.746093152949785,0.01,0.0686188462459108,C3;BDKRB1;C2;SERPIND1;A2M;SERPING1;KLKB1;CFB;F5;CFH;VWF;PROS1;ITGAX;THBD;C3AR1;TFPI;F13A1;MASP2;F8;C4B;CD55;PLAUR
Focal adhesion,-1.7144812493756065,0.01,0.07891167318279742,SPP1;COL1A1;THBS1;COL1A2;COL6A3;ITGA10;COL6A6;ITGB7;TNC;CAV1;ITGB8;MET;COMP;VWF;THBS2;ARHGAP5;LAMC2;LAMA1;FN1;CAV2;PTEN;LAMA4;COL4A5;SOS2;PAK5;ROCK1;RAP1B;RAC2;TLN1;PARVB;PDGFC;FLNC;COL2A1;KDR;XIAP;ITGA6;PTK2;ITGB5;HGF;DOCK1;SOS1;EGF;PIK3R3;COL4A3;PDGFRB;ITGA5;IGF1;COL6A2;COL4A6;GSK3B;ZYX;PAK2;PAK3;PDGFD;ITGA2B;LAMB2;BCL2;FLT1;VEGFC;VTN;EGFR;PDPK1;RAPGEF1;MAPK9;ITGAV;PIK3CA;ARHGAP35;CRK;COL4A4;ITGB4;PAK1;RAC1;ITGA9;SHC4;VEGFA;ITGB1;VAV3;CRKL;MAPK8;ROCK2;RHOA;AKT2;BIRC3;CCND1;PPP1CB;DIAPH1;LAMC1;PIK3CB;RASGRF1;CDC42;RAP1A
Amyotrophic lateral sclerosis,1.70791727164754,0.01,0.025184037194885704,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;PSMA8;COX8A;NDUFA3;NDUFB3;FUS;UQCRB;SEM1;CCS;NDUFA5;NDUFA1;PPP3R2;NDUFA2;COX7C;NDUFS5;NDUFA13;HNRNPA1;NDUFB9;UQCRQ;PRPH;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;COX4I1;COX6A1;NDUFB8;PSMB5;NDUFA6;COX6C;NDUFB7;NDUFV3;SOD1;GABARAPL1;BAD;COX6B1;CYCS;KLC3;NEFM;DNAH14;PSMA7;COX5A;NDUFB10;HNRNPA3;NDUFA7;DCTN6;BAX;PSMB6;PSMB2;PSMA4;NDUFB4;PSMB7;ATG101;NDUFA4;CHCHD10;PSMC5;ALYREF;GRIN2B;NDUFS4;DCTN3;PSMD7;VDAC1;MAP2K3;NDUFB11;DCTN5;COX7A2;PSMD4;SDHA;NDUFAB1;UQCRH;DCTN2;RAB8A;NDUFC1;PINK1;DNAL4;ANXA11;PFN1;NDUFS3;NDUFV1;NDUFS8;PSMC3;PSMC1;SQSTM1;NDUFC2;PSMA2;RAE1;TUBB2A;TOMM40L;COX7A2L;TUBB2B;SDHD;ADRM1;DNAH9;SIGMAR1;NRBF2;HNRNPA2B1;NDUFA11;WIPI2;PSMD6;NDUFA10
