category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,88/831,292/7649,0.3013698630136986,2.773980844996126,10.790359815131591,2.89800162766771e-20,9.824225517793537e-18,7.199246148732418e-18,18750/192167/110862/20743/11735/243743/18213/386750/13176/380928/268902/239857/109676/76965/20273/16536/17756/245446/18186/18481/16492/56637/238205/23797/18751/75409/99167/12558/12805/18844/22145/16490/19876/245537/259302/19266/20563/67703/214230/26414/216963/66713/26413/66797/241568/331461/20740/18607/20564/13821/54725/227613/20742/12361/327814/67771/18752/74117/242894/16485/18709/17968/22154/216856/94332/50791/13052/22153/68507/111173/22253/20562/107589/13823/26419/18845/16728/76709/22152/60367/14083/272381/17967/11820/18479/116837/210801/18710,88
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,44/831,113/7649,0.3893805309734513,3.5840814457472074,9.660974319287266,4.175855213178076e-15,7.078074586336839e-13,5.186851738473822e-13,14812/18750/14811/16519/108071/210274/224997/26557/14708/26556/18795/19055/243961/18751/14810/224129/58234/12288/14702/14799/14682/19056/16438/26562/20510/13385/108073/72961/242443/53623/26413/19058/14816/432530/18752/18749/12286/14800/110355/14677/14809/14706/105727/22063,44
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,57/831,180/7649,0.31666666666666665,2.914781387886081,9.075491895703491,1.6881984174363765e-14,1.9076642117031056e-12,1.3979467597017016e-12,18750/243743/12322/13176/13838/268902/13841/20356/171171/18186/18481/56637/19055/13839/192198/20349/13840/14365/18844/12323/12168/19056/19876/259302/22066/20563/214230/13844/26413/241568/18607/19058/20564/237860/18762/20348/18007/65254/244058/18709/20359/319713/20355/14677/22253/20562/18845/16728/13643/108151/14083/13800/22063/18479/16653/210801/18710,57
Organismal Systems,Nervous system,mmu04728,Dopaminergic synapse,45/831,130/7649,0.34615384615384615,3.1861982782560396,8.776616758024936,3.057384474410124e-13,2.5911333420625802e-11,1.8987966735810248e-11,14812/18750/14811/16519/12322/14708/18795/56637/23797/19055/18751/224129/12288/14702/14799/14682/12323/14680/19056/16438/26414/12912/53623/16522/109689/12313/269643/235542/12287/18752/18749/12286/14800/26931/12315/14677/19049/14706/214084/26419/13492/11909/51792/16574/12314,45
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,90/831,390/7649,0.23076923076923078,2.1241321855040267,7.955312437905442,8.790563336309178e-13,5.960001942017623e-11,4.367521994460981e-11,14400/53883/14402/14397/329165/76884/93880/14394/54216/19229/270120/56637/110886/14395/219257/211712/93708/18016/279653/12552/12558/93889/215654/14406/14365/75599/232906/14407/18595/14401/26414/57265/66713/93891/26413/83767/93890/12564/50884/12565/93878/93882/72821/16001/269788/93893/93876/243548/67451/235281/67771/74117/93714/242894/93879/54401/93887/216965/93883/93710/93888/192164/93885/93709/93886/19049/22628/93723/18163/93712/93716/26419/93884/93874/22631/16151/76709/14083/93875/13800/109620/192163/353237/23836/12941/18530/219228/16653/11487/245578,90
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,35/831,93/7649,0.3763440860215054,3.4640865390836275,8.346365687808118,8.994993660280228e-12,5.082171418058329e-10,3.7242429891686563e-10,14812/18750/14811/16519/12322/20191/14708/18125/18795/18751/14810/224129/12288/14702/14799/14682/12323/16438/12912/53623/16522/26413/12313/432530/18752/70729/18749/239556/14800/12315/14677/14706/11516/54195/12314,35
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,28/831,65/7649,0.4307692307692308,3.9650467462741834,8.380791069821118,2.510576594242336e-11,1.2158363792116456e-9,8.909715432198367e-10,14812/18750/14811/12322/108071/18795/19055/18751/14810/12288/14799/14682/12323/19056/16438/109880/26413/12313/19058/14816/432530/18752/18749/14800/12315/12326/16653/12314,28
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,52/831,191/7649,0.27225130890052357,2.505956993718538,7.358071724352381,1.50930956623066e-10,6.395699286902421e-9,4.686803389874155e-9,14812/14400/18750/14811/108071/14402/14708/70839/242425/14397/15550/14394/18795/110886/14395/18751/14810/224129/74191/14702/12669/14799/70155/14682/14406/15562/14407/14680/20510/108073/14401/72961/11539/242443/12671/53623/14816/432530/18752/14411/14658/18749/11553/14800/14677/14809/14706/214084/14672/18440/13492/15551,52
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,42/831,139/7649,0.302158273381295,2.7812378256239776,7.398697882514969,2.7737180100999875e-10,1.0447671171376619e-8,7.656110530802306e-9,14400/18750/16519/269060/108071/14402/14708/14397/14394/18795/110886/14395/18751/224129/12288/14702/14799/14682/14406/14407/16438/14401/72961/26414/53623/16522/26413/19225/14816/12287/432530/18752/18749/66082/12286/14800/14677/14706/12801/26419/14073/116837,42
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,43/831,151/7649,0.2847682119205298,2.621169738844925,7.024092096272701,1.3447968806579416e-9,4.558861425430422e-8,3.340758566687097e-8,12293/18750/16519/12322/20191/16520/227541/18795/19055/18751/224129/12288/12296/13712/14682/12323/19056/16438/207565/329251/16522/26413/30955/12298/12313/19058/19225/12295/432530/18752/17260/18749/12315/14677/12294/108079/107589/12326/54195/81905/140723/16653/12314,43
