category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,103/1174,292/7649,0.3527397260273973,2.2982164943641923,9.631108426084186,7.792957140961698e-18,2.6184335993631305e-15,1.7718723604712914e-15,16485/20743/272381/18213/22154/18750/18844/227613/22151/67951/18709/73710/216963/16536/22152/17756/107448/15894/13821/243743/22153/20273/111173/20562/22145/19280/214230/109676/20564/259302/18751/75409/380928/245537/225875/216856/22146/76787/245446/20740/386750/16542/110862/22143/67703/11735/192167/20779/22142/16490/19303/18607/19283/108100/23797/94332/13176/76709/19876/56637/18858/67374/20411/14182/68507/11651/17886/12524/54631/20742/58220/80297/12558/18481/21873/26414/223435/99167/238205/11820/11350/18752/19247/76965/17973/17974/210801/268932/16492/18186/52118/74144/12387/20563/26413/14360/26395/17698/268902/243911/269116/76089/58235,103
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,93/1174,294/7649,0.3163265306122449,2.0609724298578036,7.899043890799961,6.70809756906555e-13,1.1269603916030125e-10,7.626047762727153e-11,15370/23882/70686/193740/15511/12977/16175/16476/63953/269881/18750/11601/11911/12290/240672/14184/109689/15481/67603/13537/81905/13836/26397/13197/14281/18751/17869/12286/239556/22339/140723/19099/19419/18212/12475/16542/19252/12295/12293/18034/15507/12288/14254/30957/23797/16176/60597/53859/225028/211429/19055/20807/21926/18015/235584/14182/16001/11651/21808/12287/13638/13198/12675/26410/18749/14102/12296/240168/26414/109880/18595/56636/18752/216965/12297/15234/17762/19417/18018/19259/12300/26413/381921/66922/12064/75590/17873/26395/26399/26408/13712/14174/76089,93
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,43/1174,114/7649,0.37719298245614036,2.457537583310918,6.676035864912397,3.6542149470654054e-9,4.0927207407132543e-7,2.769510275670624e-7,12702/20296/16477/231991/12977/16476/18709/11911/16362/15945/15894/16449/13614/26397/14281/69601/22031/20312/14825/23797/16176/20293/12051/53859/217344/20310/21926/20339/67384/11651/12675/26410/14102/26414/74256/21938/19225/19766/26413/11797/26395/26399/26408,43
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,56/1174,180/7649,0.3111111111111111,2.0269922392579973,5.936907552491915,5.667321884347991e-8,4.760550382852313e-6,3.2214250711030693e-6,20359/18750/18844/12322/18709/13844/171171/192198/107448/243743/13836/20562/214230/20564/259302/18762/12323/13838/20779/13840/13641/18607/13176/19877/19876/237860/19055/56637/65254/14365/13643/13638/244058/58220/18481/13837/18007/223881/11350/19247/69632/17973/22067/17974/210801/12168/18186/20563/13841/26413/20355/14360/18209/13839/20349/268902,56
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer,58/1174,198/7649,0.29292929292929293,1.9085316538468158,5.515101100619205,3.351010318185104e-7,2.25187893382039e-5,1.5238278499536475e-5,21825/18750/12322/18709/57265/329251/15200/14367/18792/24088/14733/109676/18751/17869/22339/18793/12323/21859/16542/11735/20779/19303/18607/23797/16438/19877/21926/14365/14182/16001/22421/11651/21808/22411/14366/216795/18749/14102/14362/56717/109880/13039/21844/16801/18752/14369/19247/69632/15234/12512/12387/26413/66922/12390/26395/17698/13712/16419,58
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,56/1174,193/7649,0.29015544041450775,1.8904590832458006,5.334918323995191,7.518934415715631e-7,4.210603272800753e-5,2.8492804101659234e-5,20296/193740/15511/20302/16476/15519/18750/15510/12322/18709/11911/15894/16835/24088/15481/26397/14281/22031/14828/12323/12315/22359/21933/14825/12475/225164/20779/18607/23797/16176/20293/16438/19055/20310/19016/56637/21926/20339/12491/11651/13198/12675/21353/14102/26414/12313/16801/226641/17969/18018/26413/18024/20182/26399/26408/50527,56
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,46/1174,151/7649,0.304635761589404,1.984803186028408,5.204191898287319,1.68423485333278e-6,8.084327295997344e-5,5.470597418344068e-5,16476/432530/18750/11515/224129/12322/16520/227541/329251/81905/14281/18751/12323/140723/12315/207565/54720/12326/16522/30955/12295/16519/12293/12288/20779/16438/19877/211429/19055/108097/18749/12296/241113/12313/18752/19225/20191/12297/14682/18018/12300/26413/13629/26395/13712/13631,46
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,36/1174,110/7649,0.32727272727272727,2.13229053740127,5.093138080716755,3.670699800652518e-6,1.540019079477054e-4,1.0421181740822171e-4,231991/432530/18750/11515/224129/12322/18709/16520/14708/11911/16536/14672/14281/18751/12669/12286/12323/12326/110862/16522/30955/16519/12288/12671/23797/16438/11651/12287/226922/18749/18752/14682/26413/14360/26395/11444,36
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,65/1174,247/7649,0.2631578947368421,1.714561104635524,4.860729024389931,4.302783162099782e-6,1.540019079477054e-4,1.0421181740822171e-4,18213/432530/18750/11515/20541/14810/12322/14811/14812/227541/110891/12290/14184/14672/228550/18125/18751/12669/12286/11941/239556/67972/22339/12323/11550/108071/269717/12315/18212/16542/12326/12288/12671/14254/15562/14680/19204/19229/18440/16438/19055/21390/12062/18573/14182/12287/18749/18595/12313/56636/18752/20191/14682/15234/11938/18018/18574/320707/13618/14816/320404/14174/15565/18439/14062,65
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,25/1174,65/7649,0.38461538461538464,2.5058969990826894,5.191476419378728,4.583390117491232e-6,1.540019079477054e-4,1.0421181740822171e-4,432530/18750/14810/12322/14811/14812/11911/18751/12323/108071/12315/12326/12288/16438/14799/19055/18749/109880/12313/18752/14682/26413/26395/14816/58200,25
