category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,88/754,292/7649,0.3013698630136986,3.0572653609970564,11.852878668154617,3.300152729617466e-23,1.026347498911032e-20,7.260336005158425e-21,16485/20743/272381/18213/22154/18750/18844/227613/22151/18709/73710/216963/16536/22152/17756/107448/13821/243743/22153/20273/111173/20562/22145/19280/214230/109676/20564/259302/18751/75409/380928/245537/225875/216856/22146/76787/245446/20740/386750/110862/22143/67703/11735/192167/20779/22142/16490/18607/108100/23797/94332/13176/76709/19876/56637/20411/14182/68507/11651/54631/20742/80297/12558/18481/26414/223435/99167/238205/11820/11350/18752/19247/76965/17974/210801/268932/16492/18186/12387/20563/26413/14360/26395/268902/243911/269116/76089/58235,88
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,50/754,180/7649,0.2777777777777778,2.817933981727085,8.161605670276838,4.361064014117958e-12,6.781454541953425e-10,4.797170415529754e-10,20359/18750/18844/12322/18709/13844/171171/192198/107448/243743/20562/214230/20564/259302/18762/12323/13838/20779/13840/18607/13176/19876/237860/19055/56637/65254/14365/13643/13638/244058/18481/13837/18007/11350/19247/69632/22067/17974/210801/12168/18186/20563/13841/26413/20355/14360/18209/13839/20349/268902,50
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,33/754,110/7649,0.3,3.0433687002652516,7.138035194410178,2.4534338533210465e-9,2.543393094609485e-7,1.7991848257687672e-7,432530/18750/11515/224129/12322/18709/16520/14708/16536/14672/18751/12669/12286/12323/12326/110862/16522/30955/16519/12288/12671/23797/16438/11651/12287/226922/18749/18752/14682/26413/14360/26395/11444,33
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,24/754,65/7649,0.36923076923076925,3.745684554172618,7.3510712824596665,3.88977305319247e-9,3.024298548857145e-7,2.139375179255858e-7,432530/18750/14810/12322/14811/14812/18751/12323/108071/12315/12326/12288/16438/14799/19055/18749/109880/12313/18752/14682/26413/26395/14816/58200,24
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,33/754,113/7649,0.2920353982300885,2.962571301143166,6.950030300081161,5.234265135338404e-9,3.2557129141804876e-7,2.3030766595488973e-7,210274/58234/243961/432530/14809/18750/11515/224129/14810/224997/14811/14812/14708/26562/13385/26557/18751/12286/110355/72961/108071/16519/12288/26556/16438/14799/19055/18749/18752/14682/26413/14816/14807,33
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,39/754,151/7649,0.2582781456953642,2.6201187485727333,6.648980829239084,1.019977038640416e-8,5.28688098361949e-7,3.7399158083481915e-7,432530/18750/11515/224129/12322/16520/227541/329251/81905/18751/12323/140723/12315/207565/12326/16522/30955/12295/16519/12293/12288/20779/16438/19055/108097/18749/12296/12313/18752/19225/20191/12297/14682/12300/26413/13629/26395/13712/13631,39
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,53/754,247/7649,0.2145748987854251,2.176768436087157,6.21666442123623,2.7171504082400428e-8,1.2071911099466477e-6,8.53961556875442e-7,18213/432530/18750/11515/20541/14810/12322/14811/14812/227541/110891/12290/14184/14672/228550/18125/18751/12669/12286/11941/239556/67972/12323/11550/108071/269717/12315/18212/12326/12288/12671/15562/14680/19229/18440/16438/19055/21390/18573/14182/12287/18749/18595/12313/18752/20191/14682/11938/18574/320707/14816/14174/15565,53
Cellular Processes,Cellular community - eukaryotes,mmu04540,Gap junction,26/754,85/7649,0.3058823529411765,3.103042596348885,6.447246117882932,7.942910370445059e-8,3.0878064065105166e-6,2.184300351872391e-6,22154/432530/18750/11515/224129/227613/22151/73710/22152/14672/22153/22145/18751/22146/108071/22143/20779/22142/16438/18749/18595/18752/14682/26413/26395/14816,26
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,27/754,93/7649,0.2903225806451613,2.945195516385728,6.240957668386881,1.4940221873398917e-7,4.844723854806592e-6,3.427135845843891e-6,432530/18750/11515/224129/14810/12322/14811/14812/14708/18125/18751/239556/12323/12315/19416/16522/16519/70729/12288/16438/14799/18749/12313/18752/20191/14682/26413,27
Organismal Systems,Circulatory system,mmu04261,Adrenergic signaling in cardiomyocytes,37/754,153/7649,0.24183006535947713,2.4532601723271097,6.004360722183321,1.5577890208381325e-7,4.844723854806592e-6,3.427135845843891e-6,432530/18750/11515/224129/20541/12322/110891/81905/269643/11941/67972/12323/11550/140723/20266/12315/30955/12295/12293/11606/12288/23797/11928/11651/18749/12296/12313/20191/12297/14682/11938/12300/26413/320707/399548/58200/51792,37
