category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,72/852,294/7649,0.24489795918367346,2.1986202931876977,7.419917131826226,3.453828613745024e-11,1.1086789850121528e-8,6.580452411451045e-9,15511/193740/19252/12475/240672/15507/12977/12064/11601/13836/18018/63953/23882/26397/16476/18751/18595/18750/21809/12290/17869/67603/13537/12293/16175/23797/19419/15481/19055/70686/18212/17873/109689/21808/16478/21926/14573/53859/26401/21803/12296/225028/26410/18021/14102/16542/16176/11911/13197/12288/20807/13869/66922/16001/240168/26398/22341/22339/12675/18015/26413/13198/14184/216965/12287/19417/109880/12295/13638/76089/15370/26414,72
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,52/852,193/7649,0.2694300518134715,2.4188620496728213,7.068072240921325,5.694982974594649e-10,9.140447674224411e-8,5.425220623166481e-8,15511/193740/12475/20296/18018/12322/26397/16476/18750/22031/22359/15510/14825/23797/15481/15519/14828/19055/11783/16438/21926/225164/16835/56637/20302/18021/14102/16193/16176/12323/11911/20848/12313/18607/12491/54131/226641/26398/106759/21933/12315/12675/20293/26413/13198/18024/19016/24088/16173/18019/26414/18795,52
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,67/852,292/7649,0.22945205479452055,2.0599516046047976,6.538259995417663,3.2998835124358754e-9,3.530875358306387e-7,2.095715493862784e-7,18213/19303/243743/20743/67951/75409/18751/16485/18750/214230/20273/110862/386750/58220/380928/245446/23797/13176/17756/19876/238205/16402/21873/76965/18858/268902/192167/16536/99167/109676/22253/259302/52118/227613/12558/56637/18844/243911/16542/11735/245537/22145/17973/108100/18607/13821/216963/12805/76709/20564/18186/111173/20740/241568/22154/26413/67374/17698/22153/20742/216856/67771/22151/18481/76089/26414/331461,67
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,58/852,247/7649,0.23481781376518218,2.108123776396571,6.267542848114897,1.617742391180618e-8,1.298238268922446e-6,7.705562442202417e-7,14812/18213/18018/67972/432530/12322/20541/18751/14811/18595/18750/227541/12290/12671/11515/108071/269717/12669/18440/19055/18212/18125/16438/20191/12326/14573/14682/18021/19229/16542/12323/11941/320404/15562/12288/110891/14816/19204/14680/12313/13869/18799/12062/320707/11554/13488/22341/12315/22339/228550/14810/14672/18573/14184/12287/18019/18682/18795,58
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,31/852,101/7649,0.3069306930693069,2.7555315390693997,6.2876517455112015,7.384396133014361e-8,4.74078231739522e-6,2.813843579106525e-6,20296/18018/16476/18751/13614/18750/21824/21809/18787/18754/16175/23797/11606/21808/21926/12443/21803/18712/16193/16176/20848/18799/18762/22341/22339/12825/20293/26413/13653/26414/18795,31
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,45/852,180/7649,0.25,2.244424882629108,5.981482152846179,9.832566849022445e-8,5.260423264227008e-6,3.1222712274966007e-6,13836/12322/13838/243743/192198/18750/214230/13641/58220/13176/19876/237860/20349/13844/268902/19055/13840/22067/223881/22253/259302/50780/19206/56637/18021/18844/12323/13642/17973/18607/18762/20564/18007/18186/241568/26413/13839/19877/18481/13638/13837/12168/14365/18019/69632,45
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,32/852,114/7649,0.2807017543859649,2.520056008566016,5.789025862977751,4.5043047849346756e-7,2.0655454799486155e-5,1.225983708380716e-5,16477/20296/12977/26397/16476/13614/22031/14825/23797/16449/20312/21926/53859/19225/26410/14102/16193/16176/11911/12608/21929/16362/26398/69601/22341/12675/20293/26413/217344/19766/12702/26414,32
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer,46/852,198/7649,0.23232323232323232,2.0857281737563427,5.480012171040256,7.07831571869168e-7,2.8401741821250367e-5,1.685756769846308e-5,18792/216795/19303/12322/18793/15200/18751/14369/21825/14362/18750/17869/23797/21844/16402/329251/14388/109676/21859/16438/21808/21926/19206/12443/22421/21803/14102/57265/16542/11735/12323/14370/20848/18607/13869/66922/16001/22339/26413/17698/12512/109880/19877/24088/14365/69632,46
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,22/852,65/7649,0.3384615384615385,3.038605994944023,5.843538574007606,9.168309543757404e-7,3.2700304039401405e-5,1.940893599321743e-5,14812/432530/12322/18751/14811/18750/108071/19055/16438/14799/12326/14682/12323/11911/12288/14816/12313/12315/14810/26413/109880/18795,22
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,28/852,97/7649,0.28865979381443296,2.591500895406805,5.584661644604297,1.2729137836965066e-6,4.0860532456657865e-5,2.425235735253344e-5,67972/432530/12322/18751/18750/227541/11515/18754/269060/11606/16438/12326/16835/14682/224129/12323/11941/11911/12288/18227/12313/320707/11931/75292/12315/14672/15370/18795,28
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,37/852,151/7649,0.24503311258278146,2.1998336597954173,5.27195748156993,2.2901786224967068e-6,6.683157616558573e-5,3.966720867673721e-5,18018/432530/12322/16476/18751/16520/18750/227541/16519/11515/12293/19735/108097/19055/329251/16438/20191/12326/12443/19225/14682/224129/12296/18021/16522/207565/12323/54720/12288/12313/241113/12315/26413/19877/12295/18019/18795,37
Human Diseases,Infectious disease: viral,mmu05163,Human cytomegalovirus infection,48/852,220/7649,0.21818181818181817,1.9587708066581304,5.10853137640931,2.784083067525991e-6,7.447422205632026e-5,4.4203424142298625e-5,20296/20303/18018/19303/432530/18751/18595/18750/17869/11515/14708/23797/19055/20312/16438/12774/21926/12443/19225/56637/14682/224129/20302/18021/19229/14102/16193/16176/11911/20848/12313/54131/110557/12768/12315/22339/12675/20293/26413/14672/14972/213498/19877/15015/18019/19766/69632/18795,48
Organismal Systems,Endocrine system,mmu04912,GnRH signaling pathway,25/852,85/7649,0.29411764705882354,2.640499861916598,5.384495309691298,3.2318819623564216e-6,7.980262383972396e-5,4.736604333494026e-5,432530/12322/15200/26397/16476/18751/18750/11515/16438/26401/14682/224129/19229/12323/11911/12288/12313/26398/12315/26413/14672/18806/13653/26414/18795,25
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,30/852,113/7649,0.26548672566371684,2.3834600523494953,5.245302052375339,3.6615037895798865e-6,8.39530511753674e-5,4.9829487662703717e-5,14812/432530/18751/14811/18750/16519/11515/14708/210274/26556/26557/108071/224997/58234/19055/16438/14799/14682/224129/20510/12288/14816/26562/72961/13385/14810/26413/18806/243961/18795,30
Environmental Information Processing,Signal transduction,mmu04068,FoxO signaling pathway,32/852,128/7649,0.25,2.244424882629108,5.026561249862093,7.018198024384474e-6,1.5018943772182773e-4,8.914342753779576e-5,16598/23882/12795/21809/13609/26556/108097/26557/23797/12053/17873/21808/12443/21803/216439/16193/13197/20848/14816/18607/93759/241113/16001/252870/12675/19211/26413/20620/12444/67731/109880/26414,32
