category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis,14/619,58/7649,0.2413793103448276,2.9827307670881846,4.497486294081423,1.5899930951148017e-4,0.0014037367611156393,0.0010424616383008323,193740/12475/15511/14825/16176/19697/21926/18034/24088/18035/16193/17874/20310/15499,14
Cellular Processes,Transport and catabolism,mmu04148,Efferocytosis,27/619,160/7649,0.16875,2.085248384491115,4.116411906330305,1.8169308373478058e-4,0.0015595323020568667,0.0011581605922275486,18019/21825/12608/70686/20525/21803/13537/226421/240672/18018/18263/17164/18613/18442/13609/12260/12927/19016/19015/19219/93759/19217/12491/228787/17304/12262/16452,27
Organismal Systems,Environmental adaptation,mmu04710,Circadian rhythm,10/619,33/7649,0.30303030303030304,3.7445537768639547,4.6882077521812535,1.869135707497454e-4,0.0015609809016667927,0.001159236370510512,18030/18626/217166/79362/20893/12952/225998/19079/241113/13170,10
NA,NA,mmu04156,Integrated stress response (ISR) signaling pathway,13/619,53/7649,0.24528301886792453,3.030969000518182,4.402408649280453,2.2850966298170963e-4,0.0018098018242389167,0.0013440190689289178,11910/69065/17872/11911/13198/228775/14828/108954/170770/58801/13666/74747/217715,13
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway,24/619,137/7649,0.17518248175182483,2.1647347381578483,4.081794386312672,2.294933901852586e-4,0.0018098018242389167,0.0013440190689289178,12702/16190/18712/18414/12443/12445/56708/17869/20848/17210/12700/16878/60505/12703/16391/18413/12804/16156/16193/12575/19255/12983/18590/16452,24
Environmental Information Processing,Signal transduction,mmu04310,Wnt signaling pathway,28/619,171/7649,0.16374269005847952,2.0233729180247333,4.015881102821737,2.346089766096669e-4,0.0018098018242389167,0.0013440190689289178,16476/216795/18019/21416/12443/14367/22411/12445/17869/18018/328949/20379/26564/22421/14283/21887/22419/19015/93960/68010/22417/93759/21415/12006/14370/18797/20377/13380,28
Human Diseases,Infectious disease: viral,mmu05162,Measles,22/619,121/7649,0.18181818181818182,2.246732266118373,4.101735778492308,2.4013551713202456e-4,0.0018098018242389167,0.0013440190689289178,193740/15511/16476/12443/16176/12445/19697/20848/14102/24088/18035/21929/14281/170770/16175/16391/17698/12571/16193/17874/12447/17858,22
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,20/619,106/7649,0.18867924528301888,2.331514615783217,4.096079888507168,2.737386929786388e-4,0.002013934669771414,0.001495614914018628,16476/53859/18019/12795/16176/19697/12051/56644/21926/18018/18034/17164/18035/240354/13654/16391/16362/16193/14127/216799,20
Human Diseases,Endocrine and metabolic disease,mmu04931,Insulin resistance,20/619,107/7649,0.18691588785046728,2.309724759560944,4.0482774010290346,3.1178439783731697e-4,0.0022404971844588594,0.0016638677779323159,12702/231991/21937/20525/228775/19697/20848/21926/384783/18035/19246/14584/19079/228966/241113/16193/12491/208647/74343/208104,20
Human Diseases,Infectious disease: bacterial,mmu05135,Yersinia infection,23/619,133/7649,0.17293233082706766,2.136929561383264,3.924710210186663,3.739087902916048e-4,0.0026258594590933154,0.0019500506287935366,16476/16402/18019/20293/16176/19697/11845/21926/18018/26397/19303/18035/14131/11867/14281/12927/14268/16193/17874/20296/434782/22324/216799,23
Human Diseases,Cancer: specific types,mmu05210,Colorectal cancer,17/619,86/7649,0.19767441860465115,2.442668219558928,3.992181170390809,4.4026632002993737e-4,0.00302316206420557,0.0022451007664684524,17873/23882/16476/21416/12443/12125/21803/17869/13197/14281/170770/64143/58801/21415/21809/12575/12006,17
Human Diseases,Immune disease,mmu05321,Inflammatory bowel disease,13/619,57/7649,0.22807017543859648,2.81826942153445,4.08845446211916,4.920154056944858e-4,0.003245890779044641,0.002410506523017311,16476/16190/16176/21803/19697/20848/21926/18018/24088/60505/16175/16193/21809,13
Human Diseases,Infectious disease: viral,mmu05164,Influenza A,24/619,144/7649,0.16666666666666666,2.0595045772751748,3.8084682264565912,4.937115424436833e-4,0.003245890779044641,0.002410506523017311,12702/15894/20293/21937/16176/12445/19697/15945/14102/21926/18035/81489/16175/16391/58185/12571/16193/17874/20296/217069/216799/269966/16452/17858,24
