category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04390,Hippo signaling pathway,52/930,155/7649,0.33548387096774196,2.7592646548733963,8.231960455563103,1.7008144983793085e-12,5.714736714554477e-10,4.189374659165876e-10,17131/15901/16475/216795/18787/17869/58220/12443/170770/14367/56289/21803/22411/21414/209456/22421/97064/21679/12445/15902/17125/12156/93960/14369/14362/21813/22601/12006/21809/14370/11796/319710/105782/21415/14219/12385/16414/29806/64010/22419/14366/13543/232157/21676/21678/14371/73699/12163/101543/11797/12005/14368,52
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,41/930,114/7649,0.35964912280701755,2.958017355215997,7.835927833746579,3.331937930175943e-11,5.597655722695584e-9,4.103544608743003e-9,12702/20296/12977/15894/16477/231991/16176/15945/13614/12051/53859/16476/14102/14825/20293/16362/21926/16193/19697/208647/20310/20339/12608/26397/18035/21929/217344/13650/14281/26410/12675/16878/11911/16449/19766/21937/18033/11796/21938/11797/56532,41
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,37/930,101/7649,0.36633663366336633,3.0130203342914936,7.576279645658841,1.6646628368385436e-10,1.8644223772591688e-8,1.3667758028779621e-8,12475/15894/16176/17873/20303/53859/23882/18792/14825/17000/21926/18034/19697/20310/12047/13197/240354/18035/21929/12044/19698/12675/117149/19766/105844/16177/21937/217069/18033/11796/17874/12045/17096/22034/11797/21898/13608,37
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,55/930,193/7649,0.2849740932642487,2.343835311159396,7.034526123837788,5.001997877165489e-10,3.496931251459613e-8,2.5635398271978364e-8,193740/15511/12475/20296/18019/15894/16176/18018/20302/14828/13198/16476/14102/14825/20293/21926/16193/19697/20310/20339/26397/12491/20848/18035/24088/14281/12675/11911/117149/18024/22035/21933/21937/18033/16801/16835/15510/17874/22324/11303/17096/18021/18797/22034/17970/15519/54131/54123/20181/13666/21898/216799/20344/21899/12368,55
Human Diseases,Infectious disease: viral,mmu05165,Human papillomavirus infection,79/930,326/7649,0.24233128834355827,1.9931097038063197,6.817491447462769,5.203766743243471e-10,3.496931251459613e-8,2.5635398271978364e-8,21825/231991/216795/15213/58220/12443/19303/14102/14367/22339/14972/22411/16362/21414/21926/19697/208647/22421/21923/13685/12445/15015/16402/20750/12826/12571/16400/15205/103806/12675/16391/19664/14268/16449/16404/18128/27060/55927/14369/21937/14964/14362/12006/18033/12827/14370/16403/18129/81877/105782/21415/12824/22419/226519/14366/58988/21826/22371/13543/15214/21827/14371/231655/13649/73699/54131/17858/110557/84653/16775/18131/12005/19219/74915/16777/433759/16399/56458/14368,79
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,63/930,240/7649,0.2625,2.158991935483871,6.786866880314814,1.101270674423745e-9,5.687772065359264e-8,4.1696073411468295e-8,20308/20296/12977/16176/15945/16175/16190/23886/20302/20306/20303/20305/14102/16181/12774/14825/20293/17000/21803/100532/60505/27279/12983/21926/16193/12984/12778/18413/20310/12982/18414/20292/320100/16156/12768/16878/12156/56708/22035/16172/16177/21933/56221/11482/21937/21813/21809/16195/21949/12772/16164/16169/12804/16194/21938/326623/20301/66102/12163/240873/18053/107527/13608,63
Human Diseases,Cancer: overview,mmu05202,Transcriptional misregulation in cancer,50/930,171/7649,0.29239766081871343,2.4048921587121925,6.912122187511515,1.1849525136165134e-9,5.687772065359264e-8,4.1696073411468295e-8,12475/80859/17873/17869/13198/12524/12394/23882/18792/20474/12606/18791/18109/19401/16193/19697/12608/12047/13197/140780/17355/19696/12044/20375/15902/17125/14011/14254/21813/18033/11796/15081/12045/67603/16009/16480/18590/13876/17349/20181/11797/18053/212980/11908/21423/433759/22642/14247/20732/56458,50
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,71/930,294/7649,0.24149659863945577,1.9862446053690292,6.4154933734304525,4.8138218191349305e-9,2.0218051640366707e-7,1.482150402207334e-7,193740/15511/12475/12977/15370/11601/16176/70686/18018/16175/19252/13836/17873/240672/17869/13198/53859/16476/23882/14102/15507/16478/13537/22339/21803/21926/18034/19697/20807/63953/26397/13197/17164/14281/26410/19698/12675/11911/26401/14254/14257/16542/15234/16177/13636/21937/21813/18033/21809/17874/18591/26406/102626/67603/192176/14573/18021/19713/75590/14186/18188/22034/18590/26412/56636/13649/14172/13163/18053/26403/14013,71
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer,51/930,198/7649,0.25757575757575757,2.118491365265559,5.932271820959274,8.624500798213155e-8,3.2198136313329115e-06,2.3603896921425478e-6,21825/15200/216795/18793/17869/14388/12443/19303/17698/14102/18792/14367/22339/21803/22411/21926/22421/12505/20848/16402/29875/24088/12512/21859/14268/20969/13039/16542/12389/15234/14369/14362/16801/14370/83383/22324/22419/14366/58988/192176/71950/19206/19877/14371/12390/15170/13649/232807/21898/15530/14368,51
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria,21/930,50/7649,0.42,3.4543870967741936,6.477582192870687,1.0156566934635729e-7,3.2391880926323633e-6,2.374592774674101e-6,20296/21825/15894/16176/20293/21803/18613/21926/16193/20339/12491/24088/20969/15234/21809/17874/16414/21826/21827/21898/20344,21
