ID,logFC
Eif4ebp1,1.3383173895099805
Fyn,-0.467438106724205
Pten,-0.803028197601173
Birc2,0.4778690567798414
Kdr,0.7193245570121315
Irs2,0.9054971907784578
Phlpp1,-0.4768875418282707
Rps6kb1,-0.543650735106449
Foxo1,-1.240709660064505
Mapk1,-0.4981543865020959
Fgfr1,-2.271764667863989
Nfkbia,1.1019713850898296
Rptor,-0.8432528008688451
Gsk3a,-1.4723030743651984
Rps6kb2,0.794267766965721
Ulk2,-1.2769282780956648
Gsk3b,-0.6077544412539961
Pik3r1,-0.8367203071903103
Nfkb2,1.5596681779860877
Pik3cg,-1.4806289550732532
Gab1,0.4597524787923248
Creb5,3.0483677181708546
Ulk1,-1.2586082161848875
Igf1r,-0.2668239875253223
Akt1,-0.6213314275048448
Map1lc3a,-1.055213357840344
Mcl1,0.9978954591527688
Akt3,-1.3839512412788189
Fgfr2,-2.241909010159843
Kras,-0.8201725858540589
Grb2,-1.1038244549382743
Xiap,-1.293347998099393
Cdkn1a,1.0886586825853062
Mtor,-0.1511222284786067
Pdpk1,-0.5662408013269541
Vegfa,0.62261703631614
Bax,0.9146367214024904
Hras,-1.50915738074409
Eif4g1,0.5654601516510448
Ccnd1,0.6014259809050925
Bad,-0.6280270007484461
