Category,ID,Term,Genes,adj_pval
BP,GO:0050727,Regulation Of Inflammatory Response,"DAGLA, TNFAIP6, CELF1, SERPINE1, TNC, TNFAIP3, ETS1, TNF, CX3CL1, CDH5, CASP4, NFKBIZ, CCN4, AREL1, IL1R1, IL16, TNFRSF1B, IL17RA, FOXP1, TNFRSF1A, ELF4, IL1B, CD47, LCP1, S100A9, MGLL, S100A8, PTGES, TLR2, BIRC3, PTGER4, CEBPA, PTGS2, USP18, SBNO2, CCL3, NLRP3, RIPK1, FEM1A, STAT3, OSM, GPR4, NR1D1, KLF4, SELE, AGT, NFKBIA, IL6, MYO1C, PIK3AP1, PTPN2",3.0602894827189073e-09
BP,GO:0048666,Neuron Development,"ROBO2, GPM6A, GSK3B, TENM1, BTG2, TENM2, NLGN1, ATP8A2, TENM3, TENM4, ROCK1, MYT1L, SRF, FRY, PPP1R9A, PPP1R9B, CLN5, MAP2, MICALL2, MAP4, NCDN, ATP7A, RAB6B, SH3GL2, EPHA5, LGI1, ETV1, PBX1, RUNX1, UHMK1, IL6, GDNF, GPRIN1, MAP1B, TAOK1, TBC1D24, LRP12, CDK5R1",5.428456066592958e-09
BP,GO:0045893,Positive Regulation Of DNA-templated Transcription,"CD86, SPI1, NUCKS1, ETS1, TNF, ETS2, SOX3, SALL1, MYC, ZC3H12A, CREB3L2, SOX9, ATXN7L3, IER5, JUNB, IER2, SOX4, HMGN1, MEF2A, MAP2K3, OSR2, HGF, MRTFB, RFX3, LMO7, RUNX1, NPAS4, TBL1XR1, DDIT3, TRIM16, MAML3, ATF6, ATF3, ATF4, NEUROD1, NEUROD2, SBNO2, PPP3R1, NLRP3, CAMTA2, RIPK1, OTX1, ASIC2, ZBTB18, EGR1, WWTR1, JUN, EGR2, JAG1, JUND, TGFB1, FZD5, BCL11B, LIF, NFATC2, NFATC1, INHBA, NR1D1, PBX1, NFKB2, PHOX2A, NFKBIA, CXCL10, NR4A1, BMP2, IL6, DAB2, RGCC, GDNF, BAMBI, AGO1, ID2, BCL3, MAFF, REL, TCF4, NFE2L2, ACVRL1, CSRNP1, BMPR2, CITED1, CITED2, PTPRN, HMGB2, ARRB1, CHD3, LITAF, CX3CL1, PPP3CA, MED14, PPP3CB, HEY1, SIX4, NCOA1, KDM6B, KLF10, IL11, EDN1, ANXA2, ATRX, TET1, ETV1, FOS, ARID1B, TNFRSF1A, GNL3, MMP12, PLSCR1, ZEB2, ELF4, IRF4, IL1B, IRF1, IRF7, IRF8, ITGA6, IRF5, PLCB1, CREB5, ENG, TLR2, CEBPA, CEBPB, NFIX, SRF, NR2C2, DLL1, NFIL3, EPCAM, ERBB4, NSD1, ATOH8, SPP1, HES1, TRIM44, HES5, ATF7IP, CD74, ARNT2, USP22, STAT3, OSM, WNT7A, USF3, KLF4, AGT, KLF2, APLN, GRIN1, VEGFA, PER1, REST, KLF6, NFIA, NFIB, CAMK4, F2RL1, SSBP3",6.020689580496314e-09
BP,GO:0048812,Neuron Projection Morphogenesis,"NCKAP1, GPM6A, NLGN1, ROCK1, PLPPR4, PTEN, IQGAP1, NYAP2, CELSR2, PARD6B, MAP2, SLITRK1, BTBD3, SLITRK4, SLITRK3, SLITRK5, SRGAP3, ATP7A, PAK3, PACSIN1, MEF2A, EPHA4, BDNF, DCC, WNT7A, CCK, ANK3, DICER1, MAPK8IP2, DCLK1, MYO16, DLG4, MAP1B, MAP1A, S100A6, SHANK3, SHANK1",8.487018630221981e-09
BP,GO:0009967,Positive Regulation Of Signal Transduction,"CITED2, PTEN, TNFAIP3, ROBO1, ESM1, SALL1, ADAMTS3, CTSL, DACT1, CCBE1, PRKCB, CD180, PRKCA, STX1B, IL1B, BMP2K, TRIM16, ITGA5, SHANK3, TLR2, SHANK1, NLGN3, CD63, NLGN1, NLGN2, NRXN1, PRKCZ, DLL1, ENHO, DLL4, GRIN2A, PTK2B, TRIM44, CD74, JAG1, TGFB1, HOMER1, BDNF, STAT3, WNT7A, GRIN2B, SORL1, KLF2, GRIN1, VEGFA, NELL1, BMP2, IL6, PTPRC, MYO1C, DLG4, CNTN1, FAS",1.1608373004285294e-08
BP,GO:0032103,Positive Regulation Of Response To External Stimulus,"PTGER4, CEBPA, SERPINE1, PLAT, ETS1, TNF, THBS1, CX3CL1, PLAU, CASP4, NFKBIZ, CCL3, CCN4, NLRP3, RIPK1, P2RY12, TGFB1, FEM1A, CD180, OSM, PRKCA, IL16, GPR4, AGT, IL17RA, TNFRSF1A, NFKBIA, PLSCR1, MYO1C, IL1B, F2RL1, ADAM8, CD47, LCP1, S100A9, RNF185, S100A8, TLR2",1.1730529718808074e-08
BP,GO:0007411,Axon Guidance,"CYFIP2, SEMA5A, ROBO2, ROBO4, NRXN1, MYCBP2, PTPRO, NRXN3, KALRN, EFNB1, DPYSL5, KIF5C, TUBB3, CHN1, SLIT1, PLXNA1, NEO1, PLXNA4, EPHA5, VASP, LGI1, EPHA4, EPHA7, BDNF, DCC, UNC5C, SEMA4F, VEGFA, NELL2, NELL1, NFASC, GDNF, PALLD, NFIB, CNTN1, RNF165, CDK5R1",1.3274722473786912e-08
BP,GO:0031175,Neuron Projection Development,"NCKAP1, GPM6A, GSK3B, BTG2, NLGN1, ROCK1, PTEN, FRY, NYAP2, PPP1R9A, PPP1R9B, NEUROD1, NEUROD2, MAP2, MICALL2, MAP4, SRGAP3, NCDN, ATP7A, PAK3, RAB6B, SH3GL2, PACSIN1, LGI1, EPHA4, BDNF, WHRN, WNT7A, DICER1, NMNAT2, DCLK1, MYO16, UHMK1, IL6, GDNF, DLG4, GPRIN1, MAP1B, TBC1D24, SHANK3, LRP12, SHANK1, CDK5R1",1.3390806862210125e-08
BP,GO:1902533,Positive Regulation Of Intracellular Signal Transduction,"SEMA5A, BCAR3, CD86, ECM1, BMPR2, FLT1, PTPRJ, LITAF, TNF, PIK3CG, CX3CL1, BBC3, IGF1R, NR3C2, TRIM6, TRIM25, SOX9, TGM2, IL11, HSP90AA1, GPR37, PRKCB, HGF, ARRDC3, RHOC, ADRA2B, TNFRSF1A, DOK2, DDIT3, IL1B, DOK6, NOS1AP, KIT, ADAM8, S100A9, S100A8, ENG, HBEGF, BIRC3, TLR2, NLGN1, ROCK1, SLC20A1, IQGAP1, CXXC5, THBS1, MALT1, NEUROD2, CLEC7A, CCL4, TIFA, GCNT2, CCL3, HMOX1, NLRP3, PMAIP1, RIPK1, TRIM44, P2RY12, CD74, TGFB1, GDF15, NTRK3, FN1, LIF, OSM, TNFRSF10B, AGT, VEGFA, DAB2, BMP2, IL6, PTPRC, MYO1C, TCIM, TRIP6, REL, CNTN1, F2RL1, LTBR, PIK3AP1, MAP3K14, FGFR3",1.3390806862210125e-08
BP,GO:0050729,Positive Regulation Of Inflammatory Response,"PTGER4, CEBPA, SERPINE1, ETS1, TNF, CX3CL1, CASP4, NFKBIZ, CCL3, CCN4, NLRP3, RIPK1, FEM1A, OSM, IL16, GPR4, OSMR, AGT, IL17RA, TNFRSF1A, NFKBIA, IL6, MYO1C, IL1B, ADAM8, CD47, LCP1, S100A9, S100A8, TLR2",1.3787243251642443e-08
