ID,logFC
Adam10,-0.1923357860165106
Adam9,0.8344119119887203
Adam15,1.0419654569365355
Cdh5,1.3604865488521087
Ctnnb1,-0.367964744601737
Vegfa,0.62261703631614
Hif1a,1.3746908458707692
Aqp4,-2.177314557032344
Slc2a1,1.0108637569560892
Lrp1,0.2580801382506806
Slc7a5,-1.0576694070996149
Slc16a1,0.7728846684663747
Tfrc,-0.5501897512693547
Abcb1b,1.2067664216743768
Nid1,0.5173721401882183
Lamc1,1.103349718396307
Fn1,3.906711011410363
Spp1,3.838429503559993
Kdr,0.7193245570121315
Cav1,-0.8319229300948822
Pecam1,0.7374838653490974
Eng,0.0337957555366662
Mmp16,-0.4987271929640208
Nfkbia,1.1019713850898296
Nfkb2,1.5596681779860877
Mapk1,-0.4981543865020959
Rock2,-1.7558208455888948
Fyn,-0.467438106724205
Rock1,-0.0298931044710871
Akt1,-0.6213314275048448
Cldn5,0.6694844368457229
Tjp1,-0.8321326140413885
Jam2,-0.0010272147889154
F11r,-2.0490958108014627
Tjp2,0.937272622640164
