Category,ID,Term,Genes,adj_pval
BP,GO:0043408,Regulation Of MAPK Cascade,"PHLPP1, KDR, MAPK1, GRB2, HRAS, FGFR2, IGF1R, FGFR1",2.3599749842560626e-07
BP,GO:0031667,Response To Nutrient Levels,"RPTOR, RPS6KB1, ULK1, MTOR, EIF4G1",2.738380094916533e-07
BP,GO:0001938,Positive Regulation Of Endothelial Cell Proliferation,"PDPK1, AKT3, KDR, AKT1, VEGFA, FGFR1",3.2941833717701697e-07
BP,GO:0031669,Cellular Response To Nutrient Levels,"RPTOR, MAP1LC3A, ULK1, FOXO1, MTOR, EIF4G1",3.4695720531826226e-07
BP,GO:0097192,Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,"GSK3B, GSK3A, BAX, MCL1",7.870549126436483e-07
BP,GO:0006974,DNA Damage Response,"RPTOR, CDKN1A, CCND1, XIAP, BAX, GRB2, FOXO1, MTOR, MCL1",1.856916527571772e-06
BP,GO:0010518,Positive Regulation Of Phospholipase Activity,"PDPK1, HRAS, FGFR2, FGFR1",1.9812634093315623e-06
BP,GO:1902533,Positive Regulation Of Intracellular Signal Transduction,"RPTOR, KDR, BAX, HRAS, PIK3CG, BIRC2, FGFR2, IGF1R, VEGFA, FGFR1",2.069885402227328e-06
BP,GO:0038127,ERBB Signaling Pathway,"PDPK1, GAB1, MAPK1, AKT1, GRB2",2.170675346482955e-06
BP,GO:0010822,Positive Regulation Of Mitochondrion Organization,"GSK3B, GSK3A, BAD, KDR, BAX",3.055194986553221e-06
BP,GO:0036211,Protein Modification Process,"GSK3B, GSK3A, PDPK1, AKT3, PTEN, MAPK1, AKT1, FYN, ULK1, MTOR, FGFR1",3.1785035591388304e-06
BP,GO:0009267,Cellular Response To Starvation,"RPTOR, CDKN1A, MAP1LC3A, MAPK1, FOXO1, MTOR",4.995715044930786e-06
BP,GO:0006446,Regulation Of Translational Initiation,"RPS6KB1, RPS6KB2, EIF4EBP1, MTOR, EIF4G1",4.995715044930786e-06
BP,GO:0045787,Positive Regulation Of Cell Cycle,"CCND1, RPS6KB1, EIF4EBP1, AKT1, FGFR2",4.995715044930786e-06
BP,GO:0018108,Peptidyl-Tyrosine Phosphorylation,"KDR, FYN, FGFR2, IGF1R, FGFR1",5.5906580260861954e-06
BP,GO:0031330,Negative Regulation Of Cellular Catabolic Process,"RPTOR, GSK3A, MTOR, MCL1, EIF4G1",5.5906580260861954e-06
BP,GO:0031401,Positive Regulation Of Protein Modification Process,"CDKN1A, CCND1, KDR, AKT1, KRAS, HRAS, VEGFA",7.474697850304609e-06
BP,GO:0010628,Positive Regulation Of Gene Expression,"GSK3B, GSK3A, RPS6KB1, AKT1, KRAS, PIK3R1, PIK3CG, MTOR, VEGFA",9.302833052320683e-06
BP,GO:0051347,Positive Regulation Of Transferase Activity,"GSK3A, KDR, MAPK1, FGFR2, IGF1R, FGFR1",9.302833052320683e-06
BP,GO:2000074,Regulation Of Type B Pancreatic Cell Development,"GSK3B, GSK3A, BAD",9.302833052320683e-06
BP,GO:0048640,Negative Regulation Of Developmental Growth,"CDKN1A, PTEN, ULK2, ULK1",9.437027609430036e-06
BP,GO:0014065,Phosphatidylinositol 3-Kinase Signaling,"PTEN, PIK3R1, PIK3CG, IGF1R",1.0576929678057482e-05
BP,GO:1905477,Positive Regulation Of Protein Localization To Membrane,"PDPK1, AKT1, FYN, PIK3R1, HRAS",1.1240173201556788e-05
BP,GO:0062013,Positive Regulation Of Small Molecule Metabolic Process,"RPTOR, AKT1, IRS2, MTOR",1.160361617898841e-05
BP,GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,"NFKBIA, GSK3B, GSK3A, AKT1, KRAS, MTOR, VEGFA, EIF4G1",1.207474554921039e-05
BP,GO:0060193,Positive Regulation Of Lipase Activity,"PDPK1, FGFR2, FGFR1",1.2540999787416676e-05
BP,GO:0043549,Regulation Of Kinase Activity,"KDR, IRS2, FGFR2, IGF1R, FGFR1",1.514941022626313e-05
BP,GO:0046324,Regulation Of Glucose Import,"GSK3A, AKT1, IRS2, PIK3R1",1.555058484044143e-05
