"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"39717",1.66,1.66,63.9096729000578,9.11426224483841e-07,0.0370121075500643,4.04028800691572
"5268",1.69333333333333,1.69333333333333,42.577120713155,4.08785476917759e-06,0.0417814579204713,3.76776516038512
"12339",1.71333333333333,1.71333333333333,39.8121419056963,5.23813394591047e-06,0.0417814579204713,3.7022861610661
"29833",1.72,1.72,39.4583996457923,5.41361885373369e-06,0.0417814579204713,3.69305246001894
"38743",1.71,1.71,38.5053904318182,5.92499738406103e-06,0.0417814579204713,3.66709684584548
"8282",1.70666666666667,1.70666666666667,36.2835200632715,7.37848909838342e-06,0.0417814579204713,3.59982384157095
"13939",1.70666666666667,1.70666666666667,35.566496744105,7.94252831416651e-06,0.0417814579204713,3.57585754611885
"16231",1.12666666666667,1.12666666666667,35.224348172011,8.23097498987344e-06,0.0417814579204713,3.56399490367958
"25816",1.74333333333333,1.74333333333333,33.4448907108501,9.96597336461512e-06,0.0445078998435698,3.4974618814135
"11206",0.993,0.993,32.1285396175824,1.15571000898644e-05,0.0445078998435698,3.44244428379372
"35080",1.15666666666667,1.15666666666667,31.5102201680698,1.24158294327992e-05,0.0445078998435698,3.41469381004728
"38906",0.843,0.843,30.4690847951543,1.40535308934834e-05,0.0445078998435698,3.36494172911203
"12820",1.7,1.7,29.9787603682925,1.49198070053735e-05,0.0445078998435698,3.34010233671915
"399",0.706,0.706,29.751579021967,1.53441502575778e-05,0.0445078998435698,3.32826997594398
"43963",1.09666666666667,1.09666666666667,28.9242258180021,1.70252382256704e-05,0.0460918599404167,3.28335666522392
"17046",0.933666666666667,0.933666666666667,27.4045163816997,2.07716734302716e-05,0.0527198053956186,3.19273690577531
"29829",0.946666666666667,0.946666666666667,26.5062765353207,2.34849446127743e-05,0.055733962296711,3.13365662791647
"20804",0.655333333333333,0.655333333333333,25.9421764896989,2.54212699385157e-05,0.055733962296711,3.09423349772934
"20574",1.48666666666667,1.48666666666667,25.763488726958,2.60766156181514e-05,0.055733962296711,3.08135038248406
"28342",1.18,1.18,25.223998103301,2.8189802201802e-05,0.057237983880649,3.04124692901762
"2196",1.74,1.74,24.607873848138,3.0876494021075e-05,0.0575108055594218,2.99312052566697
"44904",0.729333333333333,0.729333333333333,24.4339586686709,3.16931477092372e-05,0.0575108055594218,2.97906498263299
"11000",0.936,0.936,24.0790770079302,3.34464267576225e-05,0.0575108055594218,2.94971396001225
"25532",0.614333333333333,0.614333333333333,23.8263134756015,3.47707513229021e-05,0.0575108055594218,2.92824452902981
"27273",0.757,0.757,23.7095086223312,3.54052091651e-05,0.0575108055594218,2.9181604366829
"18865",0.783666666666667,0.783666666666667,23.2099242104387,3.82906836116741e-05,0.0576782825943127,2.87383054642988
"18234",0.583333333333333,0.583333333333333,23.2003277132749,3.83489775676929e-05,0.0576782825943127,2.87295953929694
"42391",0.588,0.588,22.6864156920133,4.16422777395526e-05,0.0583496601659705,2.82520145724385
"31110",0.838666666666667,0.838666666666667,22.682445086712,4.16690916992081e-05,0.0583496601659705,2.82482378418191
"4666",0.520666666666667,0.520666666666667,22.0001903553396,4.66210321679861e-05,0.0618049823526406,2.75786133913126
"31019",0.532666666666667,0.532666666666667,21.731007467544,4.87792737451539e-05,0.0618049823526406,2.73026819586389
"2394",0.546,0.546,21.7041667588442,4.9001364261234e-05,0.0618049823526406,2.72747906603105
"41506",0.945333333333333,0.945333333333333,21.5590672209498,5.02244432918106e-05,0.0618049823526406,2.71228056197813
"1633",0.704333333333333,0.704333333333333,21.375026871245,5.18320435235781e-05,0.0618629196995166,2.69270631747009
"36061",0.572333333333333,0.572333333333333,21.2112090233882,5.33182838652289e-05,0.0618629196995166,2.6749982748045
"14004",0.562666666666667,0.562666666666667,20.852953308957,5.67617747728952e-05,0.0622406049405486,2.63531216281278
"32856",0.725666666666667,0.725666666666667,20.7708162500194,5.75906975821899e-05,0.0622406049405486,2.62602325849163
"9434",0.952333333333333,0.952333333333333,20.7008321947499,5.83091218339299e-05,0.0622406049405486,2.61805167218161
"33713",0.578333333333333,0.578333333333333,20.5614151886239,5.97745227087935e-05,0.0622406049405486,2.60201298034681
"27238",0.893333333333334,0.893333333333333,20.0953820543119,6.50248953784785e-05,0.0656839105951401,2.54682878051312
"14763",0.556666666666667,0.556666666666667,19.7015497137704,6.99255268270799e-05,0.0656839105951401,2.49823213492662
"34698",0.540333333333333,0.540333333333333,19.5334436651969,7.21597337043548e-05,0.0656839105951401,2.47691874427984
"17280",0.547,0.547,19.3144268883902,7.52082275145865e-05,0.0656839105951401,2.4486227135581
"5160",0.939333333333334,0.939333333333333,19.2207115915215,7.65624931463374e-05,0.0656839105951401,2.43632905292222
"9916",0.548666666666667,0.548666666666667,19.1690631467262,7.73220839984624e-05,0.0656839105951401,2.42950539617406
"12603",0.451333333333333,0.451333333333333,19.0920998185662,7.84718012020621e-05,0.0656839105951401,2.4192728612787
"27113",0.655,0.655,19.0840288817905,7.85936212788162e-05,0.0656839105951401,2.41819531694302
"44494",0.915666666666667,0.915666666666667,18.9763629224204,8.02418695565425e-05,0.0656839105951401,2.40373883025291
"29122",0.493,0.493,18.8400155683468,8.23926373466407e-05,0.0656839105951401,2.38520980058158
"23953",0.446,0.446,18.5299411144888,8.7562791144403e-05,0.0656839105951401,2.34212952027054
"14559",0.857333333333334,0.857333333333333,18.4822306061096,8.83944597044929e-05,0.0656839105951401,2.33538224749848
"20614",1.00466666666667,1.00466666666667,18.4661394546013,8.86772106135711e-05,0.0656839105951401,2.33309937594441
"19099",0.938,0.938,18.3923137224053,8.9989262956302e-05,0.0656839105951401,2.32257852782918
"6388",0.502666666666667,0.502666666666667,18.3896089828362,9.00377982253985e-05,0.0656839105951401,2.32219160315172
"5496",0.550333333333333,0.550333333333333,18.3611651932817,9.05502239121662e-05,0.0656839105951401,2.31811625834831
"11232",0.527,0.527,18.2944155815031,9.17673429839616e-05,0.0656839105951401,2.30850692627524
"37093",0.954666666666667,0.954666666666667,18.2711797460977,9.21958901702329e-05,0.0656839105951401,2.30514678359088
"40805",0.652333333333333,0.652333333333333,18.0720465499038,9.59746759608713e-05,0.0671971657947418,2.27602658528656
"14096",0.611333333333333,0.611333333333333,17.9672763999553,9.80417291191514e-05,0.0674809589457563,2.26046976603625
"33681",0.569,0.569,17.7648422456665,0.000102198111435885,0.0690208391124951,2.22994093647399
