comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Gpr160,71862,ENSMUSG00000037661,G protein-coupled receptor 160,1.654000263719107,5.2732680985150315,4.5056707428655285,0.0018005005733381944,0.025874935658779536,-1.284723441322928,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cntnap5a,636808,ENSMUSG00000070695,contactin associated protein-like 5A,-0.7338324836895183,9.589635115184132,-4.503513215840972,0.0018057879439837775,0.025922041950258285,-1.2877909644316032,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Crip2,68337,ENSMUSG00000006356,cysteine rich protein 2,0.5801812992390172,11.437297509932282,4.503383687054788,0.0018061059082738883,0.025922041950258285,-1.2879751471473675,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Il17ra,16172,ENSMUSG00000002897,interleukin 17 receptor A,0.8560168944268458,7.648890260301275,4.500474716375141,0.001813262727281331,0.026008002092847166,-1.2921121862435427,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Apol7a,75761,ENSMUSG00000010601,apolipoprotein L 7a,3.176008637275863,1.5880043186379318,4.49936297363076,0.0018160059823978173,0.026030587682053654,-1.293693595022268,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Igfbp7,29817,ENSMUSG00000036256,insulin-like growth factor binding protein 7,0.8134379529632803,9.980714900146504,4.5101169904724765,0.001818062402238014,0.02604330547257348,-1.2899298174426859,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gba,NA,NA,NA,0.5978226241483853,9.41763711269287,4.497268799232451,0.001821185589873436,0.026071278286909246,-1.2966729624715683,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,4930570G19Rik,329782,ENSMUSG00000085084,RIKEN cDNA 4930570G19 gene,-0.9556434159191474,6.920921599864828,-4.496102960824813,0.0018240760142751375,0.026091093966566895,-1.298331869865378,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Shprh,268281,ENSMUSG00000090112,SNF2 histone linker PHD RING helicase,-0.7356736155298975,9.666911993179163,-4.495191090973725,0.0018263402341695764,0.026091093966566895,-1.299629535707477,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Tigd4,403175,ENSMUSG00000047819,tigger transposable element derived 4,-2.8269844867085263,1.8727166612422919,-4.495040251309258,0.0018267150691865348,0.026091093966566895,-1.2998442046498324,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,St6galnac5,26938,ENSMUSG00000039037,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",-1.585403799671223,11.678818587110165,-5.513914853931212,0.001827255065672025,0.026091093966566895,-0.940263140214765,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,2210418O10Rik,100504263,ENSMUSG00000078894,RIKEN cDNA 2210418O10 gene,-0.8038673475451468,8.456734656602343,-4.492373855088713,0.0018333547628735089,0.026161420463169386,-1.3036394600405181,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Tulp4,68842,ENSMUSG00000034377,TUB like protein 4,-0.5382985704553711,12.361544811265171,-4.489610457217958,0.0018402635019244668,0.026225647244491578,-1.3075738776832582,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Pdp1,381511,ENSMUSG00000049225,pyruvate dehydrogenase phosphatase catalytic subunit 1,0.6611681747485569,10.160190923073412,4.489342805149083,0.0018409341469253129,0.026225647244491578,-1.3079550093236918,Up,TRUE
