comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Sik1,17691,ENSMUSG00000024042,salt inducible kinase 1,1.9402127351234881,9.330361886267292,15.08342514704271,2.472608955251371e-7,2.0372803255032558e-4,7.598339192551887,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Map3k14,53859,ENSMUSG00000020941,mitogen-activated protein kinase kinase kinase 14,2.6048104655275965,7.528185568794591,15.017860597482144,2.5608910937863597e-7,2.0372803255032558e-4,7.567327061016471,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Maff,17133,ENSMUSG00000042622,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",4.850757437454881,7.193904940617577,15.673461154398531,2.8750869370602915e-7,2.2083641904488963e-4,7.450546366983749,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Il4ra,16190,ENSMUSG00000030748,"interleukin 4 receptor, alpha",2.4276123117375352,7.967472453484618,14.59583680260856,3.2208782623777554e-7,2.3915021098154833e-4,7.363329966565432,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc8a1,20541,ENSMUSG00000054640,"solute carrier family 8 (sodium/calcium exchanger), member 1",-1.6677852533157882,12.554018934581155,-14.289028114533172,3.8200656423736753e-7,2.744902005931407e-4,7.210115931132975,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ntrk3,18213,ENSMUSG00000059146,"neurotrophic tyrosine kinase, receptor, type 3",-1.7238587252060267,11.551686278456357,-14.138479161228682,4.1588401170955223e-7,2.8949426127594614e-4,7.13336985408943,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ppp1r15a,17872,ENSMUSG00000040435,"protein phosphatase 1, regulatory subunit 15A",2.137161716905842,10.08805019239433,14.024587186445297,4.4374314316602655e-7,2.9952662163706793e-4,7.074610300147839,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Per1,18626,ENSMUSG00000020893,period circadian clock 1,1.5950721183792531,10.759920580754315,13.908093480461334,4.744107178518448e-7,3.1080878647499535e-4,7.013874796072205,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lipg,16891,ENSMUSG00000053846,"lipase, endothelial",-2.5059435901369094,7.764880946308479,-13.851466533914866,4.901666096012851e-7,3.1195603511053216e-4,6.984117453490057,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Stk40,74178,ENSMUSG00000042608,serine/threonine kinase 40,2.0381140425225244,9.816742366987292,13.736171850640693,5.240830990212897e-7,3.2427641751942303e-4,6.9230513364055835,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tppp3,67971,ENSMUSG00000014846,tubulin polymerization-promoting protein family member 3,1.8088044588400098,9.15951961387892,13.55184668027357,5.838817405975902e-7,3.464709681772654e-4,6.824068922295208,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ier3,15937,ENSMUSG00000003541,immediate early response 3,3.8922194869383064,6.841277531065387,13.503337501915565,6.008582181860169e-7,3.464709681772654e-4,6.797738645978141,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Rgs16,19734,ENSMUSG00000026475,regulator of G-protein signaling 16,2.3971023108531275,7.8565737110066856,13.487231735511687,6.066158365393199e-7,3.464709681772654e-4,6.788970456603758,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Csrnp1,215418,ENSMUSG00000032515,cysteine-serine-rich nuclear protein 1,2.836878923560586,8.075629419448884,13.406251954087065,6.365135939569181e-7,3.544585076347588e-4,6.744685283853544,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lmna,16905,ENSMUSG00000028063,lamin A,1.9172552243234051,10.625793401343248,13.357708867871201,6.552216689955437e-7,3.559771384603838e-4,6.717978787326656,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Plxna4,243743,ENSMUSG00000029765,plexin A4,-1.473602892032659,11.738983398768942,-13.122968838529014,7.547852292195618e-7,4.0030573763966045e-4,6.5871173236473375,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ehd4,98878,ENSMUSG00000027293,EH-domain containing 4,1.9342168623753055,8.320738101606281,12.933417500111554,8.475629773925335e-7,4.3366574860246714e-4,6.479329704808972,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Kcna1,16485,ENSMUSG00000047976,"potassium voltage-gated channel, shaker-related subfamily, member 1",-1.748325752456731,9.422564268165676,-12.916157438835654,8.56623700943145e-7,4.3366574860246714e-4,6.469419097014061,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Wnt9a,216795,ENSMUSG00000000126,"wingless-type MMTV integration site family, member 9A",2.8412842543380554,6.923156389236045,12.734568341773764,9.587842688986026e-7,4.6869835927878384e-4,6.364167391692732,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Csf1,12977,ENSMUSG00000014599,colony stimulating factor 1 (macrophage),2.241250301302804,9.455290202756057,12.719412396039743,9.67906824997713e-7,4.6869835927878384e-4,6.35530074264889,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Bdkrb2,12062,ENSMUSG00000021070,"bradykinin receptor, beta 2",4.570515091640388,6.14572646749586,12.738338864098735,9.985926102588178e-7,4.7326915730883334e-4,6.327618973606976,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Akap12,83397,ENSMUSG00000038587,A kinase anchor protein 12,1.5993979300315786,10.767866057276363,12.619367343454654,1.0306090667415737e-6,4.7826702003476155e-4,6.296450487762389,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Otud1,71198,ENSMUSG00000043415,OTU domain containing 1,1.8183226621168096,8.533385400150324,12.528781960576655,1.0913073853779165e-6,4.93650953163972e-4,6.2426793796557245,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Amotl2,56332,ENSMUSG00000032531,angiomotin-like 2,1.9862799568744922,9.760009730569138,12.504734404254307,1.1080829476183435e-6,4.93650953163972e-4,6.228326650094946,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc15a3,65221,ENSMUSG00000024737,"solute carrier family 15, member 3",3.406884381559337,5.954898489436363,12.4482241647818,1.1486473534453685e-6,4.938330230904373e-4,6.194468549849216,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,A930011G23Rik,319818,ENSMUSG00000089809,RIKEN cDNA A930011G23 gene,1.841869911679483,9.757047104133626,12.404121604452815,1.1814560494530669e-6,4.938330230904373e-4,6.1679170224274085,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Arl4d,80981,ENSMUSG00000034936,ADP-ribosylation factor-like 4D,2.1088252702138304,8.435748871761437,12.403723456654557,1.1817569563251442e-6,4.938330230904373e-4,6.167676810063268,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Folr1,14275,ENSMUSG00000001827,folate receptor alpha,-4.172296904469746,5.404519988032582,-12.38347801467593,1.1971709650677268e-6,4.938330230904373e-4,6.155450142990874,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,C3ar1,12267,ENSMUSG00000040552,complement component 3a receptor 1,3.569746473560695,6.703085985918685,12.339858445287827,1.2311482573250186e-6,4.986150442166325e-4,6.129026492131979,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Sv2b,64176,ENSMUSG00000053025,synaptic vesicle glycoprotein 2b,-1.3047224470422947,12.589750845414517,-12.255995590693749,1.299534383117408e-6,5.169130068560762e-4,6.077912245257087,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Junb,16477,ENSMUSG00000052837,jun B proto-oncogene,2.303256326350155,9.751793477527828,12.264525393438536,1.480623913270193e-6,5.700458641396468e-4,5.961082583790363,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Itga5,16402,ENSMUSG00000000555,integrin alpha 5 (fibronectin receptor alpha),1.9591295855304045,8.306155572805583,12.051961188094626,1.48429450595284e-6,5.700458641396468e-4,5.951813312700679,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Adamts1,11504,ENSMUSG00000022893,ADAM metallopeptidase with thrombospondin type 1 motif 1,2.2920681973719823,9.469846109967015,12.086433707992317,1.5315328325740842e-6,5.782185397557242e-4,5.924928116240617,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Sbno2,216161,ENSMUSG00000035673,strawberry notch 2,1.5210593823341227,9.657847739666877,11.96630327827627,1.5704378578127536e-6,5.830250547129847e-4,5.898127063556554,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tmbim1,69660,ENSMUSG00000006301,transmembrane BAX inhibitor motif containing 1,1.8500442800303594,8.510510461360838,11.775821541256837,1.7826879338689707e-6,6.509733397857594e-4,5.777124520069668,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Nfkbiz,80859,ENSMUSG00000035356,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",2.3943293215073194,8.244766914755795,11.737352972666969,1.8293251338123853e-6,0.00065722931218823995,5.752412888279711,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ppm1e,320472,ENSMUSG00000046442,protein phosphatase 1E (PP2C domain containing),-1.371882841593541,12.84747130214027,-11.651565765683914,1.9383025953127118e-6,6.853284176284231e-4,5.696967370212807,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Trib1,211770,ENSMUSG00000032501,tribbles pseudokinase 1,1.8630614967579824,8.972879946919264,11.597733821313405,2.010370172487604e-6,6.997030561275216e-4,5.661935421285415,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Angpt2,11601,ENSMUSG00000031465,angiopoietin 2,2.232585395570169,7.345504089128152,11.541846109354704,2.0883620808176154e-6,7.156656207724982e-4,5.625368472578435,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Nfatc2,18019,ENSMUSG00000027544,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2",2.6963453541635563,9.39541503102784,12.41763701698669,2.200552953349325e-6,7.426866217553972e-4,5.610451385184287,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,C5ar1,12273,ENSMUSG00000049130,complement component 5a receptor 1,3.650695288407974,5.189158811386498,11.417315819444594,2.2745561307858222e-6,7.562050419888685e-4,5.543159066288798,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cdr2,12585,ENSMUSG00000030878,cerebellar degeneration-related 2,2.3258005790203677,7.251889133577391,11.334006103342237,2.409418217339697e-6,7.89261629282967e-4,5.487592293487259,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,B3gnt5,108105,ENSMUSG00000022686,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",2.660173212072186,8.812914746558338,11.814603110066683,2.4690858596637107e-6,7.930471429405688e-4,5.487487596962579,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Arrdc3,105171,ENSMUSG00000074794,arrestin domain containing 3,1.809083518037033,10.608760480149883,11.255454535782722,2.5447752860797766e-6,7.930471429405688e-4,5.4347756346116824,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Plau,18792,ENSMUSG00000021822,"plasminogen activator, urokinase",3.098694061329706,6.224786030338448,11.253341399843505,2.548531662309324e-6,7.930471429405688e-4,5.433349079852084,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gabrb1,14400,ENSMUSG00000029212,gamma-aminobutyric acid type A receptor subunit beta 1,-1.6507597624801154,10.890184255953352,-11.245019701702427,2.563384704454364e-6,7.930471429405688e-4,5.427728267403577,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc4a5,232156,ENSMUSG00000068323,"solute carrier family 4, sodium bicarbonate cotransporter, member 5",-4.251839765372159,4.7430400070343,-11.175690961700246,2.6909408127411553e-6,7.969724531947687e-4,5.380718776648754,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Tenm4,23966,ENSMUSG00000048078,teneurin transmembrane protein 4,-1.3853716161500262,10.943655610937505,-11.173552943943543,2.6949852505110447e-6,7.969724531947687e-4,5.379263872755656,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Sdc1,20969,ENSMUSG00000020592,syndecan 1,2.049541182159298,7.786921354168785,11.154735478555269,2.7308750983880153e-6,7.969724531947687e-4,5.366445300497906,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slitrk3,386750,ENSMUSG00000048304,"SLIT and NTRK-like family, member 3",-1.6710262962814273,9.878576447475183,-11.14437507073828,2.7508619872671174e-6,7.969724531947687e-4,5.359377410841278,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Plk3,12795,ENSMUSG00000028680,polo like kinase 3,1.9046360016266837,8.209595850916362,11.142257822250071,2.7549665048708053e-6,7.969724531947687e-4,5.357932117066079,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Plin2,11520,ENSMUSG00000028494,perilipin 2,1.7596843114350005,8.143390348823115,11.109096100618022,2.8201517793078975e-6,8.053702677446593e-4,5.335254920059262,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Nr4a1,15370,ENSMUSG00000023034,"nuclear receptor subfamily 4, group A, member 1",2.8558854338242856,10.03920454590926,12.896993352806286,2.857798971315928e-6,8.057907858995228e-4,5.387331039714249,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Niban2,227737,ENSMUSG00000026796,niban apoptosis regulator 2,1.3015146040734233,9.999790761142563,11.026972344731126,2.9890965742918744e-6,8.298466925051502e-4,5.2787697040957084,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Atf4,11911,ENSMUSG00000042406,activating transcription factor 4,1.258543368420952,11.575148819472114,11.01361578442747,3.0176243363823645e-6,8.298466925051502e-4,5.269538811362645,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Smad7,17131,ENSMUSG00000025880,SMAD family member 7,1.7375534587195354,8.262347525177722,10.992166496765723,3.064073223835376e-6,8.323442812308902e-4,5.254688933377331,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Prkca,18750,ENSMUSG00000050965,"protein kinase C, alpha",-1.593009263768609,11.615670081647327,-10.953764484665925,3.149234393423681e-6,8.451710375121987e-4,5.228021958144291,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Klf2,16598,ENSMUSG00000055148,Kruppel-like transcription factor 2 (lung),1.691648276843991,8.345921802225396,10.860549657483594,3.3671199591034333e-6,8.8335829656701e-4,5.162860408408941,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Pim1,18712,ENSMUSG00000024014,proviral integration site 1,2.451040198145848,7.741908690490391,10.859017078491183,3.3708397399863455e-6,8.8335829656701e-4,5.161783923029326,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Nlgn1,192167,ENSMUSG00000063887,neuroligin 1,-1.4720137071807589,10.452443727109067,-10.810219325640638,3.4917030682184194e-6,9.043916958670383e-4,5.127420797715354,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccl3,20302,ENSMUSG00000000982,C-C motif chemokine ligand 3,5.941059260676036,5.50715882286174,11.971590402634451,3.685698376104958e-6,9.415596191175034e-4,5.136088738706455,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gem,14579,ENSMUSG00000028214,GTP binding protein overexpressed in skeletal muscle,3.809472090231157,7.7970797777703815,12.37858750242617,3.7197417051555687e-6,9.415596191175034e-4,5.140528216099389,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lmo7,380928,ENSMUSG00000033060,LIM domain only 7,-1.2099652953219184,10.801944988685015,-10.595859674272727,4.082927570473202e-6,0.0010218787823852874,4.974434727289502,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Jund,16478,ENSMUSG00000071076,jun D proto-oncogene,1.7869670135122817,10.579575692805541,10.562891770587377,4.252221777839973e-6,0.0010486509110102643,4.936147035144135,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Klf10,21847,ENSMUSG00000037465,Kruppel-like transcription factor 10,1.3271770601349981,10.231969695909623,10.517846525955266,4.325086605547641e-6,0.0010486509110102643,4.917921593515867,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Eepd1,67484,ENSMUSG00000036611,endonuclease/exonuclease/phosphatase family domain containing 1,1.5964317006070878,8.365352478294426,10.515962723295635,4.331128341770788e-6,0.0010486509110102643,4.9165513642469065,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Dusp1,19252,ENSMUSG00000024190,dual specificity phosphatase 1,1.7148677016138976,8.704346980522347,10.455781377021879,4.529170997814971e-6,0.0010807920873074496,4.872637305654582,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Flnc,68794,ENSMUSG00000068699,"filamin C, gamma",2.4019637792715827,8.457148941245876,10.58582724959963,4.633590989846184e-6,0.0010807920873074496,4.861681254797642,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lpar2,53978,ENSMUSG00000031861,lysophosphatidic acid receptor 2,1.7845694605597648,7.792364673235731,10.4223904403389,4.643383111259455e-6,0.0010807920873074496,4.848154700670349,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccl6,20305,ENSMUSG00000018927,C-C motif chemokine ligand 6,2.809594033945631,6.023542414340998,10.418194816310011,4.657959164153318e-6,0.0010807920873074496,4.845072470542114,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Spsb1,74646,ENSMUSG00000039911,splA/ryanodine receptor domain and SOCS box containing 1,1.3878962144812181,9.234338548122775,10.355120346939472,4.883332736898781e-6,0.0011022262169667876,4.798575185445726,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Atp2b1,67972,ENSMUSG00000019943,"ATPase, Ca++ transporting, plasma membrane 1",-1.832747350006489,13.48854452467374,-10.734925279161626,4.9281536241700495e-6,0.0011022262169667876,4.8170760022067896,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Pard6b,58220,ENSMUSG00000044641,par-6 family cell polarity regulator beta,1.8384087256788098,7.59299090406973,10.33555644455695,4.95568113558489e-6,0.0011022262169667876,4.784091492113584,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gpr22,73010,ENSMUSG00000044067,G protein-coupled receptor 22,-1.667998702796167,9.976671883983586,-10.330825279311467,4.973355687877546e-6,0.0011022262169667876,4.780584485959469,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Mn1,433938,ENSMUSG00000070576,meningioma 1,1.6929685155757177,9.858854283984872,10.324326369363094,4.997748503418432e-6,0.0011022262169667876,4.7757643333501,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Icam1,15894,ENSMUSG00000037405,intercellular adhesion molecule 1,2.5348735139281153,7.263391404916396,10.258737600112141,5.251514639704026e-6,0.0011209214812159024,4.726936342980689,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Dact1,59036,ENSMUSG00000044548,dishevelled-binding antagonist of beta-catenin 1,1.489849054857567,8.845736376505906,10.252328339728228,5.277070963111744e-6,0.0011209214812159024,4.722147127945966,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cxcl1,14825,ENSMUSG00000029380,C-X-C motif chemokine ligand 1,3.7015506855120717,4.66020438137815,10.247567843237471,5.296142489121122e-6,0.0011209214812159024,4.718587866339387,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cryab,12955,ENSMUSG00000032060,"crystallin, alpha B",2.0296648284065295,9.05494544188281,10.2638962090789,5.319103959225981e-6,0.0011209214812159024,4.7160451617554155,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Galntl6,270049,ENSMUSG00000096914,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6,-1.3350459224808642,9.369548777344583,-10.2381429705578,5.334126913979154e-6,0.0011209214812159024,4.711536028411249,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Kcne2,246133,ENSMUSG00000039672,"potassium voltage-gated channel, Isk-related subfamily, gene 2",-3.7990524127261884,4.407531313465567,-10.202745991621436,5.47951381945638e-6,0.001140711872227952,4.6849898297580825,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Nr1d1,217166,ENSMUSG00000020889,"nuclear receptor subfamily 1, group D, member 1",2.182160490747256,10.256370686838913,10.948453318922699,5.556992422850229e-6,0.0011412017977539453,4.723909176318013,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,P2ry12,70839,ENSMUSG00000036353,"purinergic receptor P2Y, G-protein coupled 12",-1.8807289445744662,7.797423544362793,-10.174786325212507,5.597469605323171e-6,0.0011412017977539453,4.663952252379508,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Adamts4,240913,ENSMUSG00000006403,ADAM metallopeptidase with thrombospondin type 1 motif 4,1.6929803480917043,7.970901015621708,10.165896207546202,5.635564433352816e-6,0.0011412017977539453,4.657250285784762,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Dlgap1,224997,ENSMUSG00000003279,DLG associated protein 1,-1.1212826793655655,12.219188598202559,-10.148639129421047,5.7103378075504755e-6,0.0011459258978665481,4.644223051764852,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Dlgap2,244310,ENSMUSG00000047495,DLG associated protein 2,-1.4776910759443425,9.418680521674938,-10.128703462591348,5.798093323146347e-6,0.0011489358007370069,4.629144636749253,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Plek,56193,ENSMUSG00000020120,pleckstrin,2.185475669475859,8.81317824948507,10.2739836562646,5.828495869058666e-6,0.0011489358007370069,4.636093999343766,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tagln2,21346,ENSMUSG00000026547,transgelin 2,1.736595897236148,9.66288963224039,10.074867162955163,6.0426607288996706e-6,0.0011746569362593743,4.588268615347687,Up,TRUE
