gene_symbol,mean_log2FC
0610012g03rik,0.5085860584157939
0610042g04rik,0.7591736369955379
1110025m09rik,0.16834669433497904
1110038b12rik,1.044195406728905
1110065p20rik,0.6179541090127276
1190007i07rik,0.5695521096614671
1500002f19rik,0.8719796947916278
1500026h17rik,0.5954133472848542
1700008j07rik,0.5480905086247974
1700008o03rik,0.8870809026781693
1700012d14rik,-0.5257421113287061
1700020a23rik,1.6984516545298451
1700024g13rik,2.000880364949134
1700037c18rik,0.6928985529346888
1700049j03rik,2.3790196680736804
1700066m21rik,-0.68807275732737
1700086o06rik,0.6499833560483178
1700102p08rik,-0.720351734826683
1700123o20rik,0.847044401666667
1810009a15rik,0.672383757763654
1810026b05rik,-0.6787104310272803
1810044d09rik,1.2462454412068884
2010315b03rik,-0.6811296215684605
2210416o15rik,1.0225369383121206
2210418o10rik,-1.6087555984481503
2300009a05rik,-0.07135752931899708
2310009b15rik,0.9308086201191303
2310039h08rik,0.8383272054034354
2310040g24rik,1.1449456365532973
2310075k07rik,0.8643122303700559
2410006h16rik,0.10931594660450776
2510002d24rik,-0.6609808107545406
2510017j16rik,-0.61811648389012
2510022d24rik,0.5008984435501065
2600006k01rik,0.6768055496212356
2610037d02rik,-0.5356593707029444
2610306m01rik,0.5822329443974102
2810001g20rik,0.5180369105054049
2810049e08rik,0.8414226501294318
2810410l24rik,0.7222222119387033
2900009j06rik,0.8343639901412203
2900060b14rik,1.5396025929258783
2900064f13rik,-1.199546568815919
2900089d17rik,0.5902249258389257
2900093k20rik,0.7534103001408312
3110009e18rik,0.5638340623051875
3110040n11rik,0.5954921500178428
3110070m22rik,0.8657080836361734
3300002a11rik,2.64516175614298
4732491k20rik,-0.6570609158618992
4833412k13rik,-0.5612565104557925
4833420g17rik,0.5156788238
4833438c02rik,0.6718092667548375
4833439f03rik,0.5569339155105741
4930404h24rik,1.3407009433721535
4930404n11rik,-0.9395403754796088
4930405h06rik,3.895882294751636
4930413g21rik,0.6258999263641885
4930447c04rik,-0.13477460883161785
4930473a02rik,-1.9788348448129844
4930503l19rik,-0.5039866381274507
4930522l14rik,-0.006942721760932691
4930579g24rik,0.6134475409183928
4930579k19rik,1.0302300450932602
4930598n05rik,-1.0036392510720709
4931408d14rik,1.373501192667053
4931422a03rik,1.5559320946594142
4933407l21rik,0.8239696009612385
4933426b08rik,1.2979194691362794
4933427i04rik,1.1882468466544645
4933432i09rik,-0.5825645246850524
4933440n22rik,0.8660302358897685
5031425e22rik,0.7353836531952377
5430403g16rik,-0.6895408311943719
5430416n02rik,0.9025227421301382
5730405o15rik,0.7565403899162471
5730408k05rik,1.0740204794608457
5830454e08rik,1.114706262547193
5930409g06rik,-0.6601161661688492
5930430l01rik,0.610109048798672
6030458c11rik,1.1126905113518042
6330415b21rik,2.912299528193897
6330415g19rik,0.6442493823229053
6330549d23rik,-7.6159855882514815
6430548m08rik,1.532708643089704
6430571l13rik,0.5003080383030972
6720427i07rik,-0.7507898829661489
6720489n17rik,-0.9165216961544757
8030453o22rik,0.5169894243452609
9030607l20rik,1.753398999615933
9130002k18rik,-1.5693887119567014
9130221h12rik,8.584349480447152
9330020h09rik,1.0219227449303554
9330117o12rik,-0.5997621528843589
9330121k16rik,-0.8470365613906821
9330162g02rik,-0.6128572374127514
9430038i01rik,0.601548458557901
9430041j12rik,0.6622073683733496
9430078g10rik,0.5490156221235034
9430083a17rik,0.6463508963846124
9630001p10rik,-0.8452209160494886
9630009a06rik,0.8825168973783726
9630013a20rik,-0.7346709215074201
9930017n22rik,-0.5820609449727345
A230009b12rik,-5.954947094152372
A230020j21rik,0.049585477647529574
A230051n06rik,1.3319247696937557
A230103l15rik,-0.022651943940676433
A230107n01rik,-0.593743503077967
A330008l17rik,-9.794818021179127
A330015k06rik,1.2058157585542748
A330023f24rik,-5.642873130196247
A330040f15rik,0.9383627089833924
A330070k13rik,0.9336757843934343
A330074k22rik,0.22931794285495055
A330076h08rik,-0.7884710949746659
A430035b10rik,0.5681239336340979
A630019i02rik,2.419820733115427
A630076j17rik,-6.501425649476066
A730020m07rik,-0.8649998602562272
A730035i17rik,0.9746263823954116
A730063m14rik,1.534077730806247
A730098a19rik,0.6147320492260293
A830019p07rik,0.7269868704029638
A830052d11rik,0.8724875261775965
A930003o13rik,-0.7455601445896846
A930004d18rik,-1.434646136564269
A930005h10rik,0.5599951188594107
A930033h14rik,0.5636746999850286
Aa543186,1.2930261380528818
Aamdc,0.5344377096321582
Abcg3,-0.8638993684504856
Abhd11os,1.6416313965724378
Abhd12,1.53051497662148
Abhd17b,-0.5276686989924586
Ac132288.1,-0.5227528384265266
Ac135859.1,-0.5120486121156475
Acadsb,0.540534746575
Acer2,0.5797361375181971
Ackr2,0.5514825697204281
Acp4,0.5783832661780858
Actb,-0.70509186015
Actg1,-0.7406334661776152
Acvr1c,5.380568398260025
