group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Caskin2,CASKIN2,-0.2120758471191277,0.0487369865803245,DOWN
Acc3_accumbens_GLP_1_MK_801,3,accumbens,GLP_1_MK_801,GSE244607,gene_name,Gm5917,GM5917,1.849953436235886,4.752379097644945e-15,UP
Acc3_accumbens_GLP_1_MK_801,3,accumbens,GLP_1_MK_801,GSE244607,gene_name,Rsrp1,RSRP1,0.2291906965041945,0.0214191798141547,UP
Acc3_accumbens_GLP_1_MK_801,3,accumbens,GLP_1_MK_801,GSE244607,gene_name,Specc1,SPECC1,-0.2087967145220779,0.0214191798141547,DOWN
Acc3_accumbens_GLP_1_MK_801,3,accumbens,GLP_1_MK_801,GSE244607,gene_name,Gm5182,GM5182,-0.8154126806148844,0.0351993731516566,DOWN
Acc3_accumbens_GLP_1_MK_801,3,accumbens,GLP_1_MK_801,GSE244607,gene_name,2900060b14rik,2900060B14RIK,1.5396025929258783,0.0353708969250144,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Cdkn1a,CDKN1A,1.0778622968225204,4.0309866271798585e-14,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Sh2b2,SH2B2,0.6217948733681421,4.0309866271798585e-14,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Prox1,PROX1,-0.7523017927012889,6.123822454249885e-13,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Tma16,TMA16,0.5221560874690946,1.0262478168207217e-12,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Erbb3,ERBB3,-0.5655122965567891,1.723410299308214e-12,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Sox10,SOX10,-0.5655622523040477,4.923129477411949e-12,DOWN
