gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Uqcc3,3,UP,3,0,0.5545698319724672,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Thap3,3,UP,3,0,0.5511410786589699,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rps23,3,UP,3,0,0.5510996049479857,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rplp2,3,UP,3,0,0.5485037059124888,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Spa17,3,UP,3,0,0.5448481618812638,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Lamtor2,3,UP,2,1,0.5429593746176241,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Huwe1,3,UP,3,0,0.5405882174265151,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1_MK_801
Fam107b,3,UP,2,1,0.5396169264924681,Acc5_arc_IP118_PY115;Acc5_pvn_IP118_PY115;Acc8_hippocampus_ST_A_Ex
Lsm8,3,UP,3,0,0.5335688964988989,Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD;Acc8_hypothalamus_LT_A_Ex
Rpl30,3,UP,3,0,0.5326932500412661,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rpl11,3,UP,3,0,0.5311544458717852,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Trir,3,UP,3,0,0.5296353451351925,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cep131,3,UP,3,0,0.5292689772754788,Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tmem240,3,UP,3,0,0.5284111003903146,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Fkbp2,3,UP,3,0,0.5283965754533441,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Srxn1,3,UP,3,0,0.5282608569959961,Acc11_hippocampus_Ex4;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115
Polr2l,3,UP,3,0,0.5271412042623297,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tppp3,3,UP,3,0,0.5266624402634613,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Epha6,3,UP,3,0,0.5257434051657196,Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2
5930430l01rik,3,UP,3,0,0.521969982820209,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Sec61g,3,UP,3,0,0.5198589199396269,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
