Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Database
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26/70,1.1735826635002235e-17,3.038405515802078e-14,0,0,12.868311688311689,501.6567882159234,NDUFB9;COX7B;NDUFB8;NDUFB6;UQCRB;NDUFA12;COX4I1;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5B;COX6A2;COX7C;COX8A;NDUFA8;NDUFA5;UQCC3;NDUFA3;NDUFA2;NDUFA1;NDUFS6;UQCRQ;NDUFS5,GO_Biological_Process_2023
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),25/68,6.623912277224553e-17,8.574654442867184e-14,0,0,12.647339917171074,471.1546473911827,NDUFB9;COX7B;NDUFB8;NDUFB6;UQCRB;COX4I1;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5B;COX6A2;COX7C;COX8A;NDUFA8;NDUFA5;UQCC3;NDUFA3;NDUFA2;NDUFA1;NDUFS6;UQCRQ;NDUFS5,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),27/85,2.768793078123339e-16,2.3894684264204413e-13,0,0,10.14177779531287,363.3083986142344,NDUFB9;COX7B;NDUFA13;NDUFB8;NDUFB6;UQCRB;NDUFA12;COX4I1;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5B;COX7C;BLOC1S1;COX8A;NDUFA8;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NR4A3;NDUFS6;UQCRQ;NDUFS5,GO_Biological_Process_2023
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),24/93,2.034416082540804e-12,1.316775809424535e-09,0,0,7.5474691388627235,203.18399984271545,RPL30;RPS9;RPL41;RPL21;RPL11;RPL35A;RPL23A;RPL8;RPS15;RPS28;RPS27;RPS19;RPL36AL;RPS18;RPS29;RPL37A;RPL36;RPL35;RPLP2;RPL38;RPL37;FAU;RPS21;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),30/158,1.8600065210748208e-11,9.631113766125424e-09,0,0,5.104854334098737,126.13000593726233,RPL30;RPL11;MRPL14;RPL8;RPS15;MRPL41;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS9;RPL41;RPL21;MRPL27;MRPS21;RPL35A;RPL23A;MRPS18C;MRPL52;RPS28;RPS27;RPS29;RPL37A;FAU;RPS21;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),32/183,3.855818832670758e-11,1.663785826297432e-08,0,0,4.620794244735899,110.80134423047012,RPL30;RPL11;MRPL14;RPL8;RPS15;MRPL41;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;APOE;RPS9;RPL41;RPL21;MRPL27;MRPS21;RPL35A;RPL23A;INHBA;MRPS18C;MRPL52;RPS28;RPS27;RPS29;RPL37A;FAU;RPS21;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),21/90,3.7624255098020424e-10,1.349684201434804e-07,0,0,6.581521739130435,142.8242020425227,NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFB6;NDUFA5;PET100;UQCC3;UQCC2;NDUFA3;COX17;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;PET117;NDUFAF8;NDUFS5;NDUFAF2;COX14,GO_Biological_Process_2023
GO_Biological_Process_2023,Translation (GO:0006412),35/234,4.170518969284832e-10,1.349684201434804e-07,0,0,3.838476446899625,82.90268671235013,RPL30;RPL11;MRPL14;RPL8;MRPL54;RPS15;MRPL41;MRPL20;MRPL2;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPS28;RPL41;MRPS26;RPS9;RPL21;MRPL27;MRPS21;RPL35A;RPL23A;MRPS18C;MRPL52;RPS28;RPS27;RPS29;RPL37A;FAU;RPS21;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),17/59,5.201054070780453e-10,1.4961698876945105e-07,0,0,8.7257326007326,186.52989522381972,NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFB6;UQCRB;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFS6;BLOC1S1;NDUFS5,GO_Biological_Process_2023
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),15/53,7.142260787979396e-09,1.5409427650065547e-06,0,0,8.492188428181063,159.28998652696689,NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFB6;NDUFA5;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFAF8;NDUFS5;NDUFAF2,GO_Biological_Process_2023
