gene_symbol,group,log2FC,padj,direction
Gdf1,Acc3_brainstem_GLP_1_MK_801,-0.92048832290216,1.6386003252341998e-05,DOWN
Aff2,Acc3_brainstem_GLP_1_MK_801,0.9050257269567475,2.0349786965663003e-05,UP
Lonrf3,Acc3_brainstem_GLP_1_MK_801,0.6026050088092768,4.231113984403749e-05,UP
Itgb8,Acc3_brainstem_GLP_1_MK_801,0.5855890554932944,4.231113984403749e-05,UP
Gucy1a2,Acc3_brainstem_GLP_1_MK_801,0.8738475599698694,4.3225266235086366e-05,UP
Gm21986,Acc3_brainstem_GLP_1_MK_801,0.6659784705466756,5.2491715372713184e-05,UP
Plin4,Acc3_brainstem_GLP_1_MK_801,0.6542065336065013,0.0001480295714926,UP
A330074k22rik,Acc3_brainstem_GLP_1_MK_801,0.6834531152951463,0.0001632914194128,UP
Slc9a7,Acc3_brainstem_GLP_1_MK_801,0.8194176972074514,0.0001635029278474,UP
Adcy9,Acc3_brainstem_GLP_1_MK_801,0.6143206246598242,0.0002429834080259,UP
Epha6,Acc3_brainstem_GLP_1_MK_801,0.6642595879064925,0.0002617848694567,UP
Lingo4,Acc3_brainstem_GLP_1_MK_801,0.6192508849247131,0.0007343399718038,UP
Klhl11,Acc3_brainstem_GLP_1_MK_801,0.6730873059993395,0.001289751927015,UP
Hspa1b,Acc3_brainstem_GLP_1_MK_801,-0.8594510430157639,0.001314564413165,DOWN
Kcna3,Acc3_brainstem_GLP_1_MK_801,0.988033706422705,0.0020708572942419,UP
Kcnj6,Acc3_brainstem_GLP_1_MK_801,0.5882312916587168,0.0060216515604484,UP
Gabrb2,Acc3_brainstem_GLP_1_MK_801,0.8177453663651115,0.0183573341168238,UP
Slc6a20a,Acc3_brainstem_GLP_1_MK_801,-0.7181592932211405,0.0262073471140299,DOWN
Eps8l2,Acc3_brainstem_GLP_1_MK_801,-0.629442880655819,0.0468463650711847,DOWN
Xdh,Acc3_hypothalamus_GLP_1,0.8967628574433324,0.0020643000595941,UP
Xdh,Acc3_hypothalamus_GLP_1_MK_801,0.9917070452121696,1.955078835699492e-05,UP
Zbtb16,Acc3_hypothalamus_GLP_1_MK_801,0.8975438382796251,3.513630772852812e-05,UP
Hif3a,Acc3_hypothalamus_GLP_1_MK_801,0.9911298854018638,4.7408820214107006e-05,UP
Glra1,Acc3_hypothalamus_GLP_1_MK_801,0.7735377507400855,5.613186929992537e-05,UP
Hr,Acc3_hypothalamus_GLP_1_MK_801,0.7573147029123168,0.0003933191495165,UP
Gm50152,Acc3_hypothalamus_GLP_1_MK_801,-0.7118599522794677,0.0004067558269633,DOWN
Fkbp5,Acc3_hypothalamus_GLP_1_MK_801,0.5571633620119996,0.0004650119251824,UP
Trim59,Acc3_hypothalamus_GLP_1_MK_801,-0.8277829854290607,0.0004764922666162,DOWN
Map3k6,Acc3_hypothalamus_GLP_1_MK_801,0.8531746598358223,0.0005469093856986,UP
Hspa1b,Acc3_hypothalamus_GLP_1_MK_801,-1.503696983600912,0.0006682824606294,DOWN
C1qa,Acc3_hypothalamus_GLP_1_MK_801,0.5102561444347723,0.0008562498526704,UP
Gulp1,Acc3_hypothalamus_GLP_1_MK_801,-0.8614296777241693,0.0009235180144567,DOWN
Rps29,Acc3_hypothalamus_GLP_1_MK_801,0.7391226085103191,0.0009421567686949,UP
Hspa1a,Acc3_hypothalamus_GLP_1_MK_801,-0.8075448829630265,0.0015197003672266,DOWN
Atad2,Acc3_hypothalamus_GLP_1_MK_801,-0.5003526498781976,0.0015197003672266,DOWN
Gm44256,Acc3_hypothalamus_GLP_1_MK_801,-0.6126701788459618,0.0015978823166812,DOWN
Mrpl52,Acc3_hypothalamus_GLP_1_MK_801,0.5252634777117299,0.0017595537935671,UP
Qk,Acc3_hypothalamus_GLP_1_MK_801,-0.5768816845039981,0.002617426624994,DOWN
Aspa,Acc3_hypothalamus_GLP_1_MK_801,-0.6091134103825555,0.0026364213890148,DOWN
Mt2,Acc3_hypothalamus_GLP_1_MK_801,0.7267941249342127,0.0026404336294984,UP
Plin4,Acc3_hypothalamus_GLP_1_MK_801,1.2515993698780792,0.0032908351399286,UP
Prrx1,Acc3_hypothalamus_GLP_1_MK_801,-0.5422368624798433,0.0037195021908693,DOWN
Zfand6,Acc3_hypothalamus_GLP_1_MK_801,-0.6066988778896786,0.004208813058636,DOWN
Bmi1,Acc3_hypothalamus_GLP_1_MK_801,-0.580672333904205,0.0042585048268742,DOWN
Srsf10,Acc3_hypothalamus_GLP_1_MK_801,-0.522612807800603,0.0042585048268742,DOWN
Rnf11,Acc3_hypothalamus_GLP_1_MK_801,-0.5858434832187301,0.0052219870845631,DOWN
Gm45871,Acc3_hypothalamus_GLP_1_MK_801,-0.571079262079584,0.0056082836504523,DOWN
Tekt4,Acc3_hypothalamus_GLP_1_MK_801,0.6157435592182513,0.0059096309536353,UP
Gm10033,Acc3_hypothalamus_GLP_1_MK_801,-0.6693226879049989,0.0064544857086296,DOWN
Zmym1,Acc3_hypothalamus_GLP_1_MK_801,-0.5843304944566864,0.0065433460075065,DOWN
Sult1a1,Acc3_hypothalamus_GLP_1_MK_801,0.6357694835554295,0.0068164111663283,UP
Lipo3,Acc3_hypothalamus_GLP_1_MK_801,-0.7918420853820197,0.0082376521675442,DOWN
Ecm2,Acc3_hypothalamus_GLP_1_MK_801,-0.5708439858442825,0.0089362448220055,DOWN
Nr4a3,Acc3_hypothalamus_GLP_1_MK_801,-0.5110902645458302,0.009176229316358,DOWN
Klhl15,Acc3_hypothalamus_GLP_1_MK_801,-0.6908914678459133,0.009620155541979,DOWN
C1galt1,Acc3_hypothalamus_GLP_1_MK_801,-0.6124397773456298,0.0096806582436557,DOWN
Slc5a3,Acc3_hypothalamus_GLP_1_MK_801,-0.5270797629597093,0.0100024479258148,DOWN
Ada,Acc3_hypothalamus_GLP_1_MK_801,0.7777150857124965,0.0105296788953408,UP
Gm10010,Acc3_hypothalamus_GLP_1_MK_801,0.6864581595916938,0.0106748134135204,UP
A230103l15rik,Acc3_hypothalamus_GLP_1_MK_801,-0.5714333567234464,0.0110730790518661,DOWN
Dbf4,Acc3_hypothalamus_GLP_1_MK_801,-0.5316533199745731,0.0115762163791388,DOWN
Gm27252,Acc3_hypothalamus_GLP_1_MK_801,0.7152495274531797,0.0123398185244756,UP
Zfp976,Acc3_hypothalamus_GLP_1_MK_801,-0.5232463606782758,0.013301580014047,DOWN
Med9os,Acc3_hypothalamus_GLP_1_MK_801,0.6764982064082901,0.0141218826921726,UP
Brwd3,Acc3_hypothalamus_GLP_1_MK_801,-0.5459981250916004,0.0141322742335365,DOWN
Angptl4,Acc3_hypothalamus_GLP_1_MK_801,0.5074337612173538,0.0150056603919488,UP
