gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Plin4,7,UP,7,0,1.6365410532117846,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_frontalcortex_ST_A_Ex_KD;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Nwd2,4,UP,3,1,8.440975333889975,Acc4_hypothalamus_Lira;Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cdkn1a,4,UP,4,0,1.3159039431548343,Acc3_brainstem_GLP_1;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115
Zfp41,3,UP,3,0,12.410943896393036,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Myo1e,3,UP,3,0,12.05345235929999,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Szt2,3,UP,3,0,11.663139631771875,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cacna1d,3,UP,3,0,11.291666481571285,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Echdc2,3,UP,3,0,11.235187588472114,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Dock5,3,UP,3,0,11.214834637254407,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Brwd3,3,UP,3,0,11.011973436366992,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Pawr,3,UP,3,0,10.876390514029806,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cdc45,3,UP,3,0,10.816238877484446,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Atp11c,3,UP,3,0,10.813369965469336,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Ccdc9b,3,UP,3,0,10.739682423412603,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Ptgr1,3,UP,3,0,10.450660905474843,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Mgmt,3,UP,3,0,10.33692298530587,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Tm7sf2,3,UP,3,0,10.24337266001959,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Ccn1,3,UP,3,0,10.111139239255186,Acc6_dvc_AC3174;Acc6_dvc_AC710222;Acc6_dvc_COMBO
Gm5532,3,UP,3,0,9.976591389178475,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cgnl1,3,UP,3,0,9.974542897126366,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Epha10,3,UP,3,0,9.94600848235721,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Bc065397,3,UP,3,0,9.921538348310172,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Igfbp2,3,UP,3,0,9.920649458766581,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cd53,3,UP,3,0,9.918463655572502,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Gm14168,3,UP,3,0,9.771276416934027,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Slc9b2,3,UP,3,0,9.471728850079712,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Fam167a,3,UP,3,0,9.24240860102109,Acc6_dvc_AC3174;Acc6_dvc_AC710222;Acc6_dvc_COMBO
Ccdc78,3,UP,3,0,8.785348187327907,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Nupr2,3,UP,3,0,8.533561740255944,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Calcr,3,UP,3,0,8.393146088816707,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Slc4a7,3,UP,3,0,8.009010043975708,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
H2bc21,3,UP,3,0,7.883084420720194,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Tmem131l,3,UP,3,0,7.577875486326138,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
F12,3,UP,3,0,7.4950439233648956,Acc6_mbh_AC3174;Acc6_mbh_COMBO;Acc8_hippocampus_ST_A_Ex
Acvr1c,3,UP,3,0,7.3653768918396025,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Adap2,3,UP,3,0,7.342105886040527,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
C2cd4d,3,UP,3,0,7.197142854449617,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Pxdn,3,UP,3,0,6.985647812770608,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Eya1,3,UP,3,0,6.935370421666813,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Flna,3,UP,3,0,6.665944374236166,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Zfp385c,3,UP,3,0,6.665059091649457,Acc6_dvc_AC3174;Acc6_dvc_AC710222;Acc6_dvc_COMBO
Lipt2,3,UP,3,0,6.466207965606629,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Rexo5,3,UP,3,0,6.385999876766289,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Hspa12b,3,UP,3,0,6.07317398235558,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Msantd2,3,UP,3,0,5.18073453026642,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Zfp771,3,UP,3,0,5.014479531465098,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Xkr8,3,UP,3,0,4.950246542965353,Acc6_dvc_AC3174;Acc6_dvc_AC710222;Acc6_dvc_COMBO
Mreg,3,UP,3,0,4.758004623283353,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Sema6a,3,UP,3,0,4.736209509863961,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Cdan1,3,UP,3,0,3.912796214940217,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Rnf19b,3,UP,3,0,3.0475875173473903,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Pan3,3,UP,3,0,2.847622450427424,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Nkx2-1,3,UP,3,0,2.632360346107544,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Tmem160,3,UP,3,0,2.604280909710958,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Ubqln1,3,UP,3,0,2.4155920990511714,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Rbm26,3,UP,3,0,2.2499336521079707,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Apmap,3,UP,3,0,2.0986367134527986,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Uri1,3,UP,3,0,1.9879745333031593,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Zfyve9,3,UP,3,0,1.9847889301955712,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Fance,3,UP,3,0,1.978031749855857,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
