gene_symbol,mean_log2FC
1110038b12rik,1.044195406728905
1700020a23rik,1.6984516545298451
1700024g13rik,2.000880364949134
1700049j03rik,2.3790196680736804
1810044d09rik,1.2462454412068884
2210416o15rik,1.147061138657177
2210418o10rik,-1.6087555984481503
2310040g24rik,1.1449456365532973
2410006h16rik,-1.3884128023967506
2900060b14rik,1.5396025929258783
2900064f13rik,-1.199546568815919
3300002a11rik,2.64516175614298
4732491k20rik,-3.0492069346434207
4930404h24rik,1.3407009433721535
4930405h06rik,3.895882294751636
4930473a02rik,-1.9788348448129844
4930579k19rik,1.0302300450932602
4930598n05rik,-1.0036392510720709
4931408d14rik,1.373501192667053
4931422a03rik,1.5559320946594142
4933426b08rik,1.2979194691362794
4933427i04rik,1.1882468466544645
5430416n02rik,1.0231098974643735
5730408k05rik,1.2578273868401109
5830454e08rik,1.114706262547193
6030458c11rik,1.1126905113518042
6330415b21rik,2.912299528193897
6330549d23rik,-7.6159855882514815
6430548m08rik,1.532708643089704
9030607l20rik,1.753398999615933
9130002k18rik,-1.5693887119567014
9130221h12rik,8.584349480447152
9330020h09rik,1.0759044325575176
A230009b12rik,-5.954947094152372
A230051n06rik,1.3319247696937557
A330008l17rik,-9.794818021179127
A330015k06rik,1.2058157585542748
A330023f24rik,-5.642873130196247
A330040f15rik,1.1395113518559117
A630019i02rik,2.419820733115427
A630076j17rik,-6.501425649476066
A730063m14rik,1.534077730806247
A930004d18rik,-1.434646136564269
Aa543186,1.2930261380528818
Abhd11os,1.6416313965724378
Abhd12,1.53051497662148
Acvr1c,7.3653768918396025
Ada,1.4070875831879366
Adamts13,1.3100064407000758
Adap2,7.342105886040527
Adgrv1,-6.856759286350177
Adra2c,8.620951497326477
Agrp,1.140151434198657
Ai506816,4.253782048500547
Ajuba,-6.932379332794344
Akain1,-7.437421033327964
Aknad1,2.620636261244341
Aldoart1,-1.1776957247359072
Alox12b,-10.065304434718207
Anapc13,1.1019721470585746
Angel2,-1.074827218208244
Ankrd23,10.208040961690168
Ankrd61,1.0044258038600509
Ano2,1.526485472407613
Anxa4,3.5595402216389007
Ap1ar,3.108519224113414
Apmap,2.0986367134527986
Apoa1,1.7469351118007617
Apoc1,1.0335411103974268
Aqp1,3.199866583219253
Arc,1.073431454642806
Arl4d,1.252298898858489
Arrdc2,1.0726616906700928
Asb4,-1.4805045099742526
Asxl3,8.763816203858354
Atad2,-9.278353557989778
Atf7ip2,3.5607291178897342
Atmin,1.5027715729141458
Atp11c,10.813369965469336
Atp1a4,-2.7425678601809698
Atp2c2,1.1267221700715455
Atp4a,-12.06147611863088
Atp5k,1.318190789646155
Atp5mpl,1.001075519023669
Atp6v0c-ps2,-1.2449398121912765
Au041133,2.94091752661271
Avpr1a,-1.584377497124874
Avpr1b,1.026566567217748
B230110g15rik,1.088922335182002
B430010i23rik,2.461174221906374
B630019k06rik,1.8263606701684616
Bag1,2.7151364045329167
Baz1b,1.5844311991590967
Bc016579,-1.314117783735684
Bc065397,9.921538348310172
Bc1,2.4613442455345727
Bean1,2.6269561102276526
Bend4,-2.735387891685009
Bloc1s3,4.220453972065748
Bmpr2,7.75508321112195
Bnip3l-ps,-1.4404906281902297
Bod1,3.2815744305061783
Brap,2.2932012429183297
Brd1,2.44148817013953
Brwd1,1.2304322081329067
Brwd3,11.011973436366992
Btbd1,1.903738699637664
Btc,-1.0490395667097705
C030034l19rik,1.4092583673329497
C130023a14rik,-1.0823113321102815
C130026i21rik,3.129994657180506
C2cd4d,7.197142854449617
C330018a13rik,1.211025816063183
C630004l07rik,1.1758723298879104
Cacna1d,11.291666481571285
Calcr,8.393146088816707
Calr,-1.175196834427983
Camk2n2,1.9384882527679177
Camsap2,1.604767436416655
Car13,1.7593819309520644
Cartpt,1.00732835543217
Catspere1,1.6499089072003243
Cbx4,1.7956311820876727
Ccdc125,-1.0013262929755469
Ccdc14,-3.886184882916132
Ccdc150,1.3865033326735885
Ccdc153,1.119624848027506
Ccdc180,11.8474805225285
Ccdc78,8.785348187327907
Ccdc9b,10.739682423412603
Ccl17,1.071355200573569
Ccl21b,1.199273792371491
Ccn1,10.111139239255186
Ccn2,1.2662196543419812
Cd53,9.9184636555725
Cd99,-1.062673684055474
Cda,-1.9684602184905944
Cdan1,3.912796214940217
Cdc45,10.816238877484446
Cdk16,2.684821147972282
Cdk17,1.885674951169933
Cdkn1a,1.3159039431548343
Cdkn1c,3.1699903323591885
Cdr2l,2.507241473506574
Cenpn,-10.365983137825127
Cep57l1,4.133442486343693
Cgnl1,9.974542897126367
Chka,2.2051057537931635
Chrna1os,1.5033432257287325
Chrna3,-2.9865438456443574
Clcn7,-1.5001387117238831
Clec2d,1.0038047570685131
Cmas,1.729884312168466
Cmtm4,-2.133778698133094
Cnbd2,2.6029022346034094
Cnksr2,1.8917802679586322
Cnnm4,-5.032378808313751
Col13a1,1.0201112366935396
Col3a1,-1.6722936112307605
Col9a2,1.1434243246811355
Cops9,1.0813662493373921
Cox5b,1.2187378851937463
Cox6a2,1.0301707330268002
Cox7a1,1.5434186603375908
Cox7c-ps1,-1.9924527069964284
Cox8a,1.1113590965156988
Cpn2,3.638096597582507
Creb3l1,5.446852282270479
Csl,-1.2593801434548102
Ctbp1,2.2943304560232947
Ctcf,1.2277067175041023
Ctf1,10.530920676811945
Cxcl2,2.4591768463347976
Cyrib,1.5558204184941942
Cysltr2,-1.5789526674270689
D830031n03rik,1.4433481314122505
Dapk3,5.598942802183799
Dbf4,5.495966511002286
Dbi,1.130734405706051
Dcaf10,2.0167028219829914
Dcph1,-1.9083080722361183
Dis3l,-1.2519154919027151
Dock5,11.214834637254407
Dock6,-2.593073656540553
Dpm3,1.116306973617927
Dtx1,2.4628266878840614
Dusp9,1.6115727397823645
E2f7,1.8742226180631
Eaf2,1.0919729855755278
Echdc2,11.235187588472114
Efhd2,2.4775855058637695
Egr1,-1.3052745647462287
Egr4,2.4407677003448778
Eif2d,-1.8953292279347425
Eif3j2,-1.02144787736046
Ell,-1.3803915306682897
Elmod3,-1.7684383402113653
Enpp6,11.22306192314511
Entpd3,11.890680716408411
Epcam,1.2151588406210954
Epha10,9.94600848235721
Epha2,1.3651471463109477
Ephb2,-6.802057444486351
Erich2,1.1323387717138131
Ero1b,6.017789786037167
Eya1,6.935370421666813
F11r,9.888863559913142
F12,7.4950439233648956
Fam107b,1.2616303389225236
Fam167a,9.24240860102109
Fam20a,-4.008034048213907
Fam241a,8.025085855985298
Fam43b,3.6986458209640842
Fancd2os,-1.0694944017434544
Fance,1.978031749855857
Fbxo32,4.158414905648476
Fbxw23,-1.237628806807189
Fbxw4,3.5425168551740893
Fcnaos,1.2649873623484358
Fcor,1.4067699107157583
Fer1l5,9.138743730578463
Fgf23,1.0919260223515987
Fgf2os,2.9697252602121305
Fkbp5,2.6404933363718692
Flna,6.665944374236166
Fmnl3,9.294806237303957
Fmo5,-2.979088569076589
Fnip2,6.821582101549018
Fos,0.06471815673136805
Fosb,1.745229956588727
Fosl2,1.9129599705195568
Fyn,2.260464333866312
Fzd10,-1.0184063084345816
Gabpb1,-1.4010012725249053
Galm,-9.489599865623925
Gbp10,-2.6328645570802567
Gclm,1.9237347290027724
Gcnt7,1.152266697871248
Gimap9,1.271438937665376
Gjc3,-2.287275176453532
Glp1r,-2.2692409992255014
Glrx,-1.0654434619573114
Glrx5,2.238315240198302
Glud1,1.9734402321355589
Gm10145,-1.912975658013021
Gm10157,-1.565191412822603
Gm10209,1.41551332202234
Gm10224,-1.6900102072189913
Gm10226,-1.337370131879167
Gm10874,-1.0360925106859558
Gm10910,1.2283321721163087
Gm11478,-1.2463570900042882
Gm11655,1.6236732719806046
Gm11703,-1.8172180289532085
Gm11750,1.1137112138112384
Gm12070,-1.3508329764246174
Gm12144,9.992370468830805
Gm12174,-1.4664068506910715
Gm12227,1.788463337674064
Gm12350,-1.6055290153669093
Gm12657,-1.8881068555115212
Gm12669,-1.4586515359954333
Gm12693,-1.2111017183430424
Gm12696,-1.1389840877851394
Gm12701,2.131208016246134
Gm12816,-1.5272046391470346
Gm12827,1.4311766340027865
Gm13363,-1.6829916960060014
Gm13404,1.2664842253879232
Gm13748,3.0966504105257004
Gm13889,1.7065786916624617
Gm14168,9.771276416934027
Gm14279,-1.1746529542856374
Gm14296,-1.3727857335351752
Gm14377,1.5067310168471426
Gm14393,0.07972568291416116
Gm14636,1.5775328395810158
Gm14681,-1.044770710143334
Gm15421,-0.3288671119559133
Gm15455,-1.5207953535249321
Gm15651,1.742223788109128
Gm15666,-1.2223887987809257
Gm15682,-1.0311182704920396
Gm15689,-1.286755693600736
Gm15738,1.613479716353954
Gm16796,1.4700840919272296
Gm17066,-1.2379865174835472
Gm19835,1.0640766727926163
Gm20056,-1.5167678896930428
Gm20594,1.6938232268212583
Gm20642,-1.5128233079161155
Gm21119,1.3462232860401364
Gm22009,2.1852619787805287
Gm2449,-5.781763755981419
Gm26520,2.427581295132931
Gm26549,9.962407825965352
Gm26691,-2.9893444169901446
Gm26808,2.267590951209894
Gm26876,-1.111739340341416
Gm26885,-1.146142101435432
Gm26911,1.1688439402197912
Gm26947,1.0972602324433418
Gm27242,1.6913067787632112
Gm28609,1.8830079519936351
Gm28941,-1.0899431428166435
Gm29667,1.7877652452277166
Gm29808,-1.9085212410499808
Gm29901,1.5367827350989007
Gm30015,5.193754902949749
Gm30067,1.875366133485579
Gm30149,2.4149915283870755
Gm30181,-1.4566029989663865
Gm30575,2.829268502851138
Gm30583,1.0947932286547448
