Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Database
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),37/53,1.854106494323144e-12,8.405844624717743e-10,0,0,7.435479184277261,200.8591958934405,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;DMAC1;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;TMEM186;NDUFA8;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;BCS1L;LYRM2;NDUFAF8;NDUFS8;NDUFS7;NDUFS5;NDUFAF4;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFAF2;NDUFAF3,GO_Biological_Process_2023
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),39/59,6.840522712492836e-12,2.842807230600147e-09,0,0,6.270919661733616,161.21378699291756,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCRB;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;BLOC1S1;NDUFV3;NDUFV1;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;CHCHD10;NDUFC1;NIPSNAP2;SIRT3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),51/90,2.333249211343984e-11,8.950702936132654e-09,0,0,4.210780317605243,103.0848465384012,NDUFA13;NDUFA11;TMEM186;CHCHD4;AIFM1;NDUFC2;NDUFC1;BCS1L;NDUFS8;NDUFS7;SDHAF3;NDUFS5;NDUFS4;SDHAF1;NDUFS3;TMEM126A;NDUFB9;NDUFB8;NDUFB7;COX16;DMAC1;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;COX17;NDUFB3;NDUFB2;NDUFB1;PET117;COX14;COA3;NDUFA8;SURF1;NDUFA6;NDUFA5;PET100;UQCC3;UQCC2;NDUFA3;NDUFA2;NDUFA1;LYRM2;NDUFAF8;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF2;NDUFAF3;COX20,GO_Biological_Process_2023
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),34/53,5.155032336939818e-10,1.8362961617370625e-07,0,0,5.748991274384482,122.94722337000846,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3,GO_Biological_Process_2023
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),38/63,6.857891840392188e-10,2.280020440535723e-07,0,0,4.885461847389558,103.08544757734364,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCRB;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;CHCHD10;NDUFC1;SDHD;SDHA;NIPSNAP2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),51/98,1.4279600293400702e-09,4.4507729164493314e-07,0,0,3.492211809908634,71.12594415898972,MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;MRPS12;MRPL38;MRPS10;MRPL34;MRPL33;MRPL41;MRPL2;MRPL1;MRPL40;CHCHD1;RARS2;MRPS28;TSFM;MRPS26;MRPS18A;MRPS21;MRPL47;MRPS7;MRPL46;MRPS5;MRPS18C;MRPL52;MRPL53;MRPL51;MRPL18;MRPS33;MRPS34;MRPS31;MRPL14;MRPL58;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;MRPL55;MRPL20;DROSHA;GADD45GIP1;NDUFA7;MRPL27;MRPL28;MRPL23;MRPL21;MRPL22;MRPL30,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),52/103,3.960855385405971e-09,1.1619285768835044e-06,0,0,3.281248051478382,63.48166892739285,MRPS15;MRPS16;FASTKD1;FASTKD2;MRPS14;MRPS11;MRPS12;MRPL38;MRPS10;MRPL34;MRPL33;MRPL41;MRPL2;MRPL1;MRPL40;CHCHD1;RARS2;MRPS28;MRPS26;MRPS18A;MRPS21;MRPL47;MRPS7;MRPL46;MRPS5;MRPS18C;MRPL52;MRPL53;MRPL51;FASTKD5;MRPL18;MRPS33;MRPS34;MRPS31;MRPL14;MRPL58;MRPS30;FOXO3;MRPL12;MRPL13;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;NDUFA7;MRPL27;MRPL28;MRPL23;MRPL21;MRPL22;MRPL30,GO_Biological_Process_2023
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),34/60,4.8958554202281545e-08,1.3564239433709891e-05,0,0,4.1992527008366505,70.68304650578759,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3,GO_Biological_Process_2023
GO_Biological_Process_2023,Establishment Of Protein Localization To Mitochondrion (GO:0072655),26/44,6.035766114172297e-07,0.0001584229769019855,0,0,4.63300302199733,66.3464233932511,TIMM9;TIMM13;TIMM10;MFF;HK1;HSPD1;TOMM22;CHCHD4;GRPEL1;TIMM17A;TIMM17B;ROMO1;BCAP31;DNAJC19;TIMM8B;FIS1;PAM16;AIP;TIMM23;TIMM44;DNAJC15;TOMM40L;PINK1;DNLZ;TOMM7;TOMM5,GO_Biological_Process_2023
GO_Biological_Process_2023,RNA Processing (GO:0006396),73/183,9.59116907738268e-07,0.00023915580094453716,0,0,2.1368921325693044,29.611454623279304,FASTKD1;CELF1;FASTKD2;CELF2;AKAP8L;ELAVL4;ADAR;BICD1;TENT4B;PPP1R9B;DUSP11;RBM3;SYNCRIP;SNRPD2;SNRPD1;DHX15;SNRPD3;PRKACA;SNRNP35;BCAS2;RBM6;MBNL1;NCBP2;THOC1;TFIP11;ZCRB1;FBXO11;SFPQ;SCNM1;HNRNPUL1;HNRNPH1;SNRPG;FASTKD5;RBMS1;RP9;SNRPA1;SNRNP25;SNRPF;SRSF5;HNRNPH3;SRSF7;SNRPB;SRSF9;SF3B2;RBM8A;CSTF3;WBP4;DDX20;NOL9;U2AF1;NOL3;PRPF8;ATXN1;EXOSC4;PABPN1;ZMAT5;PPARGC1A;HNRNPA0;IVNS1ABP;SF3A3;RBM39;CPSF6;RNGTT;SF3A2;FUS;LSM5;LSM4;LSM3;SETX;SMU1;SNRNP40;HNRNPA2B1;CDK12,GO_Biological_Process_2023
GO_Biological_Process_2023,Protein Targeting To Mitochondrion (GO:0006626),31/59,1.7712194431615434e-06,0.0004206224458593627,0,0,3.55253120665742,47.049163058478,MTCH1;NDUFA13;TIMM9;TIMM13;TIMM10;MFF;PRICKLE4;TOMM22;HSPD1;CHCHD4;AIFM1;GRPEL1;TIMM17A;PMPCB;TIMM17B;ROMO1;BCAP31;DNAJC19;TIMM8B;FIS1;HSP90AA1;PAM16;AIP;TIMM23;TIMM44;DNAJC15;TOMM40L;TIMM10B;DNLZ;TOMM7;TOMM5,GO_Biological_Process_2023
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",13/16,2.1091628381554747e-06,0.00047810886699460695,0,0,13.874684608915056,181.3312979308889,COX8A;COX7B;NDUFA4;COX4I1;COX7A2;COX5B;COX6A1;COX6C;COX5A;COX6A2;COX7C;COX6B1;CYCS,GO_Biological_Process_2023
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),78/208,6.788403777578367e-06,0.0014719030277731,0,0,1.9314858239181407,22.9852505682248,HIP1;CCNH;USP33;PTEN;PARK7;PHB2;UXT;LAMP2;RUVBL1;FLOT1;CHP1;EP300;GOLGA7;EPHA4;MORC3;HSP90AA1;FBXW7;PIH1D1;USP2;ANK2;ATP1B2;MAPK8IP3;HCFC1;TYROBP;CREB1;CDC37;RABL3;DNLZ;PFDN1;PFDN2;PFN1;PFDN5;PFDN6;PFN2;URI1;GRN;STXBP4;RPL11;SEL1L;MTMR9;WIZ;PIK3R1;RTN4;STK3;HSPD1;BAG4;PDCD10;BAG3;BAG1;POLR2E;FLNA;MARCHF7;TBL1X;VHL;TAF9B;PPARGC1A;RPL17;UBE2B;USP9X;WFS1;PTGES3;SEC16A;SYVN1;HPS4;MT3;USP29;HYPK;PINK1;TRIM39;TNIP2;GNAQ;PIN1;NAA16;STUB1;CALR;NAA15;HSPA1B;HSPA1A,GO_Biological_Process_2023
GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),58/144,8.456112267569505e-06,0.0017571096615987,0,0,2.168131982050915,25.325128031449346,RB1;NCKAP1;CDKN1A;RTKN;RASGRF2;RASGRF1;ARHGDIG;BRK1;PARK7;CELSR1;ARHGAP5;FGF2;ARHGAP35;CFL1;RAC3;HRAS;RALGPS2;USP8;CNKSR2;RAP2C;RAP2A;DOK3;RAP2B;DOK4;DOK6;ARHGEF3;RAPGEF1;CDH13;RAPGEF2;TAX1BP3;TNFRSF25;SOS1;SOS2;KPNB1;RAPGEF3;RAPGEF4;RALB;ROCK1;ROCK2;RASGRP3;RAP1B;GNA13;NRAS;RAP1A;ORC3;G3BP1;GNA12;EPS8L2;SHOC2;EPS8L3;RALGDS;BRAP;HACE1;LIMK1;ARHGAP29;NF1;GRB2;KRAS,GO_Biological_Process_2023
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),59/150,1.672575247960992e-05,0.0033364531046325,0,0,2.084085765614428,22.9219443424278,CELF1;CELF2;MRPS11;PPAN;ADAR;CDC73;RPS15;RPS14;SART1;RPS19;SNRPD2;SNRPD1;DENR;RPL38;SNRPD3;PRMT5;HSP90AA1;MRPS7;WDR77;TRAF7;SNRPG;SNRPE;SNRPF;SRSF5;SNRNP200;LUC7L2;SNRPB;SRSF9;TSSC4;RPL11;DDX20;RPS27L;NOL3;RRP7A;MRPL20;RRS1;SRSF10;MDN1;MCTS1;SRPK3;CPSF6;SF3A2;XRCC5;PTGES3;RPL23A;LSM4;TARBP2;SETX;RPS28;EIF5;RPS27;AGO3;EIF6;EIF3K;TNIP1;AGO4;AGO2;RSRP1;EIF3G,GO_Biological_Process_2023
GO_Biological_Process_2023,Axonogenesis (GO:0007409),70/188,2.5718814731425988e-05,0.0047939716391819,0,0,1.9079248740265689,20.16349906110961,CYFIP2;EPHB6;SEMA5A;ROBO2;RAB3A;USP33;PTEN;ARHGAP35;GLI2;PPP3CB;RPS6KA5;TUBB3;KIF5B;KIF5A;DAG1;TNR;NRCAM;EPHB2;NEO1;SCN1B;RAB8A;EPHA5;SEMA6B;EPHA4;SEMA6C;PLEKHG4;HSP90AA1;EPHA6;SEMA6A;DSCAM;SEMA6D;ANK3;AFG3L2;SLC9A6;MAP1B;PARD3;MAP1A;S100A6;ULK2;ULK1;SOS1;DSCAML1;NOTCH2;SEMA7A;NOTCH1;EPHA10;ARHGEF25;NRXN1;SSNA1;NRXN3;C9ORF72;SLITRK2;SLITRK1;SLITRK4;SLIT1;FYN;APBB1;DRD2;AUTS2;BDNF;RYK;USP9X;WNT7A;CCK;L1CAM;S100B;PTK2;RAB10;EFNA3;CNTN1,GO_Biological_Process_2023
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),23/43,2.5954929668721165e-05,0.0047939716391819,0,0,3.685766961651917,38.91856252156538,COX8A;COX7B;UQCRB;NDUFA4;COX4I1;GFPT1;COX7A2;UQCR11;UQCR10;COX5B;COX6A1;COX6C;COX5A;COX7C;MTLN;MT3;UQCRH;COX6B1;NR4A3;UQCRQ;NDUFS4;CYCS;PPARGC1A,GO_Biological_Process_2023
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),47/118,8.046729040628311e-05,0.0136267191309114,0,0,2.125263226968759,20.036258660559035,RPS19BP1;MRPS12;RPL11;NOL7;WDR46;TMA16;RPS15;RRP7A;FBL;RPS14;RPS17;EMG1;RPS16;XPO1;RPS19;BMS1;RRS1;RPL14;RRP36;RPL38;RPS11;GLUL;RPS13;NOP56;RPS9;WDR36;NOP16;DIMT1;RPS8;UTP3;RPS6;GTF3A;WDR74;WDR75;RPL35A;URB2;BYSL;RPS25;RPS28;RPS27;TNIP1;RPL26;RBIS;RSL24D1;RPS24;RPS23;CUL4B,GO_Biological_Process_2023
GO_Biological_Process_2023,Clathrin Coat Assembly (GO:0048268),10/13,8.133130380442676e-05,0.0136267191309114,0,0,10.666106324858164,100.44250540463204,HIP1;CALY;NSG2;CLTC;FCHO2;CLTA;NSG1;PIK3C2A;EPS15;PICALM,GO_Biological_Process_2023
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",75/211,8.19734457444041e-05,0.0136267191309114,0,0,1.773423206095391,16.686343236578324,WDR83;CWC25;CWC27;PQBP1;PNN;SYNCRIP;SART1;SNRPD2;SNRPD1;RBMX2;SNRNP70;DHX15;SNRPD3;SNRNP35;BCAS2;RBM6;PRMT5;AQR;IK;RBM14;NCBP2;PRPF40A;TFIP11;WDR77;SFPQ;SCNM1;HNRNPH1;FRG1;SNRPG;PPIE;SNRNP27;SRSF3;SNRPE;SNRPA1;HNRNPH3;PABPC1;SNRPF;SRSF5;SNRNP200;SRSF7;SNRPA;SNRPB;SRSF9;SF3B2;DDX5;TSSC4;RBM8A;WBP4;DDX20;U2AF1;PRPF8;U2AF1L4;ZMAT2;DHX38;HNRNPA1;SRSF10;SF3A3;SRPK3;PPIL1;PRPF38A;SF3A2;LSM5;LSM4;DNAJC17;LSM3;SMU1;LSM8;LSM7;SNRNP40;HNRNPA2B1;RSRP1;PIN1;PRPF31;BUD13;CDK13,GO_Biological_Process_2023
GO_Biological_Process_2023,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),44/109,9.265826259909004e-05,0.014906024373602,0,0,2.1727439967439968,20.17738794908211,DET1;GSK3B;GSK3A;UBXN1;RNF14;LRRK2;RPL11;KEAP1;RNF19B;PARK7;XPO1;HECTD1;DDRGK1;RNF217;SUMO2;GNA12;ELOB;ARIH1;UBQLN4;N4BP1;SOCS5;ZYG11B;ANKIB1;USP9X;GLMN;PLK1;AXIN2;COMMD1;KLHL40;CBFA2T3;SIRT2;PHF20L1;SH3RF3;RYBP;TRIM39;GIPC1;MAP1A;MDM2;WAC;STUB1;TRIB2;OGT;HSPA1B;HSPA1A,GO_Biological_Process_2023
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),55/146,0.00012569501486040514,0.0195887824721512,0,0,1.9411432860732816,17.43467367599409,NCKAP1;RAB3A;CTNND2;LRRK2;PTEN;WASL;CELSR2;ARHGAP35;ALCAM;DIP2A;NRCAM;EPHB2;RAB8A;MEF2A;EPHA4;ANK3;AFG3L2;IMPACT;SLC9A6;MAP1B;PARD3;MAP1A;S100A6;TMEM106B;TNIK;SGK1;DSCAML1;SHANK1;GPM6A;NLGN1;NYAP1;ROCK1;SDC2;SSNA1;LRP4;NOL3;KLK8;PAK1;SLITRK2;MAP2;SLITRK1;BTBD3;SLITRK4;FLRT1;MAP6;APBB1;DRD2;PACSIN1;BDNF;RYK;WNT7A;CCK;S100B;RAB10;DLG4,GO_Biological_Process_2023
