gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp1r,predominant_direction_glp1r,mean_log2FC_glp1r,direction_concordant
Igip,6,DOWN,-0.8753669481606492,4,DOWN,-0.3120805638145958,True
Dok6,6,DOWN,-0.9720040851660802,4,DOWN,-0.1322205044104618,True
Pgm2l1,6,DOWN,-0.974724717329324,4,DOWN,-0.1571762768785319,True
Gpr22,6,DOWN,-1.575921114336923,4,DOWN,-0.3826021609880627,True
Wnt9a,6,UP,2.0078899610588645,3,UP,0.889173271416133,True
Pawr,6,UP,1.348483645444909,3,UP,10.876390514029806,True
Zc3h12c,6,UP,1.2529513143997209,3,UP,0.1232673006241307,True
Tppp3,6,UP,1.174407450272687,3,UP,0.5266624402634613,True
Snhg12,6,UP,1.0307230287961624,3,UP,0.5667821695773737,True
Srxn1,6,UP,0.939661850745625,3,UP,0.5282608569959961,True
Zfas1,6,UP,0.8130194318703822,3,UP,0.3846429594834266,True
Gas5,6,UP,0.6409964307951949,3,UP,0.6212226132561112,True
Fam107b,6,UP,0.4603112243426623,3,UP,0.5396169264924681,True
Reps2,6,DOWN,-0.1771564886845868,3,DOWN,-0.1225149980142797,True
Atp8a1,6,DOWN,-0.4698119911759806,3,DOWN,-0.1256337650735366,True
Ccdc88a,6,DOWN,-0.4759063739515648,3,DOWN,-0.3073007139710987,True
Opa1,6,DOWN,-0.6079794836016829,3,DOWN,-0.0925800735652379,True
Taok1,6,DOWN,-0.6503994952667536,3,DOWN,-0.1175432245928719,True
Ubash3b,6,DOWN,-0.6953137263315639,3,DOWN,-0.1292237233812672,True
Atxn1,6,DOWN,-0.6964652174103255,3,DOWN,-0.0585999734121381,True
Purg,6,DOWN,-0.7525668012371464,3,DOWN,-0.3223500406472046,True
Pten,6,DOWN,-0.803028197601173,3,DOWN,-0.4349346554232862,True
Camta2,6,DOWN,-0.8917321901210634,3,DOWN,-0.1259952655950658,True
Arid1b,6,DOWN,-0.9119175409292868,3,DOWN,-0.0595920335139283,True
Lrfn3,6,DOWN,-0.9403882284534698,3,DOWN,-0.125053516950618,True
Camk1d,6,DOWN,-1.031534629246455,3,DOWN,-0.0799319176214958,True
Mdga1,6,DOWN,-1.04234743181091,3,DOWN,-0.1695735878555528,True
Rnf157,6,DOWN,-1.0860046718241587,3,DOWN,-0.080276601476238,True
Gpr158,6,DOWN,-1.168416563193998,3,DOWN,-0.0929616724816423,True
Zbtb18,6,DOWN,-1.2806456605909855,3,DOWN,-0.239924230873544,True
Pde1a,6,DOWN,-1.496172434308713,3,DOWN,-0.3399278998333333,True
Gabrb2,6,DOWN,-1.528694913172803,3,DOWN,-0.1254436339521995,True
Dnajc6,6,DOWN,-1.5483692343817228,3,DOWN,-0.0576136836206598,True
Akap6,6,DOWN,-1.579508653344847,3,DOWN,-0.0258192553653281,True
Kcnc1,6,DOWN,-1.6649764351989071,3,DOWN,-0.1145434090646267,True
Grin2a,6,DOWN,-1.7431810008974171,3,DOWN,-0.0777890352209255,True
Cntn1,6,DOWN,-2.15606359465392,3,DOWN,-0.1248543815452416,True
Bdkrb2,6,UP,3.2335061189413827,2,UP,0.0990224933402399,True
Neat1,6,UP,2.9513142289069445,2,UP,0.327439113716894,True
Arc,6,UP,2.1830638666236326,2,UP,0.3113092827825481,True
Lmna,6,UP,1.639032849847906,2,UP,0.3528167878449434,True
Uaca,6,UP,1.4545643147507503,2,UP,3.682247056617264,True
Osmr,6,UP,1.4115146450544287,2,UP,0.1110693139451078,True
Eif4ebp1,6,UP,1.3383173895099805,2,UP,0.5853954954541503,True
Tent5a,6,UP,1.1873028697679373,2,UP,0.1080926098082545,True
Bhlhe41,6,UP,1.1716116371578291,2,UP,0.1659122878157739,True
Jdp2,6,UP,1.1687482823647273,2,UP,0.4282724539143718,True
Itpkb,6,UP,0.9261656706591376,2,UP,-0.0222342113978172,True
Ank,6,DOWN,-0.1081530385865721,2,DOWN,-0.2156474831818188,True
Smad1,6,UP,-0.304835453362573,2,UP,0.3343850430579526,True
Zmynd8,6,DOWN,-0.3518227795681747,2,DOWN,-0.21252363955,True
Zeb2,6,DOWN,-0.4025286683159263,2,DOWN,-0.2523374038337743,True
Nrp1,6,DOWN,-0.6361094489353335,2,DOWN,-0.4061480026620359,True
Dnal1,6,DOWN,-0.6598052486805015,2,DOWN,-0.2437714936283851,True
Abi2,6,DOWN,-0.7042547015318155,2,DOWN,-0.4055814491865923,True
Rtn4rl1,6,DOWN,-1.1242257555922384,2,DOWN,-0.2967598895509732,True
Fam155a,6,DOWN,-1.2846284965992294,2,DOWN,-0.2419836411982186,True
Nckap1,6,DOWN,-1.358996688716891,2,DOWN,-0.3775847037652677,True
Nos1ap,6,DOWN,-1.3683312024486447,2,DOWN,-0.2803573924,True
Chl1,6,DOWN,-1.9197764146322207,2,DOWN,-0.28760628395,True
Syn2,6,DOWN,-2.4543352894479677,2,DOWN,-0.298496153425,True
Cdkn1a,5,UP,1.0886586825853062,8,UP,0.5787234060592998,True
Kif1b,5,DOWN,-0.4983245424700467,6,DOWN,0.1064643754502719,True
Gsk3b,5,DOWN,-0.6077544412539961,6,DOWN,-0.1743255084748688,True
Mef2a,5,DOWN,-0.7874697853611303,6,DOWN,-0.2761973940324809,True
Kcna1,5,DOWN,-1.5219355955356604,6,DOWN,0.0097622146483506,True
Mt2,5,UP,1.137848543798172,5,UP,0.8279362157476047,True
Clcn3,5,DOWN,-0.5208969168363631,5,DOWN,-0.0108291893975772,True
Lmbrd2,5,DOWN,-0.6382831485423793,5,DOWN,-0.2318872839463983,True
Inhba,5,DOWN,-1.0968092333934778,5,DOWN,-0.4656535736315835,True
Gabra2,5,DOWN,-1.802569930723139,5,DOWN,-0.3702533879417689,True
Cadm2,5,DOWN,-2.839258542597932,5,DOWN,-0.2776352216396206,True
Myo1e,5,UP,1.8007243762137637,4,UP,8.967952093662872,True
Sun2,5,UP,1.1843423531071575,4,UP,0.3100594817021793,True
2410006h16rik,5,UP,0.7371942892894575,4,UP,0.133835101403387,True
Dnajb9,5,UP,0.6987392378834627,4,UP,-0.0076011759136511,True
Ddit4,5,UP,0.5574691748915567,4,UP,0.5515981604102876,True
Mt1,5,UP,0.5058479138829557,4,UP,0.4629350106326768,True
Usp2,5,UP,0.4613448677712718,4,UP,0.245090602069967,True
Pdpk1,5,DOWN,-0.5662408013269541,4,DOWN,-0.1468596272299211,True
Slc39a10,5,DOWN,-0.6558721234678953,4,DOWN,-0.1823464767792782,True
Trhde,5,DOWN,-0.9273583556267658,4,DOWN,-0.1357148535741462,True
Tmem170b,5,DOWN,-0.9554930914132524,4,DOWN,-0.3248289303139983,True
Cdh12,5,DOWN,-1.135891037280275,4,DOWN,-0.1685586549719727,True
Slitrk4,5,DOWN,-1.1728483146203998,4,DOWN,-0.2184089826271133,True
Ttll7,5,DOWN,-1.4328955537063022,4,DOWN,-0.1431770597796786,True
Slc7a14,5,DOWN,-1.656404544794576,4,DOWN,-0.2562324379624451,True
Gria3,5,DOWN,-1.7837563797267235,4,DOWN,-0.3060376087108439,True
Ccn1,5,UP,5.043635455311703,3,UP,10.111139239255186,True
Chac1,5,UP,3.3986362217963237,3,UP,-0.0136317375336633,True
Ciart,5,UP,1.870589622627277,3,UP,0.4764768602055996,True
Rgcc,5,UP,1.5353965284066884,3,UP,0.1579271744329542,True
Ccno,5,UP,1.5076217323170482,3,UP,0.3960158409287118,True
Cstb,5,UP,1.4156730385633092,3,UP,0.4009693660119343,True
Dusp6,5,UP,0.4309002242770744,3,UP,0.1417560603867886,True
Atp6v1a,5,DOWN,0.1184588533442994,3,DOWN,-0.2239918532298186,True
Gm13889,5,UP,-0.0153808442285655,3,UP,1.7065786916624617,True
Zdhhc21,5,DOWN,-0.2382456898724662,3,DOWN,-0.3066218593505687,True
Ash1l,5,DOWN,-0.5387997096816012,3,DOWN,-0.0294640505291241,True
Tomm70a,5,DOWN,-0.539733568404209,3,DOWN,-0.0059754996315325,True
Ddx6,5,DOWN,-0.5481473508452622,3,DOWN,-0.1613823189706053,True
Ube4a,5,DOWN,-0.5707370107321935,3,DOWN,-0.0909986431729596,True
Camta1,5,DOWN,-0.6166255111871931,3,DOWN,-0.0956579086083471,True
Gpd2,5,DOWN,-0.6246678215596763,3,DOWN,-0.0285774962768495,True
Sacs,5,DOWN,-0.63095014677541,3,DOWN,-0.0514909039627385,True
Zyg11b,5,DOWN,-0.6691904306633585,3,DOWN,-0.0626471721526964,True
Arhgap32,5,DOWN,-0.7954558558225188,3,DOWN,-0.0624559890766229,True
Spred2,5,DOWN,-0.8587938634921833,3,DOWN,-0.3069817193771556,True
Tbl1xr1,5,DOWN,-0.8602386702268386,3,DOWN,-0.3626678395003859,True
Htr1a,5,DOWN,-1.1131802999325076,3,DOWN,-0.098103861563572,True
Grm1,5,DOWN,-1.4690442027775734,3,DOWN,-0.4011228729832303,True
Frmpd4,5,DOWN,-1.6041091882736338,3,DOWN,-0.0868949893108641,True
Slit3,5,DOWN,-1.8304029422291008,3,DOWN,-0.1089616447009583,True
Rhov,5,UP,2.578666327494632,2,UP,0.5322958750117271,True
Cdc42ep2,5,UP,2.0336861127821733,2,UP,0.1412994900708057,True
Snhg15,5,UP,1.5652861060878454,2,UP,1.0367840222363105,True
Sdc4,5,UP,1.368008063087968,2,UP,0.4750097247177015,True
4930503l19rik,5,UP,1.3199089252263383,2,UP,-0.0724613629402275,True
Irf5,5,UP,1.29555328071809,2,UP,0.275386648408719,True
Gm20594,5,UP,1.2268360531414997,2,UP,1.319542496605429,True
Nfkbia,5,UP,1.1019713850898296,2,UP,0.7811430590132886,True
Tmcc3,5,UP,0.5733361556836017,2,UP,0.0645571849906538,True
Acer2,5,UP,0.5670747347770473,2,UP,0.5265791181076983,True
Efhd2,5,UP,0.5456542542063666,2,UP,2.477585505863769,True
Hmgn1,5,UP,0.4841075428775591,2,UP,0.2047215098539428,True
H3f3b,5,UP,0.3820291656819917,2,UP,0.2613942099314994,True
Ncdn,5,DOWN,-0.2941573248220888,2,DOWN,-0.3895114375283177,True
