Category,ID,Term,Genes,adj_pval
BP,GO:0043933,Protein-Containing Complex Organization,"OCLN, SLC2A1, LAMC1",0.007136853415451
BP,GO:0038061,NIK/NF-kappaB Signaling,"NFKBIA, NFKB2",0.007136853415451
BP,GO:0055001,Muscle Cell Development,"VEGFA, ENG",0.007136853415451
BP,GO:1903670,Regulation Of Sprouting Angiogenesis,"TJP1, VEGFA",0.007518772319594
BP,GO:1902003,Regulation Of Amyloid-Beta Formation,"ROCK1, ROCK2",0.007518772319594
BP,GO:0043066,Negative Regulation Of Apoptotic Process,"TJP1, TFRC, CAV1, KDR, VEGFA",0.0075505632215653
BP,GO:1904646,Cellular Response To Amyloid-Beta,"LRP1, FYN",0.0078708594337777
BP,GO:0035924,Cellular Response To Vascular Endothelial Growth Factor Stimulus,"KDR, VEGFA",0.0078708594337777
BP,GO:0034332,Adherens Junction Organization,"TJP1, CDH5",0.0082633328032281
BP,GO:0001706,Endoderm Formation,"MMP14, MMP2",0.0082633328032281
BP,GO:0072659,Protein Localization To Plasma Membrane,"ROCK1, ROCK2, F11R",0.0086306450684669
BP,GO:0031327,Negative Regulation Of Cellular Biosynthetic Process,"ROCK2, CAV1, FYN",0.0086306450684669
BP,GO:1902531,Regulation Of Intracellular Signal Transduction,"NFKBIA, VWF, KDR, VEGFA",0.0087176785073068
BP,GO:0060537,Muscle Tissue Development,"CAV1, ENG",0.009065165499172
BP,GO:1904036,Negative Regulation Of Epithelial Cell Apoptotic Process,"CDH5, KDR",0.0094327691921764
BP,GO:1901652,Response To Peptide,"MMP2, FYN",0.0094327691921764
BP,GO:0071559,Response To Transforming Growth Factor Beta,"ROCK1, ROCK2",0.0094327691921764
BP,GO:0045428,Regulation Of Nitric Oxide Biosynthetic Process,"ROCK2, CAV1",0.0098454383967568
BP,GO:1905039,Carboxylic Acid Transmembrane Transport,"SLC7A5, SLC16A1",0.0098454383967568
BP,GO:0031331,Positive Regulation Of Cellular Catabolic Process,"ROCK1, ADAM9, HIF1A",0.0099881102034791
BP,GO:0031113,Regulation Of Microtubule Polymerization,"CDH5, OCLN",0.0102630637463921
BP,GO:2000351,Regulation Of Endothelial Cell Apoptotic Process,"CDH5, KDR",0.0116414366980428
BP,GO:0048013,Ephrin Receptor Signaling Pathway,"MMP2, FYN",0.0116414366980428
BP,GO:0007612,Learning,"CLDN5, FYN",0.0116414366980428
BP,GO:0061157,mRNA Destabilization,"ROCK1, ROCK2",0.0116414366980428
BP,GO:0006508,Proteolysis,"MMP14, MMP16, MMP2, ADAM10",0.0120683685026443
BP,GO:0050921,Positive Regulation Of Chemotaxis,"KDR, VEGFA",0.0120766870443525
BP,GO:0018105,Peptidyl-Serine Phosphorylation,"ROCK1, ROCK2, MAPK1",0.0120766870443525
BP,GO:0061014,Positive Regulation Of mRNA Catabolic Process,"ROCK1, ROCK2",0.0125228965963184
