ID,logFC
Fkbp5,0.8321640859125017
Mpp5,-0.24174175293387823
Plin4,1.382484292676555
Rbm3,0.220637230526647
Hif3a,0.8990094968985244
Ednrb,-0.4194065269906772
Xdh,0.7290676352468003
Vstm2a,-0.24037867666883211
Cdkn1a,0.5787234060592998
Nr4a3,-0.31427333719612977
Stam,-0.2904601662458357
Tmem47,-0.35276876999047396
Dbp,0.446249133362194
Tjp1,0.006414158953627157
Homer1,-0.26661801437016086
Hspa1a,-0.5921610393802869
Papola,-0.2757075035186741
Epm2aip1,0.014227236039885722
Map3k6,0.7261603478665091
Zbtb16,0.575160418772313
Gramd3,-0.27950197714469616
Fam126b,-0.261061696183388
Ank3,0.10870759888609945
Msantd2,1.8408505465932692
Mertk,0.481734633612732
Arrdc2,0.761320643051867
Arl4d,0.8873665220961525
Sox2,-0.2816881826447384
Spred1,-0.2945003044912384
Mef2a,-0.27619739403248095
