Category,ID,Term,Genes,adj_pval
BP,GO:0032981,Mitochondrial Respiratory Chain Complex I Assembly,"NDUFB9, NDUFA13, NDUFB8, NDUFB7, NDUFA11, DMAC1, NDUFB10, NDUFB6, NDUFB11, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, TMEM186, NDUFA8, NDUFA6, NDUFA5, NDUFA3, NDUFA2, NDUFA1, NDUFC2, NDUFC1, BCS1L, LYRM2, NDUFAF8, NDUFS8, NDUFS7, NDUFS5, NDUFAF4, NDUFS4, NDUFAB1, NDUFAF5, NDUFS3, TMEM126A, NDUFAF2, NDUFAF3",8.405844624717742e-10
BP,GO:0009060,Aerobic Respiration,"NDUFB9, NDUFA13, NDUFB8, NDUFB7, NDUFA11, NDUFB10, NDUFB6, UQCRB, NDUFA12, NDUFB11, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, UQCRH, BLOC1S1, NDUFV3, NDUFV1, NDUFA8, NDUFA7, SURF1, NDUFA6, NDUFA5, NDUFA3, NDUFA2, NDUFA1, NDUFC2, CHCHD10, NDUFC1, NIPSNAP2, SIRT3, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFAB1, NDUFS3",2.842807230600147e-09
BP,GO:0033108,Mitochondrial Respiratory Chain Complex Assembly,"NDUFA13, NDUFA11, TMEM186, CHCHD4, AIFM1, NDUFC2, NDUFC1, BCS1L, NDUFS8, NDUFS7, SDHAF3, NDUFS5, NDUFS4, SDHAF1, NDUFS3, TMEM126A, NDUFB9, NDUFB8, NDUFB7, COX16, DMAC1, NDUFB10, NDUFB6, NDUFB11, NDUFB5, NDUFB4, COX17, NDUFB3, NDUFB2, NDUFB1, PET117, COX14, COA3, NDUFA8, SURF1, NDUFA6, NDUFA5, PET100, UQCC3, UQCC2, NDUFA3, NDUFA2, NDUFA1, LYRM2, NDUFAF8, NDUFAF4, NDUFAB1, NDUFAF5, NDUFAF2, NDUFAF3, COX20",8.950702936132654e-09
BP,GO:0042776,Proton Motive Force-Driven Mitochondrial ATP Synthesis,"NDUFB9, NDUFA13, NDUFB8, NDUFB7, NDUFA11, NDUFB10, NDUFB6, NDUFA12, NDUFB11, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, NDUFV3, NDUFV1, NDUFA8, NDUFA7, NDUFA6, NDUFA5, NDUFA3, NDUFA2, NDUFA1, NDUFC2, NDUFC1, SDHD, SDHA, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFAB1, NDUFS3",1.8362961617370625e-07
BP,GO:0006119,Oxidative Phosphorylation,"NDUFB9, NDUFA13, NDUFB8, NDUFB7, NDUFA11, NDUFB10, NDUFB6, UQCRB, NDUFA12, NDUFB11, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, UQCRH, NDUFV3, NDUFV1, NDUFA8, NDUFA7, NDUFA6, NDUFA5, NDUFA3, NDUFA2, NDUFA1, NDUFC2, CHCHD10, NDUFC1, SDHD, SDHA, NIPSNAP2, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFAB1, NDUFS3",2.280020440535723e-07
BP,GO:0032543,Mitochondrial Translation,"MRPS15, MRPS16, FASTKD2, MRPS14, MRPS11, MRPS12, MRPL38, MRPS10, MRPL34, MRPL33, MRPL41, MRPL2, MRPL1, MRPL40, CHCHD1, RARS2, MRPS28, TSFM, MRPS26, MRPS18A, MRPS21, MRPL47, MRPS7, MRPL46, MRPS5, MRPS18C, MRPL52, MRPL53, MRPL51, MRPL18, MRPS33, MRPS34, MRPS31, MRPL14, MRPL58, MRPS30, MRPL12, MRPL13, MRPL54, MRPL11, MRPL55, MRPL20, DROSHA, GADD45GIP1, NDUFA7, MRPL27, MRPL28, MRPL23, MRPL21, MRPL22, MRPL30",4.4507729164493314e-07
BP,GO:0140053,Mitochondrial Gene Expression,"MRPS15, MRPS16, FASTKD1, FASTKD2, MRPS14, MRPS11, MRPS12, MRPL38, MRPS10, MRPL34, MRPL33, MRPL41, MRPL2, MRPL1, MRPL40, CHCHD1, RARS2, MRPS28, MRPS26, MRPS18A, MRPS21, MRPL47, MRPS7, MRPL46, MRPS5, MRPS18C, MRPL52, MRPL53, MRPL51, FASTKD5, MRPL18, MRPS33, MRPS34, MRPS31, MRPL14, MRPL58, MRPS30, FOXO3, MRPL12, MRPL13, MRPL54, MRPL11, MRPL55, MRPL20, GADD45GIP1, NDUFA7, MRPL27, MRPL28, MRPL23, MRPL21, MRPL22, MRPL30",1.1619285768835044e-06
BP,GO:0015986,Proton Motive Force-Driven ATP Synthesis,"NDUFB9, NDUFA13, NDUFB8, NDUFB7, NDUFA11, NDUFB10, NDUFB6, NDUFA12, NDUFB11, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, NDUFV3, NDUFV1, NDUFA8, NDUFA7, NDUFA6, NDUFA5, NDUFA3, NDUFA2, NDUFA1, NDUFC2, NDUFC1, SDHD, SDHA, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFAB1, NDUFS3",1.3564239433709891e-05
BP,GO:0072655,Establishment Of Protein Localization To Mitochondrion,"TIMM9, TIMM13, TIMM10, MFF, HK1, HSPD1, TOMM22, CHCHD4, GRPEL1, TIMM17A, TIMM17B, ROMO1, BCAP31, DNAJC19, TIMM8B, FIS1, PAM16, AIP, TIMM23, TIMM44, DNAJC15, TOMM40L, PINK1, DNLZ, TOMM7, TOMM5",0.0001584229769019
BP,GO:0006396,RNA Processing,"FASTKD1, CELF1, FASTKD2, CELF2, AKAP8L, ELAVL4, ADAR, BICD1, TENT4B, PPP1R9B, DUSP11, RBM3, SYNCRIP, SNRPD2, SNRPD1, DHX15, SNRPD3, PRKACA, SNRNP35, BCAS2, RBM6, MBNL1, NCBP2, THOC1, TFIP11, ZCRB1, FBXO11, SFPQ, SCNM1, HNRNPUL1, HNRNPH1, SNRPG, FASTKD5, RBMS1, RP9, SNRPA1, SNRNP25, SNRPF, SRSF5, HNRNPH3, SRSF7, SNRPB, SRSF9, SF3B2, RBM8A, CSTF3, WBP4, DDX20, NOL9, U2AF1, NOL3, PRPF8, ATXN1, EXOSC4, PABPN1, ZMAT5, PPARGC1A, HNRNPA0, IVNS1ABP, SF3A3, RBM39, CPSF6, RNGTT, SF3A2, FUS, LSM5, LSM4, LSM3, SETX, SMU1, SNRNP40, HNRNPA2B1, CDK12",0.0002391558009445
