gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur,key,program,px,py,clipped
Vegfa,6,UP,0.62261703631614,2,DOWN,-0.2128985320070028,False,8,VEGFA,PI3K-Akt pro-survival,0.62261703631614,-0.2128985320070028,False
Creb5,5,UP,3.0483677181708546,2,DOWN,-0.4242962901558127,False,7,CREB5,PI3K-Akt pro-survival,2.0725944382822026,-0.4242962901558127,True
Mtor,4,DOWN,-0.1511222284786067,3,UP,0.0810233980225103,False,7,MTOR,PI3K-Akt pro-survival,-0.1511222284786067,0.0810233980225103,False
Kdr,3,UP,0.7193245570121315,4,DOWN,2.579222388751128,False,7,KDR,PI3K-Akt pro-survival,0.7193245570121315,2.0725944382822026,True
Map1lc3a,3,DOWN,-1.055213357840344,4,UP,0.6993584093063528,False,7,MAP1LC3A,PI3K-Akt pro-survival,-1.055213357840344,0.6993584093063528,False
Hras,2,DOWN,-1.50915738074409,5,UP,0.8743098337772472,False,7,HRAS,PI3K-Akt pro-survival,-1.50915738074409,0.8743098337772472,False
Gsk3a,3,DOWN,-1.4723030743651984,2,UP,0.9609686340286724,False,5,GSK3A,PI3K-Akt pro-survival,-1.4723030743651984,0.9609686340286724,False
Bad,2,DOWN,-0.6280270007484461,3,UP,0.255031064513786,False,5,BAD,PI3K-Akt pro-survival,-0.6280270007484461,0.255031064513786,False
Fyn,2,DOWN,-0.467438106724205,2,UP,2.260464333866312,False,4,FYN,PI3K-Akt pro-survival,-0.467438106724205,2.0725944382822026,True
Grb2,2,DOWN,-1.1038244549382743,2,UP,0.6543567803519524,False,4,GRB2,PI3K-Akt pro-survival,-1.1038244549382743,0.6543567803519524,False
Cdkn1a,5,UP,1.0886586825853062,8,UP,0.5787234060592998,True,13,CDKN1A,PI3K-Akt pro-survival,1.0886586825853062,0.5787234060592998,False
Gsk3b,5,DOWN,-0.6077544412539961,6,DOWN,-0.1743255084748688,True,11,GSK3B,PI3K-Akt pro-survival,-0.6077544412539961,-0.1743255084748688,False
Nfkb2,7,UP,1.5596681779860877,2,UP,0.6330114204093285,True,9,NFKB2,PI3K-Akt pro-survival,1.5596681779860877,0.6330114204093285,False
Pten,6,DOWN,-0.803028197601173,3,DOWN,-0.4349346554232862,True,9,PTEN,PI3K-Akt pro-survival,-0.803028197601173,-0.4349346554232862,False
Pdpk1,5,DOWN,-0.5662408013269541,4,DOWN,-0.1468596272299211,True,9,PDPK1,PI3K-Akt pro-survival,-0.5662408013269541,-0.1468596272299211,False
Eif4ebp1,6,UP,1.3383173895099805,2,UP,0.5853954954541503,True,8,EIF4EBP1,PI3K-Akt pro-survival,1.3383173895099805,0.5853954954541503,False
Nfkbia,5,UP,1.1019713850898296,2,UP,0.7811430590132886,True,7,NFKBIA,PI3K-Akt pro-survival,1.1019713850898296,0.7811430590132886,False
Kras,3,DOWN,-0.8201725858540589,4,DOWN,0.2860562099281055,True,7,KRAS,PI3K-Akt pro-survival,-0.8201725858540589,0.2860562099281055,False
Ulk2,3,DOWN,-1.2769282780956648,4,DOWN,-0.1863758925244281,True,7,ULK2,PI3K-Akt pro-survival,-1.2769282780956648,-0.1863758925244281,False
Foxo1,3,DOWN,-1.240709660064505,3,DOWN,-0.2795896015564323,True,6,FOXO1,PI3K-Akt pro-survival,-1.240709660064505,-0.2795896015564323,False
Bax,2,UP,0.9146367214024904,3,UP,0.3565963120038755,True,5,BAX,PI3K-Akt pro-survival,0.9146367214024904,0.3565963120038755,False
Phlpp1,2,DOWN,-0.4768875418282707,3,DOWN,-0.118005465635533,True,5,PHLPP1,PI3K-Akt pro-survival,-0.4768875418282707,-0.118005465635533,False
Xiap,2,DOWN,-1.293347998099393,3,DOWN,-0.3539697092128073,True,5,XIAP,PI3K-Akt pro-survival,-1.293347998099393,-0.3539697092128073,False
Rps6kb2,2,UP,0.794267766965721,2,UP,0.3197774797973677,True,4,RPS6KB2,PI3K-Akt pro-survival,0.794267766965721,0.3197774797973677,False
Pik3r1,2,DOWN,-0.8367203071903103,2,DOWN,-0.2345046931077463,True,4,PIK3R1,PI3K-Akt pro-survival,-0.8367203071903103,-0.2345046931077463,False
Ulk1,2,DOWN,-1.2586082161848875,2,DOWN,-0.3087649316453812,True,4,ULK1,PI3K-Akt pro-survival,-1.2586082161848875,-0.3087649316453812,False
