gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur
Hsp90aa1,7,UP,0.4390943427838262,2,DOWN,-0.2277192258190346,False,9
Plxna1,7,DOWN,-0.4432058400195861,2,UP,0.0306057237140008,False,9
Usp9x,7,DOWN,-0.4830140652707176,2,UP,0.0296676869906836,False,9
Tmem86a,7,DOWN,-0.5488680080535259,2,UP,0.463107691041882,False,9
Secisbp2l,7,DOWN,-0.6737032310120797,2,UP,-0.0513636687187218,False,9
Nucks1,7,DOWN,-0.6913371754610044,2,UP,-0.0177503284629237,False,9
Madd,7,DOWN,-0.6937005820514704,2,UP,0.0183304993254414,False,9
Ppp3ca,7,DOWN,-0.9076849568762254,2,UP,0.6650778428813539,False,9
Stxbp5,7,DOWN,-0.9190933946268796,2,UP,0.007616514205734,False,9
Nr2c2,7,DOWN,-1.0729195561632032,2,UP,0.274954868628613,False,9
Pcdh17,7,DOWN,-1.236690081991372,2,UP,0.0952142414365024,False,9
Prkcb,7,DOWN,-1.2371471481123264,2,UP,0.8143052022063538,False,9
Tmcc2,7,DOWN,-1.3213465569589036,2,UP,-0.0006222308301054,False,9
Psd3,7,DOWN,-1.3591514546468788,2,UP,0.0639281100669515,False,9
Camk2b,7,DOWN,-1.4807416781989675,2,UP,0.069152624064198,False,9
Tenm1,7,DOWN,-1.4979919837076994,2,UP,0.1078192155165563,False,9
Mgat3,7,DOWN,-1.526810583360007,2,UP,0.26699598575,False,9
Epha4,7,DOWN,-1.589272741469063,2,UP,0.0241919081995067,False,9
Myt1l,7,DOWN,-1.6263067492465766,2,UP,0.0311479775173922,False,9
Jph4,7,DOWN,-1.7129517278374051,2,UP,-0.095584192577675,False,9
St6galnac5,7,DOWN,-1.8099667966269544,2,UP,0.047564551447683,False,9
Grm5,7,DOWN,-1.833543925426267,2,UP,0.0682157066005629,False,9
Cdkl5,7,DOWN,-1.844859627098249,2,UP,0.5755573503164362,False,9
Nlgn1,7,DOWN,-1.9588227612396265,2,UP,0.0238171118839407,False,9
Slc24a2,7,DOWN,-2.03173996247876,2,UP,0.0157905708174661,False,9
Htra1,7,DOWN,-2.153675081058004,2,UP,0.0362406269545711,False,9
Astn1,7,DOWN,-2.2609233087755656,2,UP,-0.0064164629226299,False,9
Creld2,6,UP,1.3938629254564592,3,DOWN,-0.3315957497287904,False,9
Klf2,6,UP,1.2964574562737554,3,DOWN,-0.0763729211707328,False,9
S1pr1,6,UP,1.150027084528629,3,DOWN,-0.3108567396167711,False,9
Klf10,6,UP,0.913460378107573,3,DOWN,-0.371053712791159,False,9
Prkx,6,UP,0.4817391978783172,3,DOWN,-0.2886894289519842,False,9
Msmo1,6,UP,0.4134197365576097,3,DOWN,-0.3385162077228301,False,9
Zfp703,6,UP,0.4029085071387654,3,DOWN,-0.1102282633542188,False,9
Sox9,6,UP,0.3030445986373388,3,DOWN,-0.366646907440699,False,9
Mapk1,6,DOWN,-0.4981543865020959,3,UP,1.1180066982974668,False,9
Lifr,6,DOWN,-0.9504884495545508,3,UP,0.1658889690613668,False,9
Tmem178b,6,DOWN,-1.0291056510024446,3,UP,0.1150270954617872,False,9
Gmpr,6,DOWN,-1.1031367417594589,3,UP,0.2855553936660124,False,9
Ksr2,6,DOWN,-1.1103324072528462,3,UP,0.1007393202611588,False,9
Myo5b,6,DOWN,-1.4472599185015025,3,UP,0.5178419398394515,False,9
Apba1,6,DOWN,-1.4965175650455322,3,UP,0.110686139130527,False,9
Lrrn2,6,DOWN,-1.6879429693493313,3,UP,0.4251886622721149,False,9
Ppp2r2c,6,DOWN,-1.950085886550736,3,UP,0.2752792560990876,False,9
Cck,6,DOWN,-2.096491969214705,3,UP,0.3057318668624032,False,9
Nrxn1,6,DOWN,-2.2160235389026166,3,UP,0.1313087433798193,False,9
Btaf1,5,UP,1.0870176451057936,4,DOWN,-0.3694025963256246,False,9
Wwtr1,5,UP,0.95781760772552,4,DOWN,-0.3503941551540906,False,9
Ptpn12,5,UP,0.6412913673386746,4,DOWN,-0.2504890146696596,False,9
Rock1,5,UP,-0.0298931044710871,4,DOWN,-0.1564810623872492,False,9
Pcdhac2,5,DOWN,-0.7495925690175479,4,UP,0.1027652067153666,False,9
Adcy5,5,DOWN,-0.7865025466693826,4,UP,-0.0076767807299314,False,9
Atp8a2,5,DOWN,-1.1340697389557512,4,UP,0.2575363608099581,False,9
Arnt2,5,DOWN,-1.1687803347329928,4,UP,0.2449169223913324,False,9
Adcy9,5,DOWN,-1.2063656673639798,4,UP,0.2013398322594298,False,9
Shank1,5,DOWN,-2.342250028841669,4,UP,-0.1920307365015998,False,9
Ptp4a1,4,UP,1.4947326422457472,5,DOWN,0.1314781672564665,False,9
Irs2,4,UP,0.9054971907784578,5,DOWN,-0.1630209637201136,False,9
Zfp800,4,UP,0.6950920093800887,5,DOWN,-0.070817019559568,False,9
P4ha1,4,UP,0.5896340413050862,5,DOWN,-0.3246654809779801,False,9
Pdlim5,4,UP,0.457604609588551,5,DOWN,-0.2822939153663227,False,9
Jam2,4,UP,-0.0010272147889154,5,DOWN,-0.1621108890455685,False,9
Tsc22d2,4,UP,-0.1334000791368254,5,DOWN,-0.2305472964254652,False,9
Tfrc,4,DOWN,-0.5501897512693547,5,UP,0.0403933580408015,False,9
Slmap,4,DOWN,-0.8292258051039287,5,UP,0.573920644555446,False,9
Fstl4,4,DOWN,-1.0929811742252633,5,UP,0.0479279213712606,False,9
