Category,Term,padj_hibi,padj_glp,nlp_hibi,nlp_glp,combined
Reactome,Signal Transduction,4.966731891837218e-29,2.761116205775356e-05,28.30392928293578,4.5589153150322375,32.86284459796802
Reactome,Neuronal System,7.357646498774099e-27,0.0012923484749141,26.133261081865008,2.8886203653453246,29.021881447210333
BP,Nervous System Development,7.248523408669708e-16,2.81421342699706e-14,15.139750454226139,13.550642969213902,28.690393423440042
CC,Neuron Projection,1.1564507225464891e-23,2.3482426980861763e-05,22.936872868195646,4.629257019437807,27.56612988763345
CC,Postsynaptic Density,2.318970657521584e-20,0.0001233297404474,19.63470474655696,3.908932182489938,23.543636929046897
KEGG,Axon guidance,1.099090694428864e-08,1.3501070420460247e-14,7.958966469118963,13.869631797484994,21.828598266603958
CC,Asymmetric Synapse,1.281853113516353e-16,0.0008828771005961,15.892161737410111,3.0540997474391087,18.94626148484922
CC,Dendrite,5.0477854799464505e-15,2.4640355863682422e-05,14.296899109955511,4.608353024246348,18.90525213420186
Reactome,Protein-protein Interactions At Synapses,1.5273509344208398e-17,0.0125796614554634,16.816061165057597,1.9003310464903143,18.716392211547912
Reactome,Signaling By Receptor Tyrosine Kinases,6.89632553865757e-11,8.328765906331786e-06,10.161382245978922,5.079419344304563,15.240801590283485
CC,Axon,1.2618506691123174e-11,0.0003475339158489,10.898992037657512,3.459002806189613,14.357994843847125
KEGG,Glutamatergic synapse,1.3124896691657783e-11,0.0005734097679998,10.881904106315874,3.241534913146982,14.123439019462856
KEGG,Retrograde endocannabinoid signaling,1.4983650103976826e-07,1.0772483361421477e-07,6.824382377096136,6.967684168026174,13.79206654512231
Reactome,Transmission Across Chemical Synapses,6.884918424564041e-13,0.026654535080928,12.162101201081942,1.5742288882111763,13.73633008929312
Reactome,Neurotransmitter Receptors And Postsynaptic Signal Transmission,6.834615924471431e-12,0.0126406210625174,11.165285885861246,1.8982315876518903,13.063517473513137
BP,Axonogenesis,2.05628636159694e-11,0.0047939716391819,10.686916404948489,2.3193045395521015,13.00622094450059
Reactome,Cellular Responses To Stress,0.0083449572091563,1.8988098569485364e-11,2.0785758859320014,10.72151852247335,12.80009440840535
KEGG,Amphetamine addiction,1.211081195713378e-11,0.0163348968104849,10.916826739046735,1.7868836046705485,12.703710343717283
Reactome,Cellular Responses To Stimuli,0.0090294477217312,3.499774069806585e-11,2.0443388121161306,10.45595999090782,12.50029880302395
KEGG,Long-term potentiation,1.2282204358275414e-09,0.0002945590853353,8.910723680856066,3.530827577408939,12.441551258265005
KEGG,Dopaminergic synapse,3.669729065972247e-08,3.819350503995063e-05,7.435365998281067,4.418010484343106,11.853376482624173
Reactome,Signaling By NTRKs,2.13000417061234e-06,1.8037091617130712e-06,5.67161954619875,5.743833488770767,11.415453034969516
CC,Focal Adhesion,1.0208726706241972e-08,0.0011290923948461,7.991028422353569,2.9472705178359067,10.938298940189476
CC,Cell-Substrate Junction,1.923069990059176e-08,0.0012103336465248,7.716004909342724,2.9170948934267305,10.633099802769454
KEGG,Oxytocin signaling pathway,4.363415226439084e-09,0.0075625407642959,8.36017345720095,2.1213322713595004,10.481505728560451
Reactome,Signaling By NTRK1 (TRKA),1.162531075919993e-05,4.067276867638602e-06,4.934595429044299,5.390696263298631,10.32529169234293
BP,Neuron Projection Morphogenesis,8.487018630221981e-09,0.0195887824721512,8.071244844483683,1.7079925564533747,9.779237400937058
Reactome,RHO GTPase Cycle,1.5557435649140714e-06,0.0001156381541261,5.808061986729858,3.9368988493712105,9.744960836101068
KEGG,Alzheimer disease,0.0101495244500379,2.009414759526387e-08,1.993554305885027,7.696930412090761,9.690484717975787
KEGG,Prion disease,0.0101495244500379,2.009414759526387e-08,1.993554305885027,7.696930412090761,9.690484717975787
CC,Postsynaptic Specialization Membrane,1.6314531141552255e-08,0.0130169340729346,7.787425402756434,1.8854912947234708,9.672916697479906
KEGG,Circadian entrainment,2.7205801825134927e-08,0.0229702043122385,7.565338469791162,1.6388351418845062,9.204173611675667
KEGG,cAMP signaling pathway,4.929242824304611e-08,0.0165390144998521,7.307219787108411,1.7814903720523536,9.088710159160765
Reactome,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,9.113984549712172e-05,9.79376860428129e-06,4.040291711981399,5.009050161199048,9.049341873180447
KEGG,cGMP-PKG signaling pathway,8.961811592761599e-08,0.0115887913310918,7.047604190648828,1.935961857013959,8.983566047662787
KEGG,Pathways of neurodegeneration,0.0003379717690833,8.669176478767939e-06,3.4711195749986503,5.062022156008639,8.533141731007289
Reactome,Signaling By Rho GTPases,5.2100754763312246e-05,0.0002821973796141,4.283155985200143,3.5494470232691993,7.832603008469341
KEGG,Morphine addiction,3.83151218457077e-07,0.0408961603543133,6.416629789007612,1.3883174649807348,7.804947253988346
Reactome,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",7.057476726659834e-05,0.0002314967343484,4.151350545345389,3.6354551310584386,7.786805676403828
KEGG,Non-alcoholic fatty liver disease,0.0441456391504854,3.761485749446603e-07,1.355112190986072,6.42464057918533,7.779752770171402
Reactome,Opioid Signaling,1.396077624473676e-06,0.0125796614554634,5.855090433472643,1.9003310464903143,7.7554214799629575
CC,Postsynaptic Density Membrane,1.2935278290710502e-06,0.025412410388965,5.888224223397393,1.5949541397910574,7.4831783631884505
Reactome,NGF-stimulated Transcription,3.0882936493737858e-06,0.0125796614554634,5.510281411626661,1.9003310464903143,7.410612458116975
KEGG,Endocrine and other factor-regulated calcium reabsorption,1.543362158832422e-06,0.0285073123563298,5.811532152273015,1.5450437256521745,7.35657587792519
Reactome,Nuclear Events (Kinase And Transcription Factor Activation),1.3224937295353796e-05,0.0033523159686056,4.878606378449404,2.474655054196073,7.353261432645477
Reactome,Transcriptional Regulation By MECP2,2.4683306266125565e-06,0.025734836935669,5.607596668100602,1.5894785792367574,7.197075247337359
KEGG,ErbB signaling pathway,6.510722529366484e-05,0.0040760815132134,4.186370812798208,2.389757139585923,6.576127952384132
KEGG,"Growth hormone synthesis, secretion and action",9.960428234192956e-05,0.0032920711941198,4.001721989312351,2.4825307813336916,6.484252770646043
BP,Endocytosis,0.0011776639006411,0.0004163439000729,2.9289786373281665,3.3805477938832773,6.309526431211443
KEGG,Adrenergic signaling in cardiomyocytes,1.4435324018586525e-05,0.0408961603543133,4.8405734634005215,1.3883174649807348,6.228890928381256
Reactome,MAPK Family Signaling Cascades,1.9917012338779777e-05,0.0461133464950016,4.700775807583746,1.3361733594206806,6.036949167004426
MF,Cadherin Binding,0.0001568012126599,0.0094133575993953,3.8046505829177377,2.0262554427998936,5.830906025717631
KEGG,Renal cell carcinoma,0.0005212461393986,0.0036688298790994,3.2829571486015796,2.4354724256878515,5.718429574289431
