group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Tpm4,TPM4,1.4765382112302472,0.0253828791649067,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Slc25a42,SLC25A42,-1.0929538082377397,0.0255087053989801,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ptpn21,PTPN21,1.2617215384633882,0.0255937859915616,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ddit4l,DDIT4L,1.0626473358990527,0.0255937859915616,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Mxd1,MXD1,1.0496749983508664,0.0255937859915616,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Rel,REL,1.177740731104736,0.0261537418028192,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Mrtfb,MRTFB,-1.3536354585649466,0.0262972313172978,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Lsamp,LSAMP,-1.2777951466477155,0.0262972313172978,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Trh,TRH,2.8828571500615485,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cacna1e,CACNA1E,-1.792864871289101,0.0264465965232948,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ier5l,IER5L,1.7421433877968069,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Fhdc1,FHDC1,1.698416795437229,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Gpr37,GPR37,-1.5700311199547166,0.0264465965232948,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Gpld1,GPLD1,1.333166121587012,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Il6st,IL6ST,1.0473172242614286,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Eaf1,EAF1,0.8819821115975142,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Usp53,USP53,0.8812540474474382,0.0264465965232948,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Nebl,NEBL,-0.841396465605829,0.0264465965232948,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Slc1a5,SLC1A5,1.3821690033343517,0.0264565270228001,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cd180,CD180,2.0673533774778265,0.026536714550682,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Kcnk5,KCNK5,2.0647725222048763,0.026536714550682,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Pi4ka,PI4KA,-0.968790288131455,0.026536714550682,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Card19,CARD19,1.4587136323751713,0.0266296388742494,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,A830036e02rik,A830036E02RIK,-1.063848140840343,0.0266296388742494,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Selp,SELP,3.09897383508755,0.0266321124223692,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Tgfbr2,TGFBR2,1.3760720331711926,0.0266321124223692,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Pcdhb16,PCDHB16,-1.311875676242714,0.0266321124223692,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ifi202b,IFI202B,3.784430102624049,0.0266749287688253,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Zfp239,ZFP239,-0.9994561198568324,0.0268151638516633,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ciart,CIART,1.885751155997653,0.0269198258162238,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Adam11,ADAM11,-1.2099015810983609,0.0269633706191501,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ncam2,NCAM2,-0.9304639748714418,0.0269921785930425,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Tmeff2,TMEFF2,-0.896202472422555,0.0271903478401283,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Lrrc9,LRRC9,1.950530717304188,0.0272156286525677,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Sema3b,SEMA3B,1.5110753917419144,0.027290075935224,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Olfm4,OLFM4,-1.4399901376662152,0.027290075935224,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Stc1,STC1,1.785027412244169,0.0274695414920579,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Phldb2,PHLDB2,1.4607338061500543,0.0274695414920579,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Fgf14,FGF14,-1.340868728054356,0.0274695414920579,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cd84,CD84,1.9937525925428636,0.0274942216884314,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Klf6,KLF6,1.429642402125399,0.0274942216884314,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cxcl2,CXCL2,4.07396038550669,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Gm8862,GM8862,2.27797559502027,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Mamdc2,MAMDC2,1.630911626372746,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cacna1c,CACNA1C,-1.5328847907868273,0.0275505981891345,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,1110038b12rik,1110038B12RIK,1.0758689827285393,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Arhgap17,ARHGAP17,1.0087012383625131,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Plekhf2,PLEKHF2,0.9827441766305752,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ezr,EZR,0.902076477640822,0.0275505981891345,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Dnajb9,DNAJB9,0.856428532030499,0.0275682016151554,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cd63,CD63,1.4587591192674214,0.0276605922762235,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Nog,NOG,1.2021940660603647,0.0276605922762235,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Trim30b,TRIM30B,3.442085610046839,0.0276952625590893,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Fgr,FGR,3.188725226251264,0.0277428316541811,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Lag3,LAG3,1.9032422990926143,0.0277429049828022,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Zhx3,ZHX3,-0.8835652209953331,0.0277429049828022,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Kctd4,KCTD4,-1.212830516474309,0.0277737808421971,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Lncpint,LNCPINT,3.9646058879589487,0.0278469211390045,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Nfatc3,NFATC3,0.9064673202057224,0.0278469211390045,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Igfbp6,IGFBP6,1.8900837960467396,0.0281219517752815,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ptprj,PTPRJ,-0.995095475291361,0.0281219517752815,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cxcl1,CXCL1,4.863457109198354,0.0282598270460216,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ctla2a,CTLA2A,2.665833561348476,0.0282598270460216,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Zfp185,ZFP185,1.7312442734816609,0.0282598270460216,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Zfp36l1,ZFP36L1,1.6070107550234916,0.0282598270460216,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Nrp1,NRP1,-1.4561498278788818,0.0282598270460216,DOWN
