arm,term,db,padj
HIBI,Gamma-Aminobutyric Acid Signaling Pathway,GO-BP,0.0009378954385691
HIBI,Ventricular Septum Development,GO-BP,0.0009525135864271
HIBI,Aortic Valve Morphogenesis,GO-BP,0.0009525135864271
HIBI,Positive Regulation Of Signaling,GO-BP,0.0009525135864271
HIBI,Plasma Membrane Bounded Cell Projection Morphogenesis,GO-BP,0.0009777294859526
HIBI,Regulation Of T-helper 17 Cell Differentiation,GO-BP,0.0009849415821886
HIBI,Response Of EIF2AK1 (HRI) To Heme Deficiency,Reactome,0.0009897031421148
HIBI,Platelet Degranulation,Reactome,0.0009927592054857
HIBI,Positive Regulation Of Interleukin-1 Beta Production,GO-BP,0.0009947156817093
HIBI,Regulation Of Calcium Ion Transport,GO-BP,0.0009947156817093
HIBI,Negative Regulation Of Cytokine Production,GO-BP,0.0009947156817093
HIBI,Positive Regulation Of Interleukin-1 Production,GO-BP,0.0009947156817093
HIBI,Voltage Gated Potassium Channels,Reactome,0.0010125087362433
HIBI,Hypertrophic cardiomyopathy,KEGG,0.0010152486161692
HIBI,Positive Regulation Of NF-kappaB Transcription Factor Activity,GO-BP,0.001015497762405
HIBI,Positive Regulation Of Cytoskeleton Organization,GO-BP,0.0010339708060161
HIBI,Glucagon signaling pathway,KEGG,0.0010569889827361
HIBI,Vascular smooth muscle contraction,KEGG,0.0010594199460512
HIBI,Defective B3GALTL Causes PpS,Reactome,0.0010765620496319
HIBI,Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential,GO-MF,0.001077564524622
HIBI,Protein Kinase C Activity,GO-MF,0.001077564524622
HIBI,Phosphorylation,GO-BP,0.0010781439065728
HIBI,Signaling By Nuclear Receptors,Reactome,0.001082004647172
HIBI,Response To Unfolded Protein,GO-BP,0.0010869206074642
HIBI,Cellular Response To Tumor Necrosis Factor,GO-BP,0.0010953329833909
HIBI,Transforming Growth Factor Beta Receptor Signaling Pathway,GO-BP,0.001101571789597
HIBI,T Cell Activation,GO-BP,0.0011138985597259
HIBI,Muscle Contraction,Reactome,0.0011173973654044
GLP-1R,RNA Binding,GO-MF,9.406305540950654e-25
GLP-1R,Influenza Infection,Reactome,3.7067442580833073e-23
GLP-1R,SRP-dependent Cotranslational Protein Targeting To Membrane,Reactome,1.4570526803923765e-21
GLP-1R,Eukaryotic Translation Elongation,Reactome,1.8478371450087882e-21
GLP-1R,Viral mRNA Translation,Reactome,1.8478371450087882e-21
GLP-1R,Peptide Chain Elongation,Reactome,1.8478371450087882e-21
GLP-1R,Influenza Viral RNA Transcription And Replication,Reactome,2.5942678853766802e-21
GLP-1R,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC),Reactome,9.43043926111161e-21
GLP-1R,Eukaryotic Translation Termination,Reactome,9.43043926111161e-21
GLP-1R,Translation,GO-BP,3.812292381119143e-20
GLP-1R,Ribosome,KEGG,5.74408140753599e-20
GLP-1R,Selenocysteine Synthesis,Reactome,7.206110148293301e-20
GLP-1R,Formation Of A Pool Of Free 40S Subunits,Reactome,1.9987566846455603e-18
GLP-1R,Macromolecule Biosynthetic Process,GO-BP,2.067827508559215e-18
GLP-1R,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC),Reactome,2.584258562055316e-18
GLP-1R,Respiratory Electron Transport,Reactome,3.3958013358255052e-18
GLP-1R,Peptide Biosynthetic Process,GO-BP,6.899177596394142e-18
GLP-1R,Cytoplasmic Translation,GO-BP,6.199766080883343e-17
GLP-1R,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency,Reactome,6.832022567649751e-17
GLP-1R,Organelle Inner Membrane,GO-CC,7.469175357591767e-17
GLP-1R,Gene Expression,GO-BP,2.4069644730234473e-16
GLP-1R,Mitochondrial Inner Membrane,GO-CC,4.933091818962846e-16
GLP-1R,L13a-mediated Translational Silencing Of Ceruloplasmin Expression,Reactome,6.064891568482909e-16
GLP-1R,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit,Reactome,1.1606649432897576e-15
GLP-1R,Regulation Of Expression Of SLITs And ROBOs,Reactome,1.2479664132715733e-15
GLP-1R,Metabolism Of RNA,Reactome,4.031023376634072e-15
GLP-1R,Cap-dependent Translation Initiation,Reactome,4.2809455692793924e-15
GLP-1R,Mitochondrial ATP Synthesis Coupled Electron Transport,GO-BP,5.0629023109447326e-15
GLP-1R,Signaling By ROBO Receptors,Reactome,2.38667726616934e-14
GLP-1R,Cellular Respiration,GO-BP,2.5129608882198846e-14
GLP-1R,Aerobic Electron Transport Chain,GO-BP,3.593998374684269e-14
GLP-1R,rRNA Processing In Nucleus And Cytosol,Reactome,5.5385031890406365e-14
GLP-1R,Cellular Response To Starvation,Reactome,1.2724419263899745e-13
GLP-1R,rRNA Processing,Reactome,3.3828952858248565e-13
GLP-1R,Selenoamino Acid Metabolism,Reactome,4.3841401918186244e-13
GLP-1R,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins",Reactome,5.739571329243939e-13
GLP-1R,Major Pathway Of rRNA Processing In Nucleolus And Cytosol,Reactome,7.987886351053076e-13
GLP-1R,Complex I Biogenesis,Reactome,1.8150688483981688e-12
GLP-1R,Mitochondrial Respiratory Chain Complex I,GO-CC,3.400483128886711e-12
GLP-1R,Respiratory Chain Complex I,GO-CC,3.400483128886711e-12
GLP-1R,Oxidoreduction-Driven Active Transmembrane Transporter Activity,GO-MF,4.63280318575544e-12
GLP-1R,Mitochondrial Membrane,GO-CC,7.385028345023081e-12
GLP-1R,Large Ribosomal Subunit,GO-CC,4.0079298814256026e-11
GLP-1R,Cytosolic Large Ribosomal Subunit,GO-CC,4.0079298814256026e-11
GLP-1R,NADH Dehydrogenase (Ubiquinone) Activity,GO-MF,7.669324574521269e-11
GLP-1R,NADH Dehydrogenase (Quinone) Activity,GO-MF,2.5136973481652507e-10
GLP-1R,"Mitochondrial Electron Transport, NADH To Ubiquinone",GO-BP,5.435580997420101e-10
GLP-1R,Mitochondrial Respiratory Chain Complex I Assembly,GO-BP,8.405844624717742e-10
GLP-1R,NADH Dehydrogenase Complex Assembly,GO-BP,8.405844624717742e-10
GLP-1R,Citric Acid (TCA) Cycle And Respiratory Electron Transport,Reactome,9.783713272403687e-10
GLP-1R,Parkinson disease,KEGG,1.154095298632054e-09
GLP-1R,Huntington disease,KEGG,1.154095298632054e-09
GLP-1R,Thermogenesis,KEGG,2.1336106494849604e-09
GLP-1R,Aerobic Respiration,GO-BP,2.842807230600147e-09
GLP-1R,SARS-CoV-2 Modulates Host Translation Machinery,Reactome,8.554970192247233e-09
GLP-1R,Mitochondrial Respiratory Chain Complex Assembly,GO-BP,8.950702936132654e-09
GLP-1R,Coronavirus disease,KEGG,2.009414759526387e-08
GLP-1R,Infectious Disease,Reactome,3.903934758078981e-08
GLP-1R,Amyotrophic lateral sclerosis,KEGG,4.2561268066335245e-08
GLP-1R,Polysomal Ribosome,GO-CC,7.620467488345148e-08
GLP-1R,Cytosolic Small Ribosomal Subunit,GO-CC,9.221782427944089e-08
GLP-1R,Proton Motive Force-Driven Mitochondrial ATP Synthesis,GO-BP,1.8362961617370625e-07
GLP-1R,Small Ribosomal Subunit,GO-CC,1.941244409804577e-07
GLP-1R,Oxidative Phosphorylation,GO-BP,2.280020440535723e-07
GLP-1R,mRNA Splicing,Reactome,2.8272187516225425e-07
GLP-1R,Mitochondrial Translation,GO-BP,4.4507729164493314e-07
GLP-1R,Mitochondrial Translation Elongation,Reactome,9.342229963272416e-07
GLP-1R,mRNA Splicing - Major Pathway,Reactome,9.342229963272416e-07
GLP-1R,Mitochondrial Gene Expression,GO-BP,1.1619285768835044e-06
GLP-1R,Processing Of Capped Intron-Containing Pre-mRNA,Reactome,1.2634518758584377e-06
GLP-1R,Mitochondrial Translation Termination,Reactome,2.966497410294415e-06
GLP-1R,Mitochondrial Translation Initiation,Reactome,2.966497410294415e-06
GLP-1R,Diabetic cardiomyopathy,KEGG,6.535349227388223e-06
GLP-1R,Proton Motive Force-Driven ATP Synthesis,GO-BP,1.3564239433709891e-05
GLP-1R,"Formation Of Ternary Complex, And Subsequently, 43S Complex",Reactome,3.736584911930315e-05
GLP-1R,Insulin signaling pathway,KEGG,6.100620446142002e-05
GLP-1R,U2-type Precatalytic Spliceosome,GO-CC,7.715893217523545e-05
GLP-1R,Nucleolus,GO-CC,9.892680029096846e-05
GLP-1R,"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S",Reactome,0.0001379921540683
GLP-1R,SARS-CoV Infections,Reactome,0.0001445146222948
GLP-1R,Establishment Of Protein Localization To Mitochondrion,GO-BP,0.0001584229769019
GLP-1R,RNA Processing,GO-BP,0.0002391558009445
GLP-1R,Translation Initiation Complex Formation,Reactome,0.0002810632733544
GLP-1R,Ribosomal Scanning And Start Codon Recognition,Reactome,0.0002810632733544
GLP-1R,Precatalytic Spliceosome,GO-CC,0.0002823632320055
GLP-1R,Spliceosome,KEGG,0.0002945590853353
GLP-1R,Metabolism Of Proteins,Reactome,0.0003513863557164
GLP-1R,Protein Targeting To Mitochondrion,GO-BP,0.0004206224458593
GLP-1R,Neuron Projection Cytoplasm,GO-CC,0.000451851899875
GLP-1R,Intracellular Non-Membrane-Bounded Organelle,GO-CC,0.0004602648808652
GLP-1R,Mitochondrial Intermembrane Space,GO-CC,0.0004602648808652
GLP-1R,Organelle Envelope Lumen,GO-CC,0.0004637715059929
GLP-1R,U4/U6 X U5 tri-snRNP Complex,GO-CC,0.0004637715059929
GLP-1R,"Mitochondrial Electron Transport, Cytochrome C To Oxygen",GO-BP,0.0004781088669946
GLP-1R,Spliceosomal snRNP Complex,GO-CC,0.0005287034461364
GLP-1R,Nucleus,GO-CC,0.0005293257752042
GLP-1R,Nuclear Lumen,GO-CC,0.0005734097679998
GLP-1R,U2-type Spliceosomal Complex,GO-CC,0.0005734097679998
GLP-1R,Spliceosomal tri-snRNP Complex,GO-CC,0.0006423544316823
GLP-1R,Antigen Processing: Ubiquitination And Proteasome Degradation,Reactome,0.000724616842795
GLP-1R,Protein processing in endoplasmic reticulum,KEGG,0.0007381809069532
GLP-1R,Class I MHC Mediated Antigen Processing And Presentation,Reactome,0.0007766808007195
GLP-1R,Metabolism Of Amino Acids And Derivatives,Reactome,0.000783074063767
GLP-1R,Mitochondrial Respiratory Chain Complex IV,GO-CC,0.0008828771005961
GLP-1R,mRNA Splicing - Minor Pathway,Reactome,0.0009787309711472
GLP-1R,Intracellular Membrane-Bounded Organelle,GO-CC,0.0010453993830385
GLP-1R,Ubiquitin-Like Protein Ligase Binding,GO-MF,0.0011771438093899
GLP-1R,mRNA Binding,GO-MF,0.0011771438093899
GLP-1R,Protein Stabilization,GO-BP,0.0014719030277731
GLP-1R,Mitochondrial Envelope,GO-CC,0.0015837571872411
GLP-1R,Cytoplasmic Stress Granule,GO-CC,0.0016155799661729
GLP-1R,Ras Protein Signal Transduction,GO-BP,0.0017571096615987
GLP-1R,Antiviral Mechanism By IFN-stimulated Genes,Reactome,0.0018562902340944
GLP-1R,SARS-CoV-2 Infection,Reactome,0.001968645689439
GLP-1R,ISG15 Antiviral Mechanism,Reactome,0.002535067529213
GLP-1R,Dendrite Cytoplasm,GO-CC,0.0032971330099377
GLP-1R,U5 snRNP,GO-CC,0.0033051952521499
GLP-1R,Respiratory Chain Complex IV,GO-CC,0.0033051952521499
GLP-1R,U4 snRNP,GO-CC,0.0033051952521499
GLP-1R,protein-RNA Complex Assembly,GO-BP,0.0033364531046325
GLP-1R,Signaling By FGFR In Disease,Reactome,0.0033523159686056
GLP-1R,Mitochondrial Protein Import,Reactome,0.0045477985355806
GLP-1R,SOS-mediated Signaling,Reactome,0.0045477985355806
GLP-1R,Energy Derivation By Oxidation Of Organic Compounds,GO-BP,0.0047939716391819
GLP-1R,Signaling By FGFR2 In Disease,Reactome,0.0049431996802955
GLP-1R,SARS-CoV-2-host Interactions,Reactome,0.0050661186579806
GLP-1R,Regulation Of HSF1-mediated Heat Shock Response,Reactome,0.0054337034515127
GLP-1R,Tau Protein Binding,GO-MF,0.0065253519434278
GLP-1R,HIV Infection,Reactome,0.0065398939963352
GLP-1R,Constitutive Signaling By Overexpressed ERBB2,Reactome,0.0065409283893273
GLP-1R,Signaling By PDGFR In Disease,Reactome,0.0066460150135994
GLP-1R,Glial Cell Projection,GO-CC,0.0072952012370172
GLP-1R,Signaling By FGFR,Reactome,0.0084374090069111
GLP-1R,U1 snRNP,GO-CC,0.0084786391125979
GLP-1R,HIV Life Cycle,Reactome,0.0095846456031566
GLP-1R,Membrane Trafficking,Reactome,0.0102551909384123
GLP-1R,Astrocyte Projection,GO-CC,0.0104763606418127
GLP-1R,TP53 Regulates Metabolic Genes,Reactome,0.0115047365708015
GLP-1R,Ubiquitin mediated proteolysis,KEGG,0.0120859240470676
GLP-1R,Signaling By FGFR2,Reactome,0.0125796614554634
GLP-1R,Protein Phosphatase Regulator Activity,GO-MF,0.0134868365052135
GLP-1R,Ribonucleoprotein Complex Biogenesis,GO-BP,0.0136267191309114
GLP-1R,Clathrin Coat Assembly,GO-BP,0.0136267191309114
GLP-1R,"mRNA Splicing, Via Spliceosome",GO-BP,0.0136267191309114
GLP-1R,Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants,Reactome,0.0153153830319625
GLP-1R,Constitutive Signaling By AKT1 E17K In Cancer,Reactome,0.0171054133733617
GLP-1R,FGFR2 Alternative Splicing,Reactome,0.0171054133733617
GLP-1R,Netrin-1 Signaling,Reactome,0.017858428222981
GLP-1R,Activated NTRK2 Signals Thru FRS2 And FRS3,Reactome,0.0179140680527027
GLP-1R,Protein Localization,Reactome,0.0184193216036376
GLP-1R,Fc Epsilon Receptor (FCERI) Signaling,Reactome,0.0186911034505649
GLP-1R,Negative Regulation Of MET Activity,Reactome,0.0186911034505649
GLP-1R,Signaling By NTRK3 (TRKC),Reactome,0.0190418031805152
GLP-1R,mRNA Processing,GO-BP,0.0201362387333983
GLP-1R,Regulation Of Cellular Component Organization,GO-BP,0.0201362387333983
GLP-1R,PIP3 Activates AKT Signaling,Reactome,0.0209218566187214
GLP-1R,AMPK signaling pathway,KEGG,0.0211285096763411
GLP-1R,MicroRNA (miRNA) Biogenesis,Reactome,0.0214257847349118
GLP-1R,Nuclear Envelope Breakdown,Reactome,0.0216458094619913
GLP-1R,Viral Messenger RNA Synthesis,Reactome,0.0216767704314348
GLP-1R,TGF-beta Receptor Signaling Activates SMADs,Reactome,0.0216767704314348
GLP-1R,Signaling By KIT In Disease,Reactome,0.0233638293561602
GLP-1R,Signaling By FGFR2 IIIa TM,Reactome,0.0233638293561602
GLP-1R,Constitutive Signaling By EGFRvIII,Reactome,0.0233638293561602
GLP-1R,Mitochondrial Transport,GO-BP,0.0248324717313366
GLP-1R,Downstream Signaling Events Of B Cell Receptor (BCR),Reactome,0.0252807731833772
GLP-1R,Late Phase Of HIV Life Cycle,Reactome,0.025734836935669
GLP-1R,mRNA surveillance pathway,KEGG,0.0257794663397293
GLP-1R,Signaling By ERBB4,Reactome,0.0259257819900246
GLP-1R,Cytoprotection By HMOX1,Reactome,0.0259257819900246
GLP-1R,RHOJ GTPase Cycle,Reactome,0.0262920115192442
GLP-1R,RHOC GTPase Cycle,Reactome,0.0265268213743702
GLP-1R,NOTCH1 Intracellular Domain Regulates Transcription,Reactome,0.026727112497976
GLP-1R,TIM23 Mitochondrial Import Inner Membrane Translocase Complex,GO-CC,0.0282995274086371
GLP-1R,ATPase Binding,GO-MF,0.0287714171609082
GLP-1R,rRNA Binding,GO-MF,0.0287714171609082
GLP-1R,Ribosomal Small Subunit Biogenesis,GO-BP,0.0303343705320589
GLP-1R,Negative Regulation Of Protein Modification Process,GO-BP,0.0313851050775849
GLP-1R,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile",GO-BP,0.0331269669332621
GLP-1R,Regulation Of Cholesterol Biosynthesis By SREBP (SREBF),Reactome,0.0339608232713302
GLP-1R,Rap Protein Signal Transduction,GO-BP,0.0344240877541834
GLP-1R,Negative Regulation Of Protein Dephosphorylation,GO-BP,0.0344240877541834
GLP-1R,mRNA Metabolic Process,GO-BP,0.0344240877541834
GLP-1R,Response To Insulin,GO-BP,0.0346507403784134
GLP-1R,RNA Splicing,GO-BP,0.0346507403784134
GLP-1R,Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,GO-BP,0.0347022695729882
GLP-1R,U7 snRNP,GO-CC,0.034725972593308
GLP-1R,Metabolism Of Non-Coding RNA,Reactome,0.0348138425924649
GLP-1R,Ubiquitin-Dependent ERAD Pathway,GO-BP,0.034995867654012
GLP-1R,Signaling By EGFR,Reactome,0.0355046414856394
GLP-1R,Signaling By FGFR4 In Disease,Reactome,0.0357725749411827
GLP-1R,Small-Subunit Processome,GO-CC,0.0363233163133281
GLP-1R,Regulation Of Autophagy,GO-BP,0.0365061791585834
GLP-1R,Ribosome Biogenesis,GO-BP,0.0376269746051746
GLP-1R,Depolymerisation Of Nuclear Lamina,Reactome,0.0387604306851736
GLP-1R,InlB-mediated Entry Of Listeria Monocytogenes Into Host Cell,Reactome,0.0387604306851736
GLP-1R,Signaling By ERBB2 ECD Mutants,Reactome,0.0387604306851736
GLP-1R,Metabolism Of Nitric Oxide: NOS3 Activation And Regulation,Reactome,0.0387604306851736
GLP-1R,Metabolism,Reactome,0.0387604306851736
GLP-1R,Negative Regulation Of Axonogenesis,GO-BP,0.0392378744776633
GLP-1R,Signaling By NTRK2 (TRKB),Reactome,0.039562754473899
GLP-1R,Regulation Of RUNX2 Expression And Activity,Reactome,0.0406119850553203
GLP-1R,Transcriptional Regulation By RUNX2,Reactome,0.0409432346872654
GLP-1R,Downregulation Of TGF-beta Receptor Signaling,Reactome,0.0425156493232506
GLP-1R,RAS Signaling Downstream Of NF1 Loss-Of-Function Variants,Reactome,0.0461133464950016
GLP-1R,Negative Regulation Of Response To Endoplasmic Reticulum Stress,GO-BP,0.0476364539258058
