arm,term,db,padj
HIBI,Regulation Of miRNA Transcription,GO-BP,2.169933900277716e-06
HIBI,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,GO-BP,2.4574728098310225e-06
HIBI,Negative Regulation Of Cell Adhesion,GO-BP,2.8152036391998912e-06
HIBI,Negative Regulation Of Cell Migration,GO-BP,2.815438245857209e-06
HIBI,Post NMDA Receptor Activation Events,Reactome,3.0882936493737858e-06
HIBI,DAG And IP3 Signaling,Reactome,3.0882936493737858e-06
HIBI,Positive Regulation Of Nervous System Development,GO-BP,3.0906630801240715e-06
HIBI,Innate Immune System,Reactome,3.139980797903517e-06
HIBI,Fluid shear stress and atherosclerosis,KEGG,3.275747154602613e-06
HIBI,Regulation Of MAPK Cascade,GO-BP,3.4331260630971576e-06
HIBI,Positive Regulation Of Cellular Process,GO-BP,3.4331260630971576e-06
HIBI,Positive Regulation Of Cellular Component Organization,GO-BP,3.4331260630971576e-06
HIBI,Regulation Of Nitric Oxide Biosynthetic Process,GO-BP,3.6573323284572094e-06
HIBI,Actin Cytoskeleton,GO-CC,3.941339633816312e-06
HIBI,Negative Regulation Of Apoptotic Process,GO-BP,4.422591426961505e-06
HIBI,Ca-dependent Events,Reactome,4.430865400306912e-06
HIBI,NF-kappa B signaling pathway,KEGG,4.607144018126379e-06
HIBI,Regulation Of Cell Adhesion,GO-BP,4.616999545542872e-06
HIBI,Salmonella infection,KEGG,4.649530342815153e-06
HIBI,Sphingolipid signaling pathway,KEGG,4.649530342815153e-06
HIBI,G-protein Mediated Events,Reactome,5.92839700633291e-06
HIBI,Rheumatoid arthritis,KEGG,7.73937780021228e-06
HIBI,Insulin secretion,KEGG,7.73937780021228e-06
HIBI,Positive Regulation Of Protein Phosphorylation,GO-BP,7.943186222059417e-06
HIBI,Regulation Of Trans-Synaptic Signaling,GO-BP,7.993898912363254e-06
HIBI,Regulation Of Astrocyte Differentiation,GO-BP,7.993898912363254e-06
HIBI,Cellular Response To Lipid,GO-BP,8.128854947936394e-06
HIBI,Negative Regulation Of Cell Motility,GO-BP,8.36862587248528e-06
HIBI,Negative Regulation Of MAPK Cascade,GO-BP,9.92945142020348e-06
HIBI,Positive Regulation Of Nitric Oxide Biosynthetic Process,GO-BP,1.0404552332869776e-05
HIBI,G Alpha (I) Signaling Events,Reactome,1.2124727081190923e-05
HIBI,CaM Pathway,Reactome,1.3433444142040042e-05
HIBI,Negative Regulation Of Signal Transduction,GO-BP,1.3551871861349771e-05
HIBI,Positive Regulation Of miRNA Transcription,GO-BP,1.405578987268728e-05
HIBI,T cell receptor signaling pathway,KEGG,1.473792552232315e-05
HIBI,Transcriptional misregulation in cancer,KEGG,1.5283808700829375e-05
HIBI,Positive Regulation Of miRNA Metabolic Process,GO-BP,1.5765148200278152e-05
HIBI,Positive Regulation Of Nitric Oxide Metabolic Process,GO-BP,1.606001386955516e-05
HIBI,Positive Regulation Of Multicellular Organismal Process,GO-BP,1.6780134326344273e-05
HIBI,Positive Regulation Of Apoptotic Process,GO-BP,1.7583787762557478e-05
HIBI,Negative Regulation Of Transcription By RNA Polymerase II,GO-BP,1.7693541743323356e-05
HIBI,Positive Regulation Of Cell Population Proliferation,GO-BP,1.7693541743323356e-05
HIBI,Regulation Of Interleukin-8 Production,GO-BP,1.807893063462201e-05
HIBI,Cell Junction Assembly,GO-BP,1.919140110855217e-05
HIBI,Synaptic Membrane,GO-CC,2.0981308311681552e-05
HIBI,Regulation Of Neuronal Synaptic Plasticity,GO-BP,2.2938575870027272e-05
HIBI,Regulation Of calcineurin-NFAT Signaling Cascade,GO-BP,2.2938575870027272e-05
HIBI,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules,GO-BP,2.347803209059176e-05
HIBI,Central Nervous System Development,GO-BP,2.477910459097592e-05
HIBI,Protein Kinase Binding,GO-MF,2.482106483555764e-05
HIBI,Ras signaling pathway,KEGG,2.505774875589229e-05
HIBI,GnRH signaling pathway,KEGG,2.505774875589229e-05
HIBI,Pathogenic Escherichia coli infection,KEGG,2.505774875589229e-05
HIBI,Hippo signaling pathway,KEGG,2.505774875589229e-05
HIBI,Positive Regulation Of Gene Expression,GO-BP,2.652398345438304e-05
HIBI,Negative Regulation Of DNA-templated Transcription,GO-BP,2.652398345438304e-05
HIBI,Regulation Of Peptidyl-Tyrosine Phosphorylation,GO-BP,2.652398345438304e-05
HIBI,Aortic Valve Development,GO-BP,2.67378881288872e-05
HIBI,Negative Regulation Of Mitotic Cell Cycle Phase Transition,GO-BP,2.67378881288872e-05
HIBI,Regulation Of Protein-Containing Complex Assembly,GO-BP,2.67378881288872e-05
HIBI,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway,GO-BP,2.67378881288872e-05
HIBI,Cellular senescence,KEGG,2.7127062854014287e-05
HIBI,Transmitter-Gated Monoatomic Ion Channel Activity,GO-MF,2.763938488101031e-05
HIBI,Protein Tyrosine Phosphatase Activity,GO-MF,2.763938488101031e-05
HIBI,Regulation Of Tumor Necrosis Factor Production,GO-BP,2.793781764046473e-05
HIBI,Regulation Of Anatomical Structure Morphogenesis,GO-BP,2.793781764046473e-05
HIBI,HIF-1 signaling pathway,KEGG,2.8643979628746985e-05
HIBI,Glutamate Receptor Signaling Pathway,GO-BP,2.969814593297867e-05
HIBI,Chagas disease,KEGG,3.076084601384018e-05
HIBI,"Unblocking Of NMDA Receptors, Glutamate Binding And Activation",Reactome,3.259554696408141e-05
HIBI,L1CAM Interactions,Reactome,3.259554696408141e-05
HIBI,Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission,Reactome,3.259554696408141e-05
HIBI,Cellular Response To Organic Cyclic Compound,GO-BP,3.5998061736154874e-05
HIBI,Regulation Of Cell Differentiation,GO-BP,3.746400684876931e-05
HIBI,Regulation Of MAP Kinase Activity,GO-BP,3.7486173049495184e-05
HIBI,Regulation Of MECP2 Expression And Activity,Reactome,3.9463948166106886e-05
HIBI,Positive Regulation Of Glial Cell Differentiation,GO-BP,4.155356325901925e-05
HIBI,Negative Regulation Of Cellular Component Organization,GO-BP,4.155356325901925e-05
HIBI,Toll-like receptor signaling pathway,KEGG,4.205277278091645e-05
HIBI,Amyloid-Beta Binding,GO-MF,4.271897527317749e-05
HIBI,Glioma,KEGG,4.347444398611831e-05
HIBI,Positive Regulation Of DNA-binding Transcription Factor Activity,GO-BP,4.403420826289303e-05
HIBI,Dendrite Membrane,GO-CC,4.686640345022844e-05
HIBI,Renin secretion,KEGG,4.9178475199573344e-05
HIBI,African trypanosomiasis,KEGG,4.9178475199573344e-05
HIBI,Cytokine-cytokine receptor interaction,KEGG,4.9178475199573344e-05
HIBI,Positive Regulation Of ERK1 And ERK2 Cascade,GO-BP,4.9465832626872514e-05
HIBI,Regulation Of Blood Vessel Endothelial Cell Migration,GO-BP,4.984094952640874e-05
HIBI,Signaling By VEGF,Reactome,5.0640555858590415e-05
HIBI,Cellular Response To Growth Factor Stimulus,GO-BP,5.108686343069308e-05
HIBI,"Parathyroid hormone synthesis, secretion and action",KEGG,5.18488301324735e-05
HIBI,Regulation Of Neurogenesis,GO-BP,5.307789813541851e-05
HIBI,Negative Regulation Of Multicellular Organismal Process,GO-BP,5.475824062171553e-05
HIBI,Regulation Of p38MAPK Cascade,GO-BP,5.520773438754756e-05
HIBI,Effects Of PIP2 Hydrolysis,Reactome,5.6639706058192704e-05
HIBI,"Positive Regulation Of Synaptic Transmission, Glutamatergic",GO-BP,5.741844870879543e-05
HIBI,Regulation Of Endothelial Cell Migration,GO-BP,5.827821531443408e-05
HIBI,Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle,GO-BP,6.126835280254344e-05
HIBI,Regulation Of Transcription By RNA Polymerase II,GO-BP,6.251624159251084e-05
HIBI,Negative Regulation Of Cell Differentiation,GO-BP,6.380317468867393e-05
HIBI,Insulin resistance,KEGG,6.730016538958222e-05
HIBI,Negative Regulation Of Nervous System Development,GO-BP,6.863790624385685e-05
HIBI,Regulation Of Intracellular Signal Transduction,GO-BP,7.344485796644605e-05
HIBI,Chemokine signaling pathway,KEGG,7.3709289556706e-05
HIBI,Melanogenesis,KEGG,7.3709289556706e-05
HIBI,Positive Regulation Of Angiogenesis,GO-BP,7.380493534121134e-05
HIBI,Cortisol synthesis and secretion,KEGG,8.022739127060821e-05
HIBI,Calcium Ion Transmembrane Import Into Cytosol,GO-BP,8.206980633764095e-05
HIBI,Cellular Response To Cytokine Stimulus,GO-BP,8.48115733922562e-05
HIBI,Inorganic Anion Transmembrane Transport,GO-BP,8.527739315568062e-05
HIBI,Artery Development,GO-BP,8.527739315568062e-05
HIBI,G Alpha (Q) Signaling Events,Reactome,9.377273915368776e-05
HIBI,Chloride Transport,GO-BP,9.48851189437212e-05
HIBI,CLEC7A (Dectin-1) Induces NFAT Activation,Reactome,9.74685607496108e-05
HIBI,Negative Regulation Of Macromolecule Metabolic Process,GO-BP,9.871360946912774e-05
HIBI,Response To Elevated Platelet Cytosolic Ca2+,Reactome,9.8935490051334e-05
HIBI,Oncogenic MAPK Signaling,Reactome,9.8935490051334e-05
HIBI,Response To Endoplasmic Reticulum Stress,GO-BP,0.0001046112656916
HIBI,VEGFA-VEGFR2 Pathway,Reactome,0.0001096354651586
HIBI,Interaction Between L1 And Ankyrins,Reactome,0.0001096354651586
HIBI,Positive Regulation Of Endothelial Cell Migration,GO-BP,0.000113108010037
HIBI,Memory,GO-BP,0.0001150227231286
HIBI,Regulation Of Bone Mineralization,GO-BP,0.0001150227231286
HIBI,GABAergic synapse,KEGG,0.0001177952813222
HIBI,Phosphatidylinositol signaling system,KEGG,0.0001229542947895
HIBI,Chondrocyte Differentiation,GO-BP,0.0001258723691
HIBI,Negative Regulation Of Cell Junction Assembly,GO-BP,0.0001258723691
HIBI,Regulation Of Tyrosine Phosphorylation Of STAT Protein,GO-BP,0.0001258723691
HIBI,Regulation Of Endothelial Cell Development,GO-BP,0.0001338211067746
HIBI,Cushing syndrome,KEGG,0.0001374285491116
HIBI,Protein Dephosphorylation,GO-BP,0.0001405904658686
HIBI,Breast cancer,KEGG,0.0001435535822197
HIBI,Regulation Of Postsynaptic Membrane Potential,GO-BP,0.0001504338567976
HIBI,Receptor-type Tyrosine-Protein Phosphatases,Reactome,0.0001528305046902
HIBI,Regulation Of Receptor Signaling Pathway Via JAK-STAT,GO-BP,0.0001533607746472
HIBI,Receptor Ligand Activity,GO-MF,0.0001568012126599
HIBI,Response To Cytokine,GO-BP,0.0001574268283547
HIBI,Negative Regulation Of Protein Phosphorylation,GO-BP,0.0001574268283547
HIBI,Sequence-Specific Double-Stranded DNA Binding,GO-MF,0.0001578429224305
HIBI,Assembly And Cell Surface Presentation Of NMDA Receptors,Reactome,0.0001604082878464
HIBI,Cardiac Conduction,Reactome,0.0001604082878464
HIBI,Endothelial Cell Development,GO-BP,0.0001679175573271
HIBI,Regulation Of JNK Cascade,GO-BP,0.0001679175573271
HIBI,Regulation Of Dendritic Spine Morphogenesis,GO-BP,0.0001694438222473
HIBI,HSF1-dependent Transactivation,Reactome,0.0001744573937311
HIBI,Positive Regulation Of Programmed Cell Death,GO-BP,0.0001789919334638
HIBI,Glutamate Receptor Binding,GO-MF,0.0001813197391256
HIBI,Ca2+ Pathway,Reactome,0.0001817225934471
HIBI,Regulation Of Smooth Muscle Cell Proliferation,GO-BP,0.0001879735404873
HIBI,Cellular Response To Transforming Growth Factor Beta Stimulus,GO-BP,0.0001955344017173
HIBI,Kinase Binding,GO-MF,0.000200029863517
HIBI,Chloride Transmembrane Transport,GO-BP,0.0002008769738022
HIBI,Regulation Of Neurotransmitter Receptor Activity,GO-BP,0.0002047112050303
HIBI,Positive Regulation Of Interleukin-8 Production,GO-BP,0.0002047112050303
HIBI,"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity",Reactome,0.0002047904705281
HIBI,GTPase Regulator Activity,GO-MF,0.0002047944749609
HIBI,GTPase Activator Activity,GO-MF,0.0002047944749609
HIBI,Positive Regulation Of Nucleic Acid-Templated Transcription,GO-BP,0.0002049147447353
HIBI,Positive Regulation Of Vasculature Development,GO-BP,0.0002049147447353
HIBI,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production,GO-BP,0.0002102432096173
HIBI,Synaptic Adhesion-Like Molecules,Reactome,0.0002238192502098
HIBI,Cytokine-Mediated Signaling Pathway,GO-BP,0.0002243170968145
HIBI,Malaria,KEGG,0.0002392493451932
HIBI,ESR-mediated Signaling,Reactome,0.0002404138783186
HIBI,TGF-beta signaling pathway,KEGG,0.0002413774668051
HIBI,Legionellosis,KEGG,0.0002413774668051
HIBI,Negative Regulation Of Biomineral Tissue Development,GO-BP,0.0002524910568376
HIBI,Response To Glucocorticoid,GO-BP,0.0002535389697998
HIBI,Response To Molecule Of Bacterial Origin,GO-BP,0.0002535389697998
HIBI,MAPK Cascade,GO-BP,0.0002535389697998
HIBI,Positive Regulation Of Protein-Containing Complex Assembly,GO-BP,0.0002535389697998
HIBI,Regulation Of Endothelial Cell Apoptotic Process,GO-BP,0.0002541782495982
HIBI,Calcineurin Activates NFAT,Reactome,0.0002748090819392
HIBI,Regulation Of Interleukin-6 Production,GO-BP,0.0002773140729191
HIBI,Ionotropic Glutamate Receptor Complex,GO-CC,0.0002788309114777
HIBI,Adherens Junction,GO-CC,0.0002788309114777
HIBI,Hepatitis B,KEGG,0.0002824130271074
HIBI,Transcription Regulatory Region Nucleic Acid Binding,GO-MF,0.000282435968362
HIBI,Regulation Of Interleukin-1 Beta Production,GO-BP,0.0002876694377638
HIBI,Trafficking Of GluR2-containing AMPA Receptors,Reactome,0.0002876700888753
HIBI,Axon Development,GO-BP,0.0002918047278506
HIBI,Positive Regulation Of Endothelial Cell Proliferation,GO-BP,0.0002958628892922
HIBI,Generation Of Neurons,GO-BP,0.0002958628892922
HIBI,Cell Chemotaxis,GO-BP,0.0003002026942165
HIBI,Calcium Ion Transport Into Cytosol,GO-BP,0.0003002026942165
HIBI,Excitatory Synapse Assembly,GO-BP,0.0003002026942165
HIBI,Yersinia infection,KEGG,0.0003041016952895
HIBI,Estrogen signaling pathway,KEGG,0.0003041016952895
HIBI,Toll Like Receptor 4 (TLR4) Cascade,Reactome,0.0003095683146028
