input_id,SYMBOL,log2FoldChange,padj,plot_status
Plin2,Plin2,4.568799515167429,6.843358356419216e-101,Up in HI
P2ry12,P2ry12,-4.28760048858937,1.4479102919317338e-97,Down in HI
Tmem119,Tmem119,-4.412290350316052,5.7053511923718425e-92,Down in HI
Lpl,Lpl,4.424429029779419,6.806460241053164e-79,Up in HI
Lilrb4,Lilrb4,5.91737802397042,5.452524309480715e-70,Up in HI
Ptgs1,Ptgs1,-3.2682353508425366,6.95639615194189e-69,Down in HI
4632428N05Rik,4632428N05Rik,-2.0986010803959605,7.447557907409367e-68,Down in HI
Selplg,Selplg,-3.907447606209482,9.831308308084406e-68,Down in HI
Ccl2,Ccl2,3.587423225064954,2.892232799285454e-59,Up in HI
Rsrp1,Rsrp1,-3.3290942632691696,2.892232799285454e-59,Down in HI
Glul,Glul,-3.118422507104168,3.187868400489222e-54,Down in HI
Hpgd,Hpgd,-2.9046752014385433,6.357955951100644e-53,Down in HI
